#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-00-00
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1390346823.992756	CHM2L12eAZhc2t0ZUk	192.168.14.10	1035	66.39.29.236	80	1	GET	besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fn8tPN2dAUji7klUhj	text/html
1390346824.353039	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/filefield/filefield.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1306	200	OK	-	-	-	(empty)	-	-	-	-	-	FrrxRt4cyE6GsmT303	text/x-asm
1390346824.363049	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	2	GET	www.besthealthmag.ca	/sites/all/modules/cck/theme/content-module.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3308	200	OK	-	-	-	(empty)	-	-	-	-	-	FNwUGl4R4tH3OjGb21	text/plain
1390346824.364289	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/logintoboggan/logintoboggan.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	321	200	OK	-	-	-	(empty)	-	-	-	-	-	FkZulO7fBT7fZOS4	text/plain
1390346824.364566	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3852	200	OK	-	-	-	(empty)	-	-	-	-	-	FSlltZRDsuiyPA4X9	text/plain
1390346824.368313	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/cck/modules/fieldgroup/fieldgroup.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	98	200	OK	-	-	-	(empty)	-	-	-	-	-	FEAlqa42KfEHvCkyGk	text/plain
1390346824.367961	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/forum/forum.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1057	200	OK	-	-	-	(empty)	-	-	-	-	-	F7lCNt154X87zVB517	text/plain
1390346824.372894	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	3	GET	www.besthealthmag.ca	/misc/drupal.js?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	9745	200	OK	-	-	-	(empty)	-	-	-	-	-	F9X2PPWyREn6a5Gb6	text/plain
1390346824.373222	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	4	GET	www.besthealthmag.ca	/profiles/besthealth/modules/block_edit/block_edit.js?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	509	200	OK	-	-	-	(empty)	-	-	-	-	-	FH63MI2egT5HTQ4hfl	text/plain
1390346824.373492	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	5	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus.js?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	13534	200	OK	-	-	-	(empty)	-	-	-	-	-	F9mjdt3hqbID62NEhg	text/plain
1390346824.374688	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	5	GET	www.besthealthmag.ca	/sites/all/modules/poormanscron/poormanscron.js?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	598	200	OK	-	-	-	(empty)	-	-	-	-	-	FWqkuE4V4iF8tz0qFc	text/plain
1390346824.37858	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	4	GET	www.besthealthmag.ca	/themes/besthealth_skin/script.js?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6252	200	OK	-	-	-	(empty)	-	-	-	-	-	FMIdcX1vETlHtBq0jb	text/plain
1390346824.388154	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	6	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus_default.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3870	200	OK	-	-	-	(empty)	-	-	-	-	-	FkWYHj4A6kKUafPTFf	text/plain
1390346824.388409	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	6	GET	www.besthealthmag.ca	/profiles/besthealth/modules/fivestar/css/fivestar.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2145	200	OK	-	-	-	(empty)	-	-	-	-	-	F6JpdS1OMG5dOwIbmj	text/plain
1390346824.387571	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	4	GET	www.besthealthmag.ca	/misc/jquery.js?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	31101	200	OK	-	-	-	(empty)	-	-	-	-	-	FEb7Fo3t5Mr3cQowa	text/plain
1390346824.387886	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	5	GET	www.besthealthmag.ca	/profiles/besthealth/modules/fivestar/js/fivestar.js?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	15662	200	OK	-	-	-	(empty)	-	-	-	-	-	FOXvqe1jRVLalz0y7i	text/plain
1390346824.388664	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	5	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/main.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	118987	200	OK	-	-	-	(empty)	-	-	-	-	-	FPbXMi138e1tWzeMTi	text/plain
1390346824.412837	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/print.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	650	200	OK	-	-	-	(empty)	-	-	-	-	-	F1WxDV3fJPqtbs8ibg	text/plain
1390346824.415455	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	5	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/star_rating.css	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1307	200	OK	-	-	-	(empty)	-	-	-	-	-	FLlZFj3ZFZDupdj4W2	text/plain
1390346824.416763	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	6	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/common.css	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2441	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr2ziD1ZVoQ0eaZZu2	text/plain
1390346824.079445	CuNw5e1QQMnwhF2yzc	192.168.14.10	1036	72.21.91.19	80	1	GET	www.besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	68288	200	OK	-	-	-	(empty)	-	-	-	-	-	FDP2bc1JDZI6vGVqFi	text/html
1390346824.623975	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/page-header-bg.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	994	200	OK	-	-	-	(empty)	-	-	-	-	-	F946X01F076knvkId5	image/gif
1390346824.624338	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	6	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/en/ad_warning_banner.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	318	200	OK	-	-	-	(empty)	-	-	-	-	-	FuQmXfqNtFHObYzn3	image/gif
1390346824.675437	CXOIHu48bXGVpEBM53	192.168.14.10	1044	74.125.224.77	80	1	GET	www.googletagservices.com	/tag/js/gpt.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	40437	200	OK	-	-	-	(empty)	-	-	-	-	-	FuuQYR2OBiwKoNaHp5	text/plain
1390346824.727823	CLVQNI2rR7ZJH4Li92	192.168.14.10	1045	77.67.127.18	80	1	GET	b.scorecardresearch.com	/beacon.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1900	200	OK	-	-	-	(empty)	-	-	-	-	-	FuppXQ1HvGmdkjcB0b	text/plain
1390346824.780145	CLVQNI2rR7ZJH4Li92	192.168.14.10	1045	77.67.127.18	80	2	GET	b.scorecardresearch.com	/b?c1=2&c2=6034767&ns__t=1390361089875&ns_c=windows-1252&c8=Womens Health & Lifestyle Magazine for Canadian Women | Best Health&c7=http://www.besthealthmag.ca/&c9=	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1390346824.728352	CtxdB63tda1ZZM57na	192.168.14.10	1046	74.125.239.28	80	1	GET	ad.doubleclick.net	/N5479/adj/theloop.en.besthealth/hub;tile=1;sz=728x90;ord=4261654942431?	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1624	200	OK	-	-	-	(empty)	-	-	-	-	-	FroMFV1dLe4GBncKC8	text/plain
1390346824.800708	CLVQNI2rR7ZJH4Li92	192.168.14.10	1045	77.67.127.18	80	3	GET	b.scorecardresearch.com	/b2?c1=2&c2=6034767&ns__t=1390361089875&ns_c=windows-1252&c8=Womens Health & Lifestyle Magazine for Canadian Women | Best Health&c7=http://www.besthealthmag.ca/&c9=	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
1390346824.862943	CzdFCF398513NvU4F4	192.168.14.10	1047	74.125.224.90	80	1	GET	partner.googleadservices.com	/gpt/pubads_impl_32.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	59428	200	OK	-	-	-	(empty)	-	-	-	-	-	F35t152OvYJodZzdXa	text/plain
1390346824.872188	Caj3at2dpIxpe79dw7	192.168.14.10	1048	74.125.224.122	80	1	GET	pagead2.googlesyndication.com	/pagead/js/lidar.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43638	200	OK	-	-	-	(empty)	-	-	-	-	-	FKTzxZ1nl2FVUUiDWb	text/plain
1390346824.908342	CcDrye4Ewy95m1Ap99	192.168.14.10	1049	38.71.5.31	80	1	GET	cdn.acuityplatform.com	/bell/acuityJTag.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1220	200	OK	-	-	-	(empty)	-	-	-	-	-	F9fwqv2IlZN4vj2cUd	text/html
1390346824.962133	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	8	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/french-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	253	200	OK	-	-	-	(empty)	-	-	-	-	-	FR6gMH1X3xZvKvogJh	image/gif
1390346824.971716	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	6	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/BH_ONLINE_LOGO_2013.png	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6539	200	OK	-	-	-	(empty)	-	-	-	-	-	FvSVvvenS5XRMQacf	image/png
1390346824.591865	C4ffxo3JgOcQSBDcW8	192.168.14.10	1042	206.47.72.169	80	1	GET	lifestyle.sympatico.msn.ca	/Bell.Sympatico.CMS/Includes/shared2.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43718	200	OK	-	-	-	(empty)	-	-	-	-	-	FayuII3Af3CGfGjZ8j	text/plain
1390346824.988918	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/header_topband.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FxU6vr3elmPIzMNuN9	image/gif
1390346824.999587	CuNw5e1QQMnwhF2yzc	192.168.14.10	1036	72.21.91.19	80	2	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/white-saprator.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	44	200	OK	-	-	-	(empty)	-	-	-	-	-	FOSogh2Cy7NaA60fo3	image/gif
1390346825.15808	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/Loop_166x39.png	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6510	200	OK	-	-	-	(empty)	-	-	-	-	-	FxWDJv1w3uISearnSe	image/png
1390346825.158846	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/searchbotton.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	871	200	OK	-	-	-	(empty)	-	-	-	-	-	FRmLcFyPscafRjaR1	image/gif
1390346825.159801	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/jquery.min.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	57254	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff5upg3LqEVAkn4Zz9	text/plain
1390346825.065564	CCLkKZ34nAn7ZBBXX	192.168.14.10	1050	38.65.9.39	80	1	GET	bell-ex.acuityplatform.com	/AdEx/Banner?lg=EN&sz=728x90&st=THELOOP:EN:BESTHEALTH&sc=HUB&cb=83394205&cu=http://adclick.g.doubleclick.net/aclk%3Fsa%3DL%26ai%3DBkR0q0wHfUsWWLu-SlALRpICAD4e-rMIDAAAAEAEgADgAWK_GztNoYMne1IbIo6AZggEXY2EtcHViLTU4Nzk0MjQwMzAxMTM5MTKyARR3d3cuYmVzdGhlYWx0aG1hZy5jYboBCWdmcF9pbWFnZcgBCdoBHGh0dHA6Ly93d3cuYmVzdGhlYWx0aG1hZy5jYS_AAgLgAgDqAh41NDc5L3RoZWxvb3AuZW4uYmVzdGhlYWx0aC9odWL4AoLSHpAD8AGYA6QDqAMB0ASQTuAEAaAGFg%26num%3D0%26sig%3DAOD64_3syPL_nqBCIH2iaTF0hwnv8oWJbw%26client%3Dca-pub-5879424030113912%26adurl%3D&lc=http://www.besthealthmag.ca/&rf=&ty=if	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1454	200	OK	-	-	-	(empty)	-	-	-	-	-	FUDsvB1juOxYQAjQC	text/html
1390346825.187174	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	8	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/white-saprator-small.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	44	200	OK	-	-	-	(empty)	-	-	-	-	-	FBi2Xi1EzCKpRnqjEe	image/gif
1390346825.199846	CuNw5e1QQMnwhF2yzc	192.168.14.10	1036	72.21.91.19	80	3	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/nav_middle.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	175	200	OK	-	-	-	(empty)	-	-	-	-	-	FlcK3IghFZfUZgOid	image/gif
1390346825.200291	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	8	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/lookgreat-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1627	200	OK	-	-	-	(empty)	-	-	-	-	-	FMIYot49P3u6YDyEmh	image/gif
1390346825.200642	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	8	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/gethealthy-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1707	200	OK	-	-	-	(empty)	-	-	-	-	-	FN6UFt3ZrGHpjQZDEf	image/gif
1390346825.201119	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	10	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/eatwell-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1543	200	OK	-	-	-	(empty)	-	-	-	-	-	F40Hkz4LaygsnuECql	image/gif
1390346825.005983	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	8	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/header_secondtopband.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	891	200	OK	-	-	-	(empty)	-	-	-	-	-	FOMDrv3DEeyNOTR931	image/gif
1390346825.206186	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	9	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/embracelife-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1688	200	OK	-	-	-	(empty)	-	-	-	-	-	Frm9QjJopWodwVAnf	image/gif
1390346825.227011	CuNw5e1QQMnwhF2yzc	192.168.14.10	1036	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/swap-n-drop-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1673	200	OK	-	-	-	(empty)	-	-	-	-	-	FH1ju73iKpZDnsHSz	image/gif
1390346825.22872	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/bg-imgnav.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	853	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm3lcg39NTcOX3bXSl	image/gif
1390346825.236814	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	9	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/special-features-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1840	200	OK	-	-	-	(empty)	-	-	-	-	-	FzDmAn1SLd52qBJOh4	image/gif
1390346825.240904	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	11	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/magazine-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1641	200	OK	-	-	-	(empty)	-	-	-	-	-	FaEWmYmpJrRKeuH6	image/gif
1390346825.241365	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	9	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/subscribe-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1490	200	OK	-	-	-	(empty)	-	-	-	-	-	FoPOduvFel1UlpIFh	image/gif
1390346825.241724	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	10	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/bg_container_body.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	76	200	OK	-	-	-	(empty)	-	-	-	-	-	FsDuOh3EQvWcd1uwtf	image/gif
1390346825.260964	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	10	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/nav_left.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	723	200	OK	-	-	-	(empty)	-	-	-	-	-	FKBlXtDSU24Hx18L	image/gif
