#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-30
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337233842.492832	C7Q46MU7dvas165S2	192.168.111.10	1030	202.75.219.120	80	1	GET	kamennet.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	142	302	Found	-	-	-	(empty)	-	-	-	-	-	FisXpI2MZaDCZ7y2hg	text/html
1337233846.801899	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	4	GET	www.kamenwang.com	/images/nav_03.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1744	200	OK	-	-	-	(empty)	-	-	-	-	-	FOYgz33rlF8gma0f68	image/gif
1337233846.804422	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	7	GET	www.kamenwang.com	/images/nav_04.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1932	200	OK	-	-	-	(empty)	-	-	-	-	-	F53Mil335WepbW9LF9	image/gif
1337233847.067833	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	5	GET	www.kamenwang.com	/images/nav_05.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2063	200	OK	-	-	-	(empty)	-	-	-	-	-	F9Jekw28ea83eCdcX	image/gif
1337233847.068161	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	8	GET	www.kamenwang.com	/images/body_topbg_qrj.jpg	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29487	200	OK	-	-	-	(empty)	-	-	-	-	-	FOfWc14Q9EFD3ZyTel	image/jpeg
1337233847.280385	CPrzWK3hqY9Em1Nxcg	192.168.111.10	1038	42.120.59.22	80	1	GET	s14.cnzz.com	/stat.php?id=2593375&web_id=2593375	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5710	200	OK	-	-	-	(empty)	-	-	-	-	-	F44IgKhvwp29rLEij	text/x-c
1337233847.322571	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	6	GET	www.kamenwang.com	/images/nav_06.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1987	200	OK	-	-	-	(empty)	-	-	-	-	-	FCfuLXsTgKr0LD9Jg	image/gif
1337233847.323579	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	9	GET	www.kamenwang.com	/images/nav_07.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2149	200	OK	-	-	-	(empty)	-	-	-	-	-	F6daPs31k1cBCrxQP3	image/gif
1337233847.700932	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	7	GET	www.kamenwang.com	/images/nav_08.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2295	200	OK	-	-	-	(empty)	-	-	-	-	-	FifoQn4nCXGlD860x1	image/gif
1337233847.701336	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	10	GET	www.kamenwang.com	/images/nav_09.jpg	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25327	200	OK	-	-	-	(empty)	-	-	-	-	-	FTyv0g2g3gRKe0KnSg	image/jpeg
1337233848.038325	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	11	GET	www.kamenwang.com	/images/login.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1066	200	OK	-	-	-	(empty)	-	-	-	-	-	FUxHEG3ssyp8oR5SN3	image/gif
1337233848.038046	COm5ql3RlunKXrtAJ9	192.168.111.10	1039	42.120.59.22	80	1	GET	c.cnzz.com	/cnzz_core.php?web_id=2593375&l=none	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	745	200	OK	-	-	-	(empty)	-	-	-	-	-	F244bOniSqXMtFzc6	text/html
1337233848.037574	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	8	GET	www.kamenwang.com	/CreateCheckCode.aspx	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3502	200	OK	-	-	-	(empty)	-	-	-	-	-	F2SUfs4gxVUrSTvPkh	image/jpeg
1337233848.286582	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	12	GET	www.kamenwang.com	/images/home_content_bg.jpg	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26512	200	OK	-	-	-	(empty)	-	-	-	-	-	Fglrui1L7LN7xN4y05	image/jpeg
1337233848.305548	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	9	GET	www.kamenwang.com	/images/zhuce.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1085	200	OK	-	-	-	(empty)	-	-	-	-	-	FuoSye4XBINxkYV7Ug	image/gif
1337233848.590415	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	10	GET	www.kamenwang.com	/images/newsicon.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	107	200	OK	-	-	-	(empty)	-	-	-	-	-	FvxgO03mMNJU4pC4v2	image/gif
1337233848.853007	CIVadg21yXvxBcJXV	192.168.111.10	1040	110.75.187.104	80	1	GET	hzs14.cnzz.com	/stat.htm?id=2593375&r=&lg=en-us&ntime=none&repeatip=0&rtime=0&cnzz_eid=10634902-1337233731-&showp=800x600&st=0&sin=&res=0&rnd=1445581600	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FL7kyifiIj4KGwVu9	image/gif
1337233848.841206	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	11	GET	www.kamenwang.com	/images/copyright_left.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1373	200	OK	-	-	-	(empty)	-	-	-	-	-	FlnacM3b79N5NR7qH8	image/gif
1337233848.587822	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	13	GET	www.kamenwang.com	/Download/FuLuSafeControl.ocx	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	177448	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkk9DF3hZXTXWAGyn8	application/x-dosexec
1337233849.140296	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	12	GET	www.kamenwang.com	/images/copyright_bg.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1142	200	OK	-	-	-	(empty)	-	-	-	-	-	FR6bXE37thV4xpCW7a	image/gif
1337233849.371134	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	14	GET	www.kamenwang.com	/images/copyright_right.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	895	200	OK	-	-	-	(empty)	-	-	-	-	-	FNMmWC3tawCGfM8F5c	image/gif
1337233849.656125	CzTV61DIh3gK2OV01	192.168.111.10	1041	178.255.83.2	80	1	GET	crl.usertrust.com	/UTN-USERFirst-Object.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	75397	200	OK	-	-	-	(empty)	-	-	-	-	-	FbpyAY2pQg4fTXAgMl	binary
1337233850.14706	CdIo22PfVfvlB7XD9	192.168.111.10	1042	178.255.83.2	80	1	GET	crl.wosign.com	/WoSignCodeSigning.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	7555	200	OK	-	-	-	(empty)	-	-	-	-	-	FbNBEd3ZtUaLqtOy22	binary
1337233850.339304	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	15	GET	www.kamenwang.com	/user/GoodsManage/skin/chrome/btns.png	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1264	200	OK	-	-	-	(empty)	-	-	-	-	-	FR1aAt9DbKCUPKH06	image/png
1337233850.705303	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	16	GET	www.kamenwang.com	/user/GoodsManage/skin/chrome/chrome_s.png	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1202	200	OK	-	-	-	(empty)	-	-	-	-	-	FIj75u3jEHCfeprjdc	image/png
1337233851.021073	CO8jRe2BNxlmzFEQgg	192.168.111.10	1043	63.233.60.73	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1759	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq1iJD3BPTFXQx8dl2	text/html
1337233850.313879	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	13	GET	www.kamenwang.com	/flash/cu3er.swf	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	127487	200	OK	-	-	-	(empty)	-	-	-	-	-	FW5LgQ3crTGuctpa9k	application/x-shockwave-flash
1337233851.020749	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	17	GET	www.kamenwang.com	/XML/config.xml?t=1337248132093	http://www.kamenwang.com/flash/cu3er.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2019	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc7fXY3hiRZX9f7Cc2	application/xml
1337233851.178969	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	14	GET	www.kamenwang.com	/user/GoodsManage/skin/chrome/border.png	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	260	200	OK	-	-	-	(empty)	-	-	-	-	-	FnwYcm4QaxgeuHfdA4	image/png
1337233851.263333	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	18	GET	www.kamenwang.com	/user/GoodsManage/skin/chrome/loading.gif	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	381	200	OK	-	-	-	(empty)	-	-	-	-	-	FfmSHR2hFIGRJhet5a	image/gif
1337233851.427147	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	15	GET	www.kamenwang.com	/font.swf	http://www.kamenwang.com/flash/cu3er.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3676	200	OK	-	-	-	(empty)	-	-	-	-	-	FE8KHF2aZdmoaqmctd	text/html
1337233851.520631	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	19	GET	www.kamenwang.com	/ima/right.gif?1337248128125	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9871	200	OK	-	-	-	(empty)	-	-	-	-	-	FQMtsT3J3rig1PRmrl	image/gif
1337233852.113153	Cwhmum33l9Dz4j7ZZg	192.168.111.10	1044	114.80.132.160	80	1	GET	exp.cms.grandcloud.cn	/?host_id=79&host_name=www.kamenwang.com&tc=1.219&style=	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1337233851.697513	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	16	GET	www.kamenwang.com	/images/banner2.jpg	http://www.kamenwang.com/flash/cu3er.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	211573	200	OK	-	-	-	(empty)	-	-	-	-	-	FLFWv93XHAgkwvgXuj	image/jpeg
1337233853.211264	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	20	GET	www.kamenwang.com	/images/banner1.jpg	http://www.kamenwang.com/flash/cu3er.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35048	200	OK	-	-	-	(empty)	-	-	-	-	-	FpSJv54yzZSmIlksJ6	image/jpeg
1337233853.839158	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	17	GET	www.kamenwang.com	/images/banner3.jpg	http://www.kamenwang.com/flash/cu3er.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96992	200	OK	-	-	-	(empty)	-	-	-	-	-	FP9cB5RmtZZWkBpIi	image/jpeg
1337233854.725251	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	21	GET	www.kamenwang.com	/images/banner4.jpg	http://www.kamenwang.com/flash/cu3er.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	142515	200	OK	-	-	-	(empty)	-	-	-	-	-	FUaQlHWmsim0u7ny8	image/jpeg
1337233855.87665	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	18	GET	www.kamenwang.com	/images/banner5.jpg	http://www.kamenwang.com/flash/cu3er.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42912	200	OK	-	-	-	(empty)	-	-	-	-	-	F6SJcM2c7Tw1kb3Hl1	image/jpeg
#close	2014-04-03-10-18-31
