#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-53-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1395169550.630854	Cm9UBr2jlL3GdOuZ3g	192.168.58.10	1035	69.162.121.130	80	1	GET	helpurtravel.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	204	302	Found	-	-	-	(empty)	-	-	-	-	-	FnPkAA4imlhFtTN3q2	text/html
1395169554.299031	CyxmUIhBsXWaOMsRj	192.168.58.10	1040	195.66.79.27	80	2	GET	www.filessly.com	/images/layout1/ani.gif	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	19763	200	OK	-	-	-	(empty)	-	-	-	-	-	Fjq8uN3GasusG231C	image/gif
1395169554.648783	CngLxg2aqNTXKoj1X5	192.168.58.10	1044	176.121.11.24	80	1	GET	freemediastats.com	/getcounter/921099701/counter.gif	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FZWGql4ZQvaAvmX0ij	image/gif
1395169554.646275	CLMF962FgfScu046Qa	192.168.58.10	1043	195.66.79.27	80	1	GET	www.filessly.com	/images/layout1/button_2.png	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	27363	200	OK	-	-	-	(empty)	-	-	-	-	-	F5WOpPxmeOpx3HlWe	image/png
1395169554.337401	C9BcUm3W2lKWsij9J3	192.168.58.10	1038	195.66.79.27	80	4	GET	www.filessly.com	/images/layout1/all_bg_2.3.jpg	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	153955	200	OK	-	-	-	(empty)	-	-	-	-	-	FSmG4f3qP9gnyFjYMg	image/jpeg
1395169554.849255	CE8QCb1nGzAcjxzJx6	192.168.58.10	1045	176.121.11.24	80	1	GET	stat.freemediastats.com	/piwik.js	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	22866	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd4iNU1T35j0yAqnoj	text/plain
1395169555.455955	Cw0dx94UTU5wRNJVrk	192.168.58.10	1041	195.66.79.27	80	3	GET	www.filessly.com	/favicon.ico	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1406	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb0l9W1JU7mDPfrkT4	image/x-icon
1395169555.439088	CE8QCb1nGzAcjxzJx6	192.168.58.10	1045	176.121.11.24	80	2	GET	stat.freemediastats.com	/piwik.php?action_name=Update Downloader&idsite=1&rec=1&r=788924&h=18&m=3&s=28&url=http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY&_id=3c02f20aa7e7ac5d&_idts=1395183808&_idvc=1&_idn=1&_refts=0&_viewts=1395183808&res=800x600&cvar={"1":["user_sub_id","9210997"]}	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FMyQFb116A4Unz6J6g	image/gif
1395169555.526717	CcUVfR5fEWLWym7V2	192.168.58.10	1039	195.66.79.27	80	4	GET	www.filessly.com	/getoxy/Update_Downloader_921099701.exe?st=bbVmgtn19NMrrS0l7xIftQ&e=1395255835&fileid=9f409ff8be88387417d52097931a5de6	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	42012	200	OK	-	-	-	(empty)	-	-	-	-	-	FikW6L3jneVAUwDR17	application/x-dosexec
1395169572.896959	CyxmUIhBsXWaOMsRj	192.168.58.10	1040	195.66.79.27	80	3	GET	www.filessly.com	/getoxy/Update_Downloader_921099701.exe?st=bbVmgtn19NMrrS0l7xIftQ&e=1395255835&fileid=9f409ff8be88387417d52097931a5de6	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	20077	206	Partial Content	-	-	-	(empty)	-	-	-	-	-	FOfcjG4ZQ2v2anOcZ8	binary
#close	2014-04-03-09-53-24
