#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-10-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319844198.669253	Cf5hSk1A0TdhGLTgSh	192.168.77.10	1030	109.236.82.74	80	1	GET	theklm.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FE8fao1E0V9NjC9Ae	text/html
1319844201.367914	CU4hvZ3bu1rb7aY6B5	192.168.77.10	1045	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FNHNilEVViKk2mvr5	application/x-java-applet
1319844201.377231	CXX25k44DrhKwXziq2	192.168.77.10	1047	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FIIAQC1LnkjLcOZ5Vh	application/x-java-applet
1319844201.379724	CVis1883dCpvlLQId	192.168.77.10	1046	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	F3Ztav4fGbouwxBy9h	application/x-java-applet
1319844201.399006	CMlCXq2pTyKllFp5Ce	192.168.77.10	1049	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi3vww26GV1gcJAZsa	application/x-java-applet
1319844201.40426	CNlY3f3XAlZGeKQPA3	192.168.77.10	1048	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FhkDfQ1a596TAHddVb	application/x-java-applet
1319844201.411914	CyDcQVIyi4T3Km9ha	192.168.77.10	1050	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FwBVWw3FTSddClt7I4	application/x-java-applet
1319844201.406094	CgYRc04DtQPGFSN1H5	192.168.77.10	1051	109.236.82.61	80	1	GET	cyberab.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	FpkCIl3pdiZRlRg4gf	application/jar
1319844201.761782	Cx2uUn47rkvulGY7Dg	192.168.77.10	1052	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FqUscU3h0HdZu8obGh	application/jar
1319844202.181409	CRlbCD1zoTEZghaqJj	192.168.77.10	1054	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	506	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkkb7r18VNbY6FTavc	binary
1319844201.76016	CW2CkZ1UsjWXaS0CYk	192.168.77.10	1053	109.236.82.61	80	1	GET	109.236.82.61	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58880	200	OK	-	-	-	(empty)	-	-	-	-	-	F8GeDt1ELTQFOoq64	application/x-dosexec
1319844202.432568	CmQa4i2Q55RME35bc7	192.168.77.10	1056	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FYIjq02YbHrb1DKXx6	application/jar
1319844202.253144	CHOGSk1KsTLyBkRiSh	192.168.77.10	1055	109.236.82.61	80	1	GET	cyberab.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs7fVIwcEeGk9H3ei	application/jar
1319844202.839321	CmdQBI3xWEvXqaaHdc	192.168.77.10	1059	109.236.82.61	80	1	GET	cyberab.in	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58880	200	OK	-	-	-	(empty)	-	-	-	-	-	FMuNdkQYcK5jOM2j7	application/x-dosexec
1319844202.742329	CdAIvF4r2dN9cALZL8	192.168.77.10	1058	94.199.48.206	80	1	GET	advbeacon.net	/adv.php?i=6&rnd=29134	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1825	200	OK	-	-	-	(empty)	-	-	-	-	-	FqItGi2K2NqpKCbmq2	text/html
1319844206.733286	CUSafEGrrsaxRGe7g	192.168.77.10	1060	78.140.152.61	80	1	GET	c.ippcxml.net	/?d=hhhhZGx5YwtjYwH1YwRlZl9aol5jnUN/qJyxCGHmAGH3WaA1nJD9AwHlAP03WzEuqTR9JaZ5FzIVWGWTFRqIAQE2ISqeJHL5Ex9YBQOfnUAiLx9vrzqIMJp2M1LknyH3q3cxFwDlJwEEExIYI2qvFlHlDzZlrIA4nwD4BJWgBHIErJAyFaqdJQDlWGWPZ3W5Z1p4BRciE2SyHQN1BR5aMmqxD0cFnyIYoFHlDyAPrzkOFKSGJTbkDzc2rRIUWGWPJRc1Z1yPLycSA25iEyORIHgYMKcOMzWRnSOypzZ4HQMDJT1MA0c1D2k4pSZ4ZmH1ZaWIISWWZ0u4M2j1rIqXDHjjAmSIM3IBZ200D1t0HUOen1SPpHgiMyE6pJISI3t1HwD3WGWPpUO5oTSJpQSJqUEvZwZ2JHAjomuKIKOnBGybAIyHJyAYHUu0qyV4LIcdFIqFDyplrx1gBKZ2p2yUEayzqQWwAHp3ZPHlEyyyqPHlEzAcqFHlDzL1E1pkHH9vpwMzFxuSFKAzLISRMRkQWGWTFQMUH05eJIIWpTuEWGWTAxcCG3ODGJqQnxqbLKx1GQIXpyDjZJkxEwZyZxMLFUIVFHkeJKSBpUAjqaSxAxIiHTglqUydAmSPE004GJycH1WKIwqzGyuEoaOVZJ9zG0u2pHyaoIAkG2MUHSDlMJcvIKWdpIWeAHD5naH2EwHkIUplLHb5GTMXL0kiBTVmLzALMwyvEwSHJHWiHSbkL0E5pRc2nmyWG2A6AJf4I3xlHxgLHPHlEx5fJHMOpUH2nRWBJSyvJTMJAwMgG1M1qIq3JIcBpSHmEyW6M2EjZTMvnR9kHKpyZxWeH05Ao3H4FIp3FmMnL0gwoIunDyEwASqgWGWPox1SGQOXnR5Snyu6pwAZnwumAHIKnStkGySzJJkzZHq6JJETEQOdrvHlDxSSoRELWGWTZxInZT1JFQulGTuOERSGqJRyZxVkAUMPA0ICn2tjJxgLo2MgHRy6EyyWq2E0IwEGJSSDoHuMoQWFWGWPrzHlqxqDn0IGrHVlL29yIRAYLHxkZHyEHaqRF1q4A1uXpUHmERuIH3SZM0SGZ2uhEHIuBHcOJTR2pFHlEx9DASWjL3cdozAjZwISpTgzoyyOMTuIWGWPA0kaEzAcrIuiH282qaR1FPHlDxu4WGWPp0SeomEOLKEiEQuJWGWPoT5kqwWuHUcCLwN5GUAJZRyvIwR1oaqvGTMQZScjZ0SEZxIwIJS3ZaW4AGZ3AzgWFUO1IyVlASRyZxL5LyIIpzMcMzMLDyIIH2MkH0H5GUIOqHSLDxuurR80DxqHoGWWpSHyZxW0Lz5RGIy2JHyAJTZ0H1E6WGWPZHuwISSirKAdZaO1Z1qfnQquA3b4AKSEoayHHHLyZxMvn3ydHzkhMRkIGQuSJwOaA1b3EaWDMTj4q01DDGITqHSlqQWzpGEPEKL0IKAlA2yYoKqbDJ5aF1DyZxMvLwIyH282IaOPFT55DxxmHHc1Ezcjp0MXpTWiZyL1H01RMmyPZHD1FJ4kAlHlExHkI1AAnwO5o2cZoUSfnTSBnmEdHSAODJuXnmuaEHL3IzgZqQyyFKVlFyOwL3yiM3OJG3MkMlHmEUj2AGV0sQq8BGNjsT11p2ywVTAlo2AbMKDtM3WupTttpTS0qTIloaA8ZGN2BQV4sQHkZwE8ZmV4ZGxkZ3j0MJSvZmuzAKj0MGuwBGtjLajjsQMzAmIuLmtksQEuMQxlAQLlsTSxqzWyLJAiov5hMKD=033ff54fe1c1	http://advbeacon.net/adv.php?i=6&rnd=29134	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1319844206.871277	ClQGCpaFJEshnJ0Q4	192.168.77.10	1061	199.80.55.123	80	1	GET	199.80.55.123	/go.php?uid=53557&suid=6524-7&data=Zs9JeH/HGU44vTWkYF9FOK80lhsobObzgUeg6gV1jU7wzdJ42Z4QFEKWgbK+c2ySxj489bm9EQyceJwjX42+3ry3W88JoGaeP058Ngg7dCJRjUKm+SBzlAIqSXj1BjvxEG+XJu3YBbZE7noFPDUKKezAfbDhPerc8P6PXmY7JuClxpS83552rUTRI3Hxgl5yWJAL071UguN3m4CX4PpkkQBqKofTzqeEWx5R47+ppylaVp1Vttb236YCpo8WUpZ99h5YTZSKPxtvR8aZjIWRBW2zMm9s6siGFyft2c5G70/Yet/ciu+f5GW1QObr6fJHEIsfaQDdLC/H6GSNkYUIphQ/6JOOpPMgCjGhay5L5JrT01ldF3/XHuHILkYqNpspvqd6EoPkrtyj71BGM8MiiSRWV7fNXQnpH1ofOHvqIgmSqOfGPT2ejbUrjqRk5D9ju6F51Tw2aJ9LfJcLo8b3bcXf9bF1TYBoPZ1cDypJvk9IOcz5k8Wy2RKXP/NlYFApu6hBNXYbXfV66mOVuuWwYZNpU3FRzgdp0fbhOqQw+kSNMou8IW7K6ZcKcmXZBTc4Wm+nMEL0JhNEjXzr3Lj8s5EWhX1NQfYlf1GzYdFD0jz+AElDX/2EZ0mVH8rLhADASua+14vB7EOkh0ZKXofmPIzFYIwdtV4SXQPmHYl2R+ze2vGPkESyB2coeTCKaI11IQRwDKWx7XJpu3DHUSqLgAS3hnEEa9JAXa6q/OP4Rpczjncp25EpkfnYAdhU+7LgFciyXoSo6vq5H+Hx+sAko4AatoD8V+lnqv2aPzOb09LsV0IbV15nwbLfC0Zp3AQ2EcUaw2rx5376kIHpuVR24Q/9bUUrfiffXBUUSfqSE9LuAuAXBHaxO4BGTm2IpU+tbnDMYvYIMXc4STz+1HcTQoysj2pu3Wlh7a7z85qQnyTQF/bkyjRlndLUL8EZ0g7Z7FrPdl8wMPA5FuArt2fq4BEv4Usr7iKmwhAngKT/bb5eSo6VpBHnyBI3QJuFjpsFJpbo2V5SMDg9B1D5In17/E1WSMj0yojLlqlhaNk4jPSAAhJk8gEF7VkLt9eIr2JPccyogpVOvqg=	http://advbeacon.net/adv.php?i=6&rnd=29134	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1319844207.044767	Cs9bHJ210qs4QnJ6b1	192.168.77.10	1062	74.120.237.11	80	1	GET	r.looksmart.com	/og/pr=Psr;ro=3;rc=3;digest=db63ad604035c29d553afa975912241a;kid=0500d3699a28cb7d1e0e63a781674c6b;t=1319844086;v=8;data=IhvSbUEIoVhFHRnlOtUWVd3rCcVPhj_8zzP3-dJV8mqRuOBmLcaYPSnJ2XT4WJOrG3pO-rOAcIoPqQlkgtdCaKw8yGBIRHSZtPcKksgbGLnHKPPL0KWn5qM_LeSnAduDisypDdmHshSIZPqmreQLrVdMaJskYXAYwaZJOu5-xmI-N_x0etBtoA;uh=154x18335930930013414212;la=1251637;lm=1766075;ad=752998756;ag=763406275;kw=1320207233;qt=music crochet graph patterns;vr=5;lt=BM;ip=74.217.36.98;pt=;st=44.35.5.0.0.0.0;os=1144.308.3.0.3.295.4.17;sy=keyword;my=ROS;geo=894129;vid=0;subid=3844346;opi=dmeds4;ii=4194.79a1.4eab38f6.567b;pn=;to=;tc=3;po=3;pc=3;pi=dmeds4;ts=;rm=;pfid=53228;rh=advbeacon.net|http://looksmart.adveright.com/click.php?query=keyword&adgroupid=sn-4dcbf489360c2&source=k2&param1=53228-3844346&param6=1320207233-4194.79a1.4eab38f6.567b	http://advbeacon.net/adv.php?i=6&rnd=29134	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1319844207.211523	CnOtkW26XGIiI8cCV6	192.168.77.10	1063	64.214.227.42	80	1	GET	looksmart.adveright.com	/click.php?query=keyword&adgroupid=sn-4dcbf489360c2&source=k2&param1=53228-3844346&param6=1320207233-4194.79a1.4eab38f6.567b	http://advbeacon.net/adv.php?i=6&rnd=29134	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1319844207.324951	CdA4XD4ZEEUtH3ioH8	192.168.77.10	1064	64.214.227.35	80	1	GET	www.livingfrugal.com	/frugal.php?query=keyword&lfid=sn-4dcbf489360c2&lfs=k2&param1=53228-3844346&param6=1320207233-4194.79a1.4eab38f6.567b&sn_uuid=6af086fe-9a10-43fa-95eb-1eeb91badb8a&__x=0	http://advbeacon.net/adv.php?i=6&rnd=29134	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1319844207.3702	CdA4XD4ZEEUtH3ioH8	192.168.77.10	1064	64.214.227.35	80	2	GET	www.livingfrugal.com	/frugal.php?uvx=G21OEXYgDuPTWGhqtukQvgnZahFLAih6fYRAAUxbsL0L2BSk0fxGY7_iZZqctVYUribQHGaqA7ry0McdstF7Bbj4pzVC-b-csKbgsZRUC9dRrpFG8pQxYJ3KvXa8ygSHblMpKRRUHTahPzgp0m-FqRMyj7EeFyoV5psyVpgLsZnNE3-T6dJl3wLUamx5kETxDpxW5JmwZnZh30253Q7a9_8uu9XQlb4xpmV41ZsLcYzDgyUokAwWikKfwWIZNoSSkohvd7HgYLbsxibDoaBXevPdargJcJuJZtl7FGS-aFe4KHdJl3GCAUiUmed1p8DSxjlGXzOKsexS-dyrY7IY81A_UFqSkJfog8AEhhP54qr7O-VZSQTeDnyBUx-q3wZAUZxjYzeXL56LSMO6Ype_W647V-8_rZSIkGKOrqD7932sJgtj_uYkztBctEVav-46iWi91XDLD5usqgWUJWJ_uIJNbUydzwY5viw8DjYlWVvSU8Fvq4yp_n34DTvLx9rYF8vYwh7mduw1CrAyDha1arIbPddWCgGJ5mevP5tVTBQVV9ncRgyHipT35fFH875e2sBhjzK3HincxpBUusDHJu8jyQZuLB9j6M6gKP1zG1FOaW9Mu7tG4aMjijt6DcHipjN1YhONBIk*	http://advbeacon.net/adv.php?i=6&rnd=29134	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6963	200	OK	-	-	-	(empty)	-	-	-	-	-	FVa6A125tZyRJdCXsb	text/html
1319844207.83344	CdA4XD4ZEEUtH3ioH8	192.168.77.10	1064	64.214.227.35	80	3	GET	www.livingfrugal.com	/modules/header/flat/style.css	http://www.livingfrugal.com/frugal.php?uvx=G21OEXYgDuPTWGhqtukQvgnZahFLAih6fYRAAUxbsL0L2BSk0fxGY7_iZZqctVYUribQHGaqA7ry0McdstF7Bbj4pzVC-b-csKbgsZRUC9dRrpFG8pQxYJ3KvXa8ygSHblMpKRRUHTahPzgp0m-FqRMyj7EeFyoV5psyVpgLsZnNE3-T6dJl3wLUamx5kETxDpxW5JmwZnZh30253Q7a9_8uu9XQlb4xpmV41ZsLcYzDgyUokAwWikKfwWIZNoSSkohvd7HgYLbsxibDoaBXevPdargJcJuJZtl7FGS-aFe4KHdJl3GCAUiUmed1p8DSxjlGXzOKsexS-dyrY7IY81A_UFqSkJfog8AEhhP54qr7O-VZSQTeDnyBUx-q3wZAUZxjYzeXL56LSMO6Ype_W647V-8_rZSIkGKOrqD7932sJgtj_uYkztBctEVav-46iWi91XDLD5usqgWUJWJ_uIJNbUydzwY5viw8DjYlWVvSU8Fvq4yp_n34DTvLx9rYF8vYwh7mduw1CrAyDha1arIbPddWCgGJ5mevP5tVTBQVV9ncRgyHipT35fFH875e2sBhjzK3HincxpBUusDHJu8jyQZuLB9j6M6gKP1zG1FOaW9Mu7tG4aMjijt6DcHipjN1YhONBIk*	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2742	200	OK	-	-	-	(empty)	-	-	-	-	-	Fga3023pHo9cQVM1i5	text/plain
1319844207.835337	CqfsDF3DXShNRuSXNj	192.168.77.10	1065	64.214.227.35	80	1	GET	www.livingfrugal.com	/modules/header/flat/switchAdsToOpenInSameWindow/style.css	http://www.livingfrugal.com/frugal.php?uvx=G21OEXYgDuPTWGhqtukQvgnZahFLAih6fYRAAUxbsL0L2BSk0fxGY7_iZZqctVYUribQHGaqA7ry0McdstF7Bbj4pzVC-b-csKbgsZRUC9dRrpFG8pQxYJ3KvXa8ygSHblMpKRRUHTahPzgp0m-FqRMyj7EeFyoV5psyVpgLsZnNE3-T6dJl3wLUamx5kETxDpxW5JmwZnZh30253Q7a9_8uu9XQlb4xpmV41ZsLcYzDgyUokAwWikKfwWIZNoSSkohvd7HgYLbsxibDoaBXevPdargJcJuJZtl7FGS-aFe4KHdJl3GCAUiUmed1p8DSxjlGXzOKsexS-dyrY7IY81A_UFqSkJfog8AEhhP54qr7O-VZSQTeDnyBUx-q3wZAUZxjYzeXL56LSMO6Ype_W647V-8_rZSIkGKOrqD7932sJgtj_uYkztBctEVav-46iWi91XDLD5usqgWUJWJ_uIJNbUydzwY5viw8DjYlWVvSU8Fvq4yp_n34DTvLx9rYF8vYwh7mduw1CrAyDha1arIbPddWCgGJ5mevP5tVTBQVV9ncRgyHipT35fFH875e2sBhjzK3HincxpBUusDHJu8jyQZuLB9j6M6gKP1zG1FOaW9Mu7tG4aMjijt6DcHipjN1YhONBIk*	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2965	200	OK	-	-	-	(empty)	-	-	-	-	-	F0jOvk2FCd0rDqyzS5	text/plain
1319844207.838636	CdA4XD4ZEEUtH3ioH8	192.168.77.10	1064	64.214.227.35	80	4	GET	www.livingfrugal.com	/includes/images/logo-header-flat.gif	http://www.livingfrugal.com/frugal.php?uvx=G21OEXYgDuPTWGhqtukQvgnZahFLAih6fYRAAUxbsL0L2BSk0fxGY7_iZZqctVYUribQHGaqA7ry0McdstF7Bbj4pzVC-b-csKbgsZRUC9dRrpFG8pQxYJ3KvXa8ygSHblMpKRRUHTahPzgp0m-FqRMyj7EeFyoV5psyVpgLsZnNE3-T6dJl3wLUamx5kETxDpxW5JmwZnZh30253Q7a9_8uu9XQlb4xpmV41ZsLcYzDgyUokAwWikKfwWIZNoSSkohvd7HgYLbsxibDoaBXevPdargJcJuJZtl7FGS-aFe4KHdJl3GCAUiUmed1p8DSxjlGXzOKsexS-dyrY7IY81A_UFqSkJfog8AEhhP54qr7O-VZSQTeDnyBUx-q3wZAUZxjYzeXL56LSMO6Ype_W647V-8_rZSIkGKOrqD7932sJgtj_uYkztBctEVav-46iWi91XDLD5usqgWUJWJ_uIJNbUydzwY5viw8DjYlWVvSU8Fvq4yp_n34DTvLx9rYF8vYwh7mduw1CrAyDha1arIbPddWCgGJ5mevP5tVTBQVV9ncRgyHipT35fFH875e2sBhjzK3HincxpBUusDHJu8jyQZuLB9j6M6gKP1zG1FOaW9Mu7tG4aMjijt6DcHipjN1YhONBIk*	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8270	200	OK	-	-	-	(empty)	-	-	-	-	-	FXvDtr1xsxbWUyzPej	image/gif
1319844207.862639	CqfsDF3DXShNRuSXNj	192.168.77.10	1065	64.214.227.35	80	2	GET	www.livingfrugal.com	/modules/header/flat/images/homebody-bg.gif	http://www.livingfrugal.com/frugal.php?uvx=G21OEXYgDuPTWGhqtukQvgnZahFLAih6fYRAAUxbsL0L2BSk0fxGY7_iZZqctVYUribQHGaqA7ry0McdstF7Bbj4pzVC-b-csKbgsZRUC9dRrpFG8pQxYJ3KvXa8ygSHblMpKRRUHTahPzgp0m-FqRMyj7EeFyoV5psyVpgLsZnNE3-T6dJl3wLUamx5kETxDpxW5JmwZnZh30253Q7a9_8uu9XQlb4xpmV41ZsLcYzDgyUokAwWikKfwWIZNoSSkohvd7HgYLbsxibDoaBXevPdargJcJuJZtl7FGS-aFe4KHdJl3GCAUiUmed1p8DSxjlGXzOKsexS-dyrY7IY81A_UFqSkJfog8AEhhP54qr7O-VZSQTeDnyBUx-q3wZAUZxjYzeXL56LSMO6Ype_W647V-8_rZSIkGKOrqD7932sJgtj_uYkztBctEVav-46iWi91XDLD5usqgWUJWJ_uIJNbUydzwY5viw8DjYlWVvSU8Fvq4yp_n34DTvLx9rYF8vYwh7mduw1CrAyDha1arIbPddWCgGJ5mevP5tVTBQVV9ncRgyHipT35fFH875e2sBhjzK3HincxpBUusDHJu8jyQZuLB9j6M6gKP1zG1FOaW9Mu7tG4aMjijt6DcHipjN1YhONBIk*	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	758	200	OK	-	-	-	(empty)	-	-	-	-	-	FAqR6L2HpxJbV4pM2d	image/gif
1319844207.872288	CdA4XD4ZEEUtH3ioH8	192.168.77.10	1064	64.214.227.35	80	5	GET	www.livingfrugal.com	/modules/header/flat/images/bt-go.gif	http://www.livingfrugal.com/frugal.php?uvx=G21OEXYgDuPTWGhqtukQvgnZahFLAih6fYRAAUxbsL0L2BSk0fxGY7_iZZqctVYUribQHGaqA7ry0McdstF7Bbj4pzVC-b-csKbgsZRUC9dRrpFG8pQxYJ3KvXa8ygSHblMpKRRUHTahPzgp0m-FqRMyj7EeFyoV5psyVpgLsZnNE3-T6dJl3wLUamx5kETxDpxW5JmwZnZh30253Q7a9_8uu9XQlb4xpmV41ZsLcYzDgyUokAwWikKfwWIZNoSSkohvd7HgYLbsxibDoaBXevPdargJcJuJZtl7FGS-aFe4KHdJl3GCAUiUmed1p8DSxjlGXzOKsexS-dyrY7IY81A_UFqSkJfog8AEhhP54qr7O-VZSQTeDnyBUx-q3wZAUZxjYzeXL56LSMO6Ype_W647V-8_rZSIkGKOrqD7932sJgtj_uYkztBctEVav-46iWi91XDLD5usqgWUJWJ_uIJNbUydzwY5viw8DjYlWVvSU8Fvq4yp_n34DTvLx9rYF8vYwh7mduw1CrAyDha1arIbPddWCgGJ5mevP5tVTBQVV9ncRgyHipT35fFH875e2sBhjzK3HincxpBUusDHJu8jyQZuLB9j6M6gKP1zG1FOaW9Mu7tG4aMjijt6DcHipjN1YhONBIk*	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1547	200	OK	-	-	-	(empty)	-	-	-	-	-	FbKnlDs32TQbsa1m6	image/gif
