#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-44
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1349790327.340181	CxBCyu40ahO8KO57zb	192.168.79.10	1030	205.178.189.131	80	1	GET	avworld.ca	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	122	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F5Z3oU9eFdAmXkut9	text/html
1349790327.892475	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	6	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/print.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3841	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj7qpO3ND7AS90W22k	text/plain
1349790327.913088	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	7	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/default/onsale/css/product_onsale_label.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	743	200	OK	-	-	-	(empty)	-	-	-	-	-	F6vHD0401Triogz18h	text/plain
1349790327.894029	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	3	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/default/aw_blog/css/style.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	389	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FxBEHa3dLP6rYHoNdl	text/html
1349790327.93258	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	8	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/default/onsale/css/category_onsale_label.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1029	200	OK	-	-	-	(empty)	-	-	-	-	-	FZn2512EMVEZ0eeQci	text/plain
1349790327.950202	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	4	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/iestyles.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2726	200	OK	-	-	-	(empty)	-	-	-	-	-	FL87ZPtJpPj7j4IB3	text/plain
1349790328.082355	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	9	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/ie7minus.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1844	200	OK	-	-	-	(empty)	-	-	-	-	-	FF7EzeuoZi9bh23Jh	text/plain
1349790328.165019	C95t914kz5Vhp829Uj	192.168.79.10	1036	173.194.37.40	80	1	GET	www.google-analytics.com	/ga.js	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37227	200	OK	-	-	-	(empty)	-	-	-	-	-	FMFFmp3trNAkNVPvBa	text/plain
1349790328.264751	C95t914kz5Vhp829Uj	192.168.79.10	1036	173.194.37.40	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.6&utms=1&utmn=895103633&utmhn=www.aviationworld.net&utmcs=utf-8&utmsr=800x600&utmvp=796x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Welcome to Aviation World&utmhid=1811203029&utmr=-&utmp=/index.php&utmac=UA-12257272-1&utmcc=__utma=144451813.147546200.1349804609.1349804609.1349804609.1;+__utmz=144451813.1349804609.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=D~	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FLvAOJcKfJoe0mMW4	image/gif
1349790328.272668	C95t914kz5Vhp829Uj	192.168.79.10	1036	173.194.37.40	80	3	GET	www.google-analytics.com	/ga.js	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1349790328.304547	C95t914kz5Vhp829Uj	192.168.79.10	1036	173.194.37.40	80	4	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.6&utms=2&utmn=396111362&utmhn=www.aviationworld.net&utmcs=utf-8&utmsr=800x600&utmvp=796x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Welcome to Aviation World&utmhid=1811203029&utmr=-&utmp=/index.php&utmac=UA-12673964-1&utmcc=__utma=144451813.147546200.1349804609.1349804609.1349804609.1;+__utmz=144451813.1349804609.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=D~	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FIl76CvHdJfUgPjl	image/gif
1349790328.306457	CeqNCR1dPvMfE62wX4	192.168.79.10	1037	64.22.67.151	80	1	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/css/optionsbox.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1372	200	OK	-	-	-	(empty)	-	-	-	-	-	Fgcbvh23wi39YVFWEd	text/x-c
1349790328.30713	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	1	GET	www.aviationworld.net	/js/tablefilter/tablefilter.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	389	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fz2RUWImlbksTIaS1	text/html
1349790328.308097	CeqNCR1dPvMfE62wX4	192.168.79.10	1037	64.22.67.151	80	2	GET	www.aviationworld.net	/js/tablefilter/tablefilter.js	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	156	200	OK	-	-	-	(empty)	-	-	-	-	-	FT02AWz14NrgaB3Za	text/plain
1349790328.320848	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	2	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/header/aw-tabs-atpwholesale-off.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3025	200	OK	-	-	-	(empty)	-	-	-	-	-	FbnkNwI2FYbaUsse7	image/jpeg
1349790328.336881	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	1	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/header/aw-tabs-aviationworld-on.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4133	200	OK	-	-	-	(empty)	-	-	-	-	-	FTWmoi2NBWIaiMJTKj	image/jpeg
1349790328.324385	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	10	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/img-site/aw-wrapper-clouds.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33422	200	OK	-	-	-	(empty)	-	-	-	-	-	F1UHYU3WmHBbHuqN0d	image/jpeg
1349790328.324083	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	5	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/logo.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30786	200	OK	-	-	-	(empty)	-	-	-	-	-	FLbtQS394ile7sZUa3	image/jpeg
1349790328.388589	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	3	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/NewArrivals.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1334	200	OK	-	-	-	(empty)	-	-	-	-	-	FLmWdI23NoxRzKNwqg	image/gif
1349790328.543638	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	2	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/header/aw-header-questions.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6338	200	OK	-	-	-	(empty)	-	-	-	-	-	FRpURj4AVjnb4RyFsg	image/jpeg
1349790328.588567	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	4	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/OnSale.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1307	200	OK	-	-	-	(empty)	-	-	-	-	-	FzFxrcyopEsLUpmYi	image/gif
1349790328.58881	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	11	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/header/aw-header-clouds.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14036	200	OK	-	-	-	(empty)	-	-	-	-	-	F84mjH2E5fQpiQbqF1	image/jpeg
1349790328.611719	CFHPoR3yyACj1d35gc	192.168.79.10	1044	184.31.12.20	80	1	GET	s7.addthis.com	/static/btn/v2/lg-share-en.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1675	200	OK	-	-	-	(empty)	-	-	-	-	-	FVXYdzv66R51tsl6	image/gif
1349790328.614041	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	3	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/FacebookLogo.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2872	200	OK	-	-	-	(empty)	-	-	-	-	-	FVsclL2OYyEdY1NS1c	image/jpeg
1349790328.613791	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	5	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/MeetupLogo.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4919	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw2uNN1hDC3rkIkicf	image/jpeg
1349790328.617228	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	4	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/x.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FKSYyJ2d1XiNq55fU1	image/gif
1349790328.599922	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	6	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/shop_access_pipe.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	50	200	OK	-	-	-	(empty)	-	-	-	-	-	FRHwy43U4EYaW4UvO	image/gif
1349790328.617474	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	6	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/yyz.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	63510	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhlxv72UFUuyiTOzk3	image/jpeg
1349790328.614603	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	12	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/btn_mini_search.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1657	200	OK	-	-	-	(empty)	-	-	-	-	-	FSwSAP5b6WI6dRXF8	image/gif
1349790328.665712	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	7	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/Air2Banner.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	73826	200	OK	-	-	-	(empty)	-	-	-	-	-	FSQ3rC1aYFvIDwo35c	image/jpeg
1349790328.665187	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	5	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/yvr.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	63319	200	OK	-	-	-	(empty)	-	-	-	-	-	FW0R4h1YmDAy9gGpJj	image/jpeg
1349790328.666018	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	7	GET	lcdn.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/search_bg.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	345	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FlU6uD27ZCJkzK9G14	application/xml
1349790328.706225	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	6	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/RandolphFlashMirrorBanner.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46819	200	OK	-	-	-	(empty)	-	-	-	-	-	FlMgE92qWWIOIfxDsb	image/jpeg
1349790328.739397	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	13	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/header/aw-tabs-bg.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	557	200	OK	-	-	-	(empty)	-	-	-	-	-	FOyi3v4CmZC5fJbabh	image/jpeg
1349790328.740027	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	8	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/nav_divider.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fum1EZ5aJen4bwgZf	image/gif
1349790328.739767	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	8	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/ASAiPadPortfolioKBBanner.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	109703	200	OK	-	-	-	(empty)	-	-	-	-	-	FLm4ct3xlslwpJF16d	image/jpeg
1349790328.782823	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	7	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/iPadRamMountsBanner.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	127439	200	OK	-	-	-	(empty)	-	-	-	-	-	FqQaEm2DuCWOz4UWt4	image/jpeg
1349790328.882607	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	14	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/fb_follow_us.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6443	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc0STUkC4SlswUMGc	image/gif
1349790328.945616	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	9	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/JeTePlumeraiBanner.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	67363	200	OK	-	-	-	(empty)	-	-	-	-	-	FpiktyTUuHp1uEYQj	image/jpeg
1349790328.985902	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	8	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/PFLBweb.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31828	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff85e74QLSJeIUC4Sb	image/jpeg
1349790328.913771	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	9	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/tw_follow_us.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6180	200	OK	-	-	-	(empty)	-	-	-	-	-	FgPEvC3cxWgQtNB22	image/gif
1349790328.87059	Cs7qFt4DEC9h3TIgW6	192.168.79.10	1041	211.0.153.46	80	1	GET	seal.alphassl.com	/SiteSeal/alpha_image_115-55_en.js	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1688	200	OK	-	-	-	(empty)	-	-	-	-	-	FRq55KnUWl7ubCrw4	text/plain
1349790328.869686	CvgQkMJ4MpAdXdOaa	192.168.79.10	1042	211.0.153.46	80	1	GET	seal.alphassl.com	/SiteSeal/images/alpha_noscript_115-55_en.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2471	200	OK	-	-	-	(empty)	-	-	-	-	-	FZM6T12CE4tA0iaNQ3	image/gif
1349790329.191045	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	10	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/FCLweb.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29604	200	OK	-	-	-	(empty)	-	-	-	-	-	FGfdHE3gS2iYj6rQt	image/jpeg
1349790329.226191	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	9	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/footer/aw-newsletter-title.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2208	200	OK	-	-	-	(empty)	-	-	-	-	-	FXegLHCCA078B3Dt5	image/jpeg
1349790329.22586	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	15	GET	lcdn.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/header/aw-cartbg.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	345	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fes5WI1frsormv6nXe	application/xml
1349790329.226406	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	10	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/header/aw-tabs1.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	612	200	OK	-	-	-	(empty)	-	-	-	-	-	FP1kyH1xyOB5U8TRuc	image/jpeg
1349790329.291798	Cw3YgI2sq7qX4MQxte	192.168.79.10	1040	64.22.67.151	80	10	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/footer/aw-newsletter-subscribe.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2007	200	OK	-	-	-	(empty)	-	-	-	-	-	FjRku31RafwcJnVX2f	image/jpeg
1349790329.291249	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	11	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/footer/NewsletterSignUp.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10297	200	OK	-	-	-	(empty)	-	-	-	-	-	F5tyQE1qQIKR9nsGyj	image/jpeg
1349790329.291582	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	16	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/images/header/aw-tabs2.jpg	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	919	200	OK	-	-	-	(empty)	-	-	-	-	-	FCRv6G1llyCvMY1Pb	image/jpeg
1349790329.354505	C13rdr3q8tE5avsqbh	192.168.79.10	1038	64.22.67.151	80	12	GET	www.aviationworld.net	/skin/frontend/GProxy_Design/AW/images/center/TopWhiteSpace.gif	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	119	200	OK	-	-	-	(empty)	-	-	-	-	-	F7hIMPoGhHBp3tRc3	image/gif
