#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-07-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1373127296.358597	CCX5sM1EVryDZUioT7	192.168.64.10	1030	67.221.183.64	80	1	GET	billboard.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1373127296.896429	CHvzCG22vekQtH7ER9	192.168.64.10	1033	74.125.224.217	80	1	GET	www.googletagservices.com	/tag/js/gpt.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43326	200	OK	-	-	-	(empty)	-	-	-	-	-	F5lURUH2eWnRBr4yi	text/plain
1373127296.931318	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	5	GET	www.billboard.com	/files/js/js_4rPwjcsA1hzlHx2nz9_sLU0PwvjYpTcC3zy11uUsKH4.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16830	200	OK	-	-	-	(empty)	-	-	-	-	-	F12kWz1IhM0SNjtWw4	text/plain
1373127296.945861	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	8	GET	www.billboard.com	/files/js/js_-jenMcWHoY-_YofME9QdfIdN78Hvtfo2npip2cxdObU.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14253	200	OK	-	-	-	(empty)	-	-	-	-	-	FvDIU21msKCWtwD9rh	text/plain
1373127296.963096	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	6	GET	www.billboard.com	/files/js/js_EppbyVRYhU34reEYHpU3cF7DDqB8y46khqgW9yA_hAQ.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22512	200	OK	-	-	-	(empty)	-	-	-	-	-	FvdW1L3nBV6kP6Md71	text/plain
1373127296.989726	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	9	GET	www.billboard.com	/files/js/js_8_ECbCCh3rwv9R29V_MUYHrjpTH3e0pEaCur9_NOfhY.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17690	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqm7ri1ZnnjSyFQ7v9	text/plain
1373127297.030906	CQxhP54GTZv7TYXUwc	192.168.64.10	1034	74.125.224.217	80	1	GET	pagead2.googlesyndication.com	/pagead/show_companion_ad.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	77752	200	OK	-	-	-	(empty)	-	-	-	-	-	FUCXeh1paoC8qNxFq3	text/plain
1373127297.046126	C843M610TsSIs64WWi	192.168.64.10	1035	74.125.224.186	80	1	GET	partner.googleadservices.com	/gampad/google_ads_gpt.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	57781	200	OK	-	-	-	(empty)	-	-	-	-	-	FOSf8e4D9BISQpQy2j	text/plain
1373127297.287935	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	7	GET	www.billboard.com	/files/js/js_I0HIuhe3kwPM3zbpi0RtqsdmGmNf_rIkIehQeIBP3aM.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48183	200	OK	-	-	-	(empty)	-	-	-	-	-	FoVgDr1WH4J1ONTJoe	text/plain
1373127297.319584	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	10	GET	www.billboard.com	/files/js/js_aNpdzvfaOmkcUqL8-fP4HRYkbQjKPguezlz5Eb-eP8Y.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	78513	200	OK	-	-	-	(empty)	-	-	-	-	-	FyuiyN3alDxuRClZIc	text/plain
1373127297.366603	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	8	GET	www.billboard.com	/files/js/js_QjZX0FKaGSOSyStBCIVc2E6FkkR4uGD1ZU9iSgUnMf0.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3750	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdo7RI3q7npyZqX38d	text/plain
1373127297.441835	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	11	GET	www.billboard.com	/files/js/js_ijMsaVWSReQY973X9NSuuMzRonH9KviGI7x_wFMPYwM.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	245	200	OK	-	-	-	(empty)	-	-	-	-	-	FoNOUBwp58GqrtJZe	text/plain
1373127297.461101	CRBmh528aqyyVJSu5l	192.168.64.10	1036	74.125.28.154	80	1	GET	stats.g.doubleclick.net	/dc.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39305	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ9Nhc4yfhkauUIAt7	text/plain
1373127297.661843	CRBmh528aqyyVJSu5l	192.168.64.10	1036	74.125.28.154	80	2	GET	stats.g.doubleclick.net	/__utm.gif?utmwv=5.4.3dc&utms=1&utmn=1122583677&utmhn=www.billboard.com&utmcs=utf-8&utmsr=800x600&utmvp=784x479&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Billboard - Music Charts, Music News, Artist Photo Gallery & Free Video&utmhid=1013235768&utmr=-&utmp=/&utmht=1373141578843&utmac=UA-1266747-9&utmcc=__utma=199695677.407789531.1373141579.1373141579.1373141579.1;+__utmz=199695677.1373141579.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FmxcQA32cz2iwEef12	image/gif
1373127297.866089	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	9	GET	www.billboard.com	/files/js/js_6pNjSAjyMefhgDmiZjAq41GZ7MA8EAo8_dwz9_CnXhU.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110174	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ1Ddf3bnsTlciHtkj	text/html
1373127298.115831	CCngsoNQkri33bs34	192.168.64.10	1038	74.125.28.82	80	1	GET	html5shiv.googlecode.com	/svn/trunk/html5.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2444	200	OK	-	-	-	(empty)	-	-	-	-	-	FZQJM61rUwA0mFkKS5	text/html
1373127298.188625	CCngsoNQkri33bs34	192.168.64.10	1038	74.125.28.82	80	2	GET	html5shiv.googlecode.com	/svn/trunk/html5.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1373127298.46177	C6Kv0o2XUKj3S323s8	192.168.64.10	1039	74.125.28.82	80	1	GET	universal-ie6-css.googlecode.com	/files/ie6.1.1.css	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4380	200	OK	-	-	-	(empty)	-	-	-	-	-	FA67dg22QWDJKzFmL3	text/plain
1373127298.5361	C0djs83qzrs9nm8D8c	192.168.64.10	1042	74.201.85.20	80	1	GET	rt.legolas-media.com	/lgrt?ci=2&ti=1200&pbi=10805	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7	200	OK	-	-	-	(empty)	-	-	-	-	-	FKhLld4nNXCTm9nwDk	text/plain
1373127298.55277	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	10	GET	www.billboard.com	/files/imageblock/billboard-biz-switch.png	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1682	200	OK	-	-	-	(empty)	-	-	-	-	-	F6Tkjv2gQh1qhzO0Hb	image/png
1373127298.542435	CJQMcd4veDm1tz0Jw	192.168.64.10	1041	205.160.30.17	80	1	GET	b.scorecardresearch.com	/beacon.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1900	200	OK	-	-	-	(empty)	-	-	-	-	-	F8a6isEVTD0zhSURl	text/plain
1373127298.551424	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	12	GET	www.billboard.com	/sites/all/themes/bb/images/bb_logo.png	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6690	200	OK	-	-	-	(empty)	-	-	-	-	-	FgIPe52eXKM3Q2JSqk	image/png
1373127298.627494	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	13	GET	www.billboard.com	/misc/menu-expanded.png	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	106	200	OK	-	-	-	(empty)	-	-	-	-	-	FgnO9e1fM2xNaFSIpi	image/png
1373127298.627133	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	11	GET	www.billboard.com	/misc/menu-leaf.png	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	126	200	OK	-	-	-	(empty)	-	-	-	-	-	FnKREN3fxme3WAzQtd	image/png
1373127298.627779	C4onlAmuCFIHcATug	192.168.64.10	1043	93.184.216.139	80	1	GET	platform.twitter.com	/widgets.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	86605	200	OK	-	-	-	(empty)	-	-	-	-	-	FqyU5p3soGawOgzBXj	text/plain
1373127298.731613	CjU2Af16q9NABCby7e	192.168.64.10	1044	31.13.77.49	80	1	GET	www.facebook.com	/plugins/like.php?href=http://facebook.com/billboard&layout=button_count&show_faces=false&width=100&font=arial&height=25&action=like&colorscheme=light&locale=en_US&send=false	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14746	200	OK	-	-	-	(empty)	-	-	-	-	-	FthwnM1sFzbydQmi43	text/html
1373127298.789787	CzCa6028Go2de7ti1k	192.168.64.10	1045	66.226.78.248	80	1	GET	ca19514.luckyorange.com	/w.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2057	200	OK	-	-	-	(empty)	-	-	-	-	-	FYq7l24VtPcGJwu9Pl	text/plain
1373127298.841782	CwwLkal6gyIveR4r4	192.168.64.10	1046	74.125.224.186	80	1	GET	pubads.g.doubleclick.net	/gampad/ads?gdfp_req=1&correlator=399669338340841&output=json_html&callback=googletag.impl.pubads.setAdContentsBySlotForSync&impl=ss&json_a=1&iu_parts=6419,billboard,home&enc_prev_ius=/0/1/2,/0/1/2,/0/1/2,/0/1/2&prev_iu_szs=300x250|300x600|300x1050,970x250|970x90|970x66,728x90,1x1&ists=1&prev_scp=pos=m1&dartlegolas=32875|pos=t|pos=a&dartlegolas=32875|tags=%5Bnode%3Afield_tags%5D,%5Bnode%3Afield_article_category%5D,homepage&cust_params=tags_global=homepage&cookie_enabled=1&lmt=1373126848&dt=1373141579953&cc=100&ea=0&biw=784&bih=479&oid=3&oe=utf-8&gut=v2&ifi=1&u_tz=-240&u_java=true&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&flash=10.0.32.18&url=http://www.billboard.com/&adks=2875995546,2243286684,1993052150,1431535390&vrg=23&vrp=23&ga_vid=407789531.1373141579&ga_sid=1373141579&ga_hid=528300099&ga_fc=true&ga_wpids=UA-1266747-9	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8296	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs6GtA3dHozFz9bYPe	text/plain
1373127298.982223	CJQMcd4veDm1tz0Jw	192.168.64.10	1041	205.160.30.17	80	2	GET	b.scorecardresearch.com	/b?c1=2&c2=7395269&ns__t=1373141580171&ns_c=windows-1252&c8=Billboard - Music Charts, Music News, Artist Photo Gallery & Free Video&c7=http://www.billboard.com/&c9=	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1373127299.005483	CJQMcd4veDm1tz0Jw	192.168.64.10	1041	205.160.30.17	80	3	GET	b.scorecardresearch.com	/b2?c1=2&c2=7395269&ns__t=1373141580171&ns_c=windows-1252&c8=Billboard - Music Charts, Music News, Artist Photo Gallery & Free Video&c7=http://www.billboard.com/&c9=	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
1373127299.018428	CQxhP54GTZv7TYXUwc	192.168.64.10	1034	74.125.224.217	80	2	GET	pagead2.googlesyndication.com	/pagead/osd.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27873	200	OK	-	-	-	(empty)	-	-	-	-	-	FHIwW31HzrY5liFPGf	text/plain
1373127299.102018	Cly9aS3zVv2A0YPky7	192.168.64.10	1049	174.35.3.36	80	1	GET	cdn.undertone.com	/js/ajs.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3991	200	OK	-	-	-	(empty)	-	-	-	-	-	F03HrsOkq8i8nax7	text/plain
1373127299.133679	C12hyA4ZxV3u9y4bi2	192.168.64.10	1050	65.112.85.10	80	1	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/yl/r/USXaRuzWABI.js	http://www.facebook.com/plugins/like.php?href=http%3A%2F%2Ffacebook.com%2Fbillboard&layout=button_count&show_faces=false&width=100&font=arial&height=25&action=like&colorscheme=light&locale=en_US&send=false	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	165119	200	OK	-	-	-	(empty)	-	-	-	-	-	FYY4651DECZTNuqboe	text/plain
1373127299.159552	COqCIm3pX4O7fzsWql	192.168.64.10	1052	65.112.85.10	80	1	GET	static.ak.fbcdn.net	/rsrc.php/v2/yv/r/oTfBdQmTkz1.gif	http://www.facebook.com/plugins/like.php?href=http%3A%2F%2Ffacebook.com%2Fbillboard&layout=button_count&show_faces=false&width=100&font=arial&height=25&action=like&colorscheme=light&locale=en_US&send=false	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	657	200	OK	-	-	-	(empty)	-	-	-	-	-	FqfW5I28RkOKRfkBag	image/gif
1373127299.102319	CIjriU2v6Wdtx0kqTa	192.168.64.10	1048	66.226.78.248	80	1	GET	w1.luckyorange.com	/w.php?nc=16&ovid=11778&res_id=0&rid=0&cid=0&uf=0&u=http://www.billboard.com/&r=&uid=null&rf=2126285&key=null&ir=null&t=Billboard - Music Charts, Music News, Artist Photo Gallery & Free Video&si=0&sk=0&def_plan=0	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6896	200	OK	-	-	-	(empty)	-	-	-	-	-	FBiYUO3Bt5Q8XLs5X5	text/plain
1373127299.277453	CIjriU2v6Wdtx0kqTa	192.168.64.10	1048	66.226.78.248	80	2	GET	w1.luckyorange.com	/js/engines.min.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16660	200	OK	-	-	-	(empty)	-	-	-	-	-	FsPstQbwKewnyFMkf	text/plain
1373127299.262526	CfErXsn0Aau4oO1zd	192.168.64.10	1055	23.11.93.95	80	1	GET	ads.undertone.com	/aj?&zoneid=55865&cb=84535273497&t=1373127180.265&fv=10.0.32.18&x=93&y=973&sw=800&sh=600&cw=784&ch=479&loc=http://www.billboard.com/	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1373127299.35672	CfErXsn0Aau4oO1zd	192.168.64.10	1055	23.11.93.95	80	2	GET	ads.undertone.com	/aj?&zoneid=55865&cb=84535273497&t=1373127180.265&fv=10.0.32.18&x=93&y=973&sw=800&sh=600&cw=784&ch=479&loc=http://www.billboard.com/&ct=1	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1373127299.392608	CJ7kbTNuCI2zuwSUh	192.168.64.10	1056	65.112.85.43	80	1	GET	ak1.abmr.net	/is/ads.undertone.com?U=/aj&V=3-TsGo/C+T/XC4xw/agVkBqB4A2I2lrf4fH6UNlOIOykFX5Q+PUx5Te9P5X3CpNdtN&I=A64F69D613AB755&D=undertone.com&01AD=1&&zoneid=55865&cb=84535273497&t=1373127180.265&fv=10.0.32.18&x=93&y=973&sw=800&sh=600&cw=784&ch=479&loc=http://www.billboard.com/&ct=1	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1373127299.330453	CIjriU2v6Wdtx0kqTa	192.168.64.10	1048	66.226.78.248	80	3	GET	w1.luckyorange.com	/lo.min.js?nc=90	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	132676	200	OK	-	-	-	(empty)	-	-	-	-	-	FnxVaw4iZBJhvo6vb8	text/plain
1373127299.403859	CfErXsn0Aau4oO1zd	192.168.64.10	1055	23.11.93.95	80	3	GET	ads.undertone.com	/aj?01AD=31T_tY-XFn1Z1uLTXoy1xl-9rsY61TExF8Hvq9IREyavTcl8JuppDNA&01RI=A64F69D613AB755&01NA=na&&zoneid=55865&cb=84535273497&t=1373127180.265&fv=10.0.32.18&x=93&y=973&sw=800&sh=600&cw=784&ch=479&loc=http://www.billboard.com/&ct=1	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10785	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Vb8F4iR3ngQnWtZf	text/plain
1373127299.610883	CMmPSi24DT3aZprW76	192.168.64.10	1057	63.238.2.224	80	1	GET	c1.undertonevideo.com	/ads/images/close.png	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1461	200	OK	-	-	-	(empty)	-	-	-	-	-	FCELGMiBFnVvhmMIg	image/png
1373127299.620121	CM1oIh4uJLiPiKucS	192.168.64.10	1058	63.238.2.224	80	1	GET	c1.undertonevideo.com	/ads/images/open.png	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1595	200	OK	-	-	-	(empty)	-	-	-	-	-	FGf2mvTNzt0PzFhH2	image/png
1373127299.630038	CHt2W33cLIkSBhAq13	192.168.64.10	1059	216.38.172.131	80	1	GET	servedby.flashtalking.com	/imp/3/27181;605957;201;pixel;Undertone;UT970x250BillboardTopTierGeotargetedSanFrancisco/?cachebuster=e72984e15eca42e58c1e3c2200192c84	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42	200	OK	-	-	-	(empty)	-	-	-	-	-	FvUx501ngHDofriB3l	image/gif
1373127299.712378	CtWbq214N7sH4bXQa	192.168.64.10	1065	50.23.124.152	80	1	GET	tags.bluekai.com	/site/450	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1373127299.709176	CZSbAB2USKs6t1u1u9	192.168.64.10	1060	65.112.85.56	80	1	GET	js.moatads.com	/undertonedispdfii5278/moatad.js?moatClientLevel1=6875&moatClientLevel2=43594&moatClientLevel3=106963&moatClientLevel4=532922&moatClientSlicer1=131779&moatClientSlicer2=55865	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30895	200	OK	-	-	-	(empty)	-	-	-	-	-	F5e4rD4dMntzplfUBj	text/plain
1373127299.711983	CCOfvH1N3auExnLRAi	192.168.64.10	1063	205.160.30.65	80	1	GET	b.voicefive.com	/c2/2113/rs.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4963	200	OK	-	-	-	(empty)	-	-	-	-	-	FuhEak3QZIRk7vAV3b	text/plain
1373127299.669897	CfErXsn0Aau4oO1zd	192.168.64.10	1055	23.11.93.95	80	4	GET	ads.undertone.com	/l?bannerid=532922&campaignid=131779&zoneid=55865&UTLIA=1&clang=en&ccat=7510,7512,7526,7527,7528,7529,7531,7541,7545,7546,7547,7548,7553,7554,12750,12752,12940,13475,13476,15780,15963,16621,16932,16951,17114,17122,17183,17764,18161&cb=692d974c0dc543beaad6e50829bdc1b3&bk=mpivpq&id=53ucmq045xuxrb4cte4c82zw6&st=http://www.billboard.com/	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FMXVPk2PlbWcnFcKV4	image/gif
1373127299.764914	C78Vad3cwyYI3ICVN6	192.168.64.10	1066	216.120.27.21	80	1	GET	adadvisor.net	/adscores/g.pixel?sid=9211197038&_cb=1373127182	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
