#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-59-59
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1389760993.68382	CQo9P49tLXXdrz95c	192.168.87.10	1036	66.39.29.236	80	1	GET	besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FYj0XS38ryRu8OJi2l	text/html
1389760994.183186	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	2	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3852	200	OK	-	-	-	(empty)	-	-	-	-	-	FRWKJF2snsWpVay6Pk	text/plain
1389760994.183536	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus_default.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3870	200	OK	-	-	-	(empty)	-	-	-	-	-	FtcD2f2euVNSOBbJ0a	text/plain
1389760994.186713	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/forum/forum.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1057	200	OK	-	-	-	(empty)	-	-	-	-	-	F8Szfm4A4MuuoGQvCi	text/plain
1389760994.189664	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/cck/theme/content-module.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3308	200	OK	-	-	-	(empty)	-	-	-	-	-	FGXZtD1IVRuQgwhDHf	text/plain
1389760994.183819	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	2	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3087	200	OK	-	-	-	(empty)	-	-	-	-	-	F13IuwjCT3XOkAJ6a	text/plain
1389760994.193258	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	4	GET	www.besthealthmag.ca	/profiles/besthealth/modules/block_edit/block_edit.js?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	521	200	OK	-	-	-	(empty)	-	-	-	-	-	F44HRC2aioEGisdfoh	text/plain
1389760994.191746	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	3	GET	www.besthealthmag.ca	/misc/jquery.js?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	31101	200	OK	-	-	-	(empty)	-	-	-	-	-	Flrxsq2ehsdGWU4UQ3	text/plain
1389760994.198825	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/cck/modules/fieldgroup/fieldgroup.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	98	200	OK	-	-	-	(empty)	-	-	-	-	-	FEoxdo32VbCWIwfjok	text/plain
1389760994.198473	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	5	GET	www.besthealthmag.ca	/themes/besthealth_skin/script.js?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6252	200	OK	-	-	-	(empty)	-	-	-	-	-	FlIHjY2LNm9EByPoI8	text/plain
1389760994.207534	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	4	GET	www.besthealthmag.ca	/profiles/besthealth/modules/fivestar/css/fivestar.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2145	200	OK	-	-	-	(empty)	-	-	-	-	-	FWlGzlsLKSpV9bzTf	text/plain
1389760994.209684	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	4	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/print.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	650	200	OK	-	-	-	(empty)	-	-	-	-	-	FpGaS64aCvKnQ302mb	text/plain
1389760994.210067	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	6	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus.js?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1724	200	OK	-	-	-	(empty)	-	-	-	-	-	FiK3DAcakGsOVJHcl	text/plain
1389760994.211427	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	5	GET	www.besthealthmag.ca	/sites/all/modules/poormanscron/poormanscron.js?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	616	200	OK	-	-	-	(empty)	-	-	-	-	-	FSsMlSayVBVIY5nof	text/plain
1389760994.209378	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	5	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/main.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	118987	200	OK	-	-	-	(empty)	-	-	-	-	-	F5Gu5lZSPLEhHwsjh	text/plain
1389760994.220736	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	6	GET	www.besthealthmag.ca	/profiles/besthealth/modules/fivestar/js/fivestar.js?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	15662	200	OK	-	-	-	(empty)	-	-	-	-	-	FBdIQN1o2Kwivu2Lh3	text/plain
1389760994.221111	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	5	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date_popup/themes/datepicker.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4077	200	OK	-	-	-	(empty)	-	-	-	-	-	FmGh6P13ctrVbPuStg	text/plain
1389760994.2512	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/star_rating.css	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1307	200	OK	-	-	-	(empty)	-	-	-	-	-	FAl9eD2Vu1FMDJukX3	text/plain
1389760994.255116	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	6	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/common.css	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2441	200	OK	-	-	-	(empty)	-	-	-	-	-	FsQjQS116KEnxO3MRb	text/plain
1389760993.853045	CuPvST3XnOjZ2D5X2k	192.168.87.10	1037	72.21.91.19	80	1	GET	www.besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	67247	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi5k1Vp9vlE5REhG2	text/html
1389760994.192708	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	5	GET	www.besthealthmag.ca	/misc/drupal.js?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	9746	200	OK	-	-	-	(empty)	-	-	-	-	-	FgNfK1Me9UBIcnRZa	text/plain
1389760994.526621	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/page-header-bg.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	994	200	OK	-	-	-	(empty)	-	-	-	-	-	FMZ8Sj4yAgw5faxXpk	image/gif
1389760994.526977	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	6	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/en/ad_warning_banner.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	318	200	OK	-	-	-	(empty)	-	-	-	-	-	F2FRYC3EeDIQ6ffib5	image/gif
1389760994.548185	CP7C784RXncARBlVYi	192.168.87.10	1046	74.125.224.186	80	1	GET	www.googletagservices.com	/tag/js/gpt.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	40437	200	OK	-	-	-	(empty)	-	-	-	-	-	FRpGVd3exxv00A39hh	text/plain
1389760994.547761	Cx5sEq2zb3aSov37cl	192.168.87.10	1045	198.144.96.74	80	1	GET	b.scorecardresearch.com	/beacon.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1900	200	OK	-	-	-	(empty)	-	-	-	-	-	FwAost2M0VJbB69dxl	text/plain
1389760994.678048	Cx5sEq2zb3aSov37cl	192.168.87.10	1045	198.144.96.74	80	2	GET	b.scorecardresearch.com	/b?c1=2&c2=6034767&ns__t=1389775259546&ns_c=windows-1252&c8=Womens Health & Lifestyle Magazine for Canadian Women | Best Health&c7=http://www.besthealthmag.ca/&c9=	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1389760994.65079	CizB4d3JXsyjryT3Hc	192.168.87.10	1047	74.125.224.252	80	1	GET	ad.doubleclick.net	/N5479/adj/theloop.en.besthealth/hub;tile=1;sz=728x90;ord=36156226347?	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1625	200	OK	-	-	-	(empty)	-	-	-	-	-	FeNeSF1V8ZRsUcaXFb	text/plain
1389760994.716705	Cx5sEq2zb3aSov37cl	192.168.87.10	1045	198.144.96.74	80	3	GET	b.scorecardresearch.com	/b2?c1=2&c2=6034767&ns__t=1389775259546&ns_c=windows-1252&c8=Womens Health & Lifestyle Magazine for Canadian Women | Best Health&c7=http://www.besthealthmag.ca/&c9=	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
1389760994.361344	CNNDbz11YTyuEkQg19	192.168.87.10	1043	206.47.72.169	80	1	GET	lifestyle.sympatico.msn.ca	/Bell.Sympatico.CMS/Includes/shared2.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43718	200	OK	-	-	-	(empty)	-	-	-	-	-	FGf9UmppgcuraXqpc	text/plain
1389760994.727147	CyWVOH3UjP5uIqvGAc	192.168.87.10	1048	74.125.224.173	80	1	GET	partner.googleadservices.com	/gpt/pubads_impl_32.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	59428	200	OK	-	-	-	(empty)	-	-	-	-	-	FPrkMn2ozpTdVYW5N4	text/plain
1389760995.253955	CsifCI3Mko4RIJESfl	192.168.87.10	1049	38.71.5.31	80	1	GET	cdn.acuityplatform.com	/bell/acuityJTag.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1220	200	OK	-	-	-	(empty)	-	-	-	-	-	Fyid0n4Wrw3RYwbygd	text/html
1389760995.255524	CknGHb3gjoI82fwmVi	192.168.87.10	1050	74.125.224.186	80	1	GET	pagead2.googlesyndication.com	/pagead/js/lidar.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43638	200	OK	-	-	-	(empty)	-	-	-	-	-	FCdZAy3YQLOk10qfm4	text/plain
1389760995.471018	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	8	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/french-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	253	200	OK	-	-	-	(empty)	-	-	-	-	-	FPpNAG23QeN9cEbRwi	image/gif
1389760995.471797	CuPvST3XnOjZ2D5X2k	192.168.87.10	1037	72.21.91.19	80	2	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/header_topband.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FamoDn3ro0B7WyrOCe	image/gif
1389760995.471426	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/BH_ONLINE_LOGO_2013.png	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6539	200	OK	-	-	-	(empty)	-	-	-	-	-	FU7Oycb8FWGlmBu2g	image/png
1389760995.4994	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	6	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/white-saprator.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	44	200	OK	-	-	-	(empty)	-	-	-	-	-	FW4lFx1XYTJrsK3YR3	image/gif
1389760995.510456	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	8	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/header_secondtopband.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	891	200	OK	-	-	-	(empty)	-	-	-	-	-	FT6oPx3qB5iSY1DA23	image/gif
1389760995.633817	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/searchbotton.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	871	200	OK	-	-	-	(empty)	-	-	-	-	-	F97FBY24HKz9R8Axl7	image/gif
1389760995.634238	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/Loop_166x39.png	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6510	200	OK	-	-	-	(empty)	-	-	-	-	-	FrVOCn4tjb26xTdx8j	image/png
1389760995.646464	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	8	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/nav_middle.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	175	200	OK	-	-	-	(empty)	-	-	-	-	-	FtLTWwMdfsxs47P74	image/gif
1389760995.645931	CuPvST3XnOjZ2D5X2k	192.168.87.10	1037	72.21.91.19	80	3	GET	www.besthealthmag.ca	/themes/besthealth_skin/jquery.min.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	57254	200	OK	-	-	-	(empty)	-	-	-	-	-	Fruoas2Z7KOfEGXv47	text/plain
1389760995.652272	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	7	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/lookgreat-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1627	200	OK	-	-	-	(empty)	-	-	-	-	-	FaPVfWdGgEc2hxhUf	image/gif
1389760995.661204	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	9	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/gethealthy-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1707	200	OK	-	-	-	(empty)	-	-	-	-	-	FNUDlZ31TKBePWenB8	image/gif
1389760995.661549	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	8	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/eatwell-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1543	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp8gXs153NO1CR06hd	image/gif
1389760995.661848	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	10	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/embracelife-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1688	200	OK	-	-	-	(empty)	-	-	-	-	-	FyhLrt1YiNaqyYzUCf	image/gif
1389760995.667306	CuPvST3XnOjZ2D5X2k	192.168.87.10	1037	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/swap-n-drop-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1673	200	OK	-	-	-	(empty)	-	-	-	-	-	FjDvCF4Xu2HnMffDB5	image/gif
1389760995.668943	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/bg-imgnav.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	853	200	OK	-	-	-	(empty)	-	-	-	-	-	FNP0cQ2RbU1pZZsQBa	image/gif
1389760995.669337	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	8	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/special-features-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1840	200	OK	-	-	-	(empty)	-	-	-	-	-	FX46aB4rdyHhpKhqF1	image/gif
1389760995.681441	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/bg_container_body.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	76	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffqt9BSGHuLb2Lc8j	image/gif
1389760995.685592	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	10	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/white-saprator-small.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	44	200	OK	-	-	-	(empty)	-	-	-	-	-	FTg0Bf1XaLc4wDgzOb	image/gif
1389760995.691571	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	11	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/magazine-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1641	200	OK	-	-	-	(empty)	-	-	-	-	-	FhWfeI37eCAlUFwgve	image/gif
1389760995.691959	CuPvST3XnOjZ2D5X2k	192.168.87.10	1037	72.21.91.19	80	5	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/subscribe-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1490	200	OK	-	-	-	(empty)	-	-	-	-	-	FqQlAu3aqA9lVvadu9	image/gif
1389760995.692383	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	10	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nav_right.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	568	200	OK	-	-	-	(empty)	-	-	-	-	-	FTSgyW2vu5SHfRNcRf	image/gif
1389760995.693906	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/nav_left.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	723	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu8iY744LYXccDDIs3	image/gif
1389760995.701012	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	10	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/store-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	896	200	OK	-	-	-	(empty)	-	-	-	-	-	FNKl9mVXEu9YNyHo2	image/gif
