#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-54-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1362180934.069562	CISmDA42uvsH9qhku7	192.168.28.10	1030	184.168.221.22	80	1	GET	interconnectcare.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1362180934.904619	Cmvo5S10NItsrqDzJ9	192.168.28.10	1031	97.74.144.110	80	6	GET	www.aaainterconnectcare.com	/a	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9910	200	OK	-	-	-	(empty)	-	-	-	-	-	FyEguA3mQhE6ZmJMRg	application/x-dosexec
1362180935.091232	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	6	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/submit-button.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1219	200	OK	-	-	-	(empty)	-	-	-	-	-	FQW9G31ZQX0xN3JMPd	image/gif
1362180935.145124	C0nOz84bUf7smXhWal	192.168.28.10	1033	97.74.144.110	80	1	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/sidebar-top.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1033	200	OK	-	-	-	(empty)	-	-	-	-	-	F7FiJU2yMYRG5j2ruj	image/gif
1362180935.211393	C0nOz84bUf7smXhWal	192.168.28.10	1033	97.74.144.110	80	2	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/s.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1086	200	OK	-	-	-	(empty)	-	-	-	-	-	FYT0Ka4Wysp0lOnKBc	image/gif
1362180935.192437	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	7	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/footer-bg.jpg	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19964	200	OK	-	-	-	(empty)	-	-	-	-	-	FuSuWHK6sHgdhqSkh	image/jpeg
1362180935.280148	C0nOz84bUf7smXhWal	192.168.28.10	1033	97.74.144.110	80	3	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/h2-bg.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1708	200	OK	-	-	-	(empty)	-	-	-	-	-	FXlgPn1fPtynmvrMi5	image/gif
1362180935.308167	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	8	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/recentpost.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	908	200	OK	-	-	-	(empty)	-	-	-	-	-	FC4nOb4DIG0StcMFt3	image/gif
1362180935.348297	C0nOz84bUf7smXhWal	192.168.28.10	1033	97.74.144.110	80	4	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/bullet_blue.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	845	200	OK	-	-	-	(empty)	-	-	-	-	-	F1E1gY20VYec8YWJS6	image/gif
1362180935.370921	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	9	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/feature-footer.jpg	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13369	200	OK	-	-	-	(empty)	-	-	-	-	-	FmVSX44p4AZBKemIK3	image/jpeg
1362180935.4117	C0nOz84bUf7smXhWal	192.168.28.10	1033	97.74.144.110	80	5	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/feature-header.jpg	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14531	200	OK	-	-	-	(empty)	-	-	-	-	-	FRSf6V3MFKyzI9uqNa	image/jpeg
#close	2014-04-03-10-54-15
