#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-05-14
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331174521.67921	Cemsiy3HJyFGs9Laa3	192.168.92.10	1029	178.21.113.186	80	1	GET	uniekgraszoden.nl	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1331174546.340473	CqpMPj1ZyEzThcAR8f	192.168.92.10	1040	178.21.113.186	80	4	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/dscf0117.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	144389	200	OK	-	-	-	(empty)	-	-	-	-	-	FgZ5gn1jB2B3NntLEi	image/jpeg
1331174551.449264	C36bHzSPej1FXkEPj	192.168.92.10	1035	178.21.113.186	80	17	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/dscf0125.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	121825	200	OK	-	-	-	(empty)	-	-	-	-	-	FS6WtK2r3X1jFQZWMj	image/jpeg
1331174556.454194	Cvf6rG1MF2PlEySReg	192.168.92.10	1052	208.48.0.10	80	1	GET	crl.adobe.com	/aum.crl	-	Adobe Update Manager 6	0	2819	200	OK	-	-	-	(empty)	-	-	-	-	-	FzdhHo4wpaxBkEo08k	binary
1331174556.382021	CBXYJM2W59CBNRqHg8	192.168.92.10	1051	208.48.0.33	80	1	GET	swupmf.adobe.com	/manifest/60/win/reader9rdr-en_US.upd	-	Adobe Update Manager 6	0	192693	200	OK	-	-	-	(empty)	-	-	-	-	-	FFQzIu1j9ukeYjEXa	binary
1331174556.677972	CBXYJM2W59CBNRqHg8	192.168.92.10	1051	208.48.0.33	80	2	GET	swupmf.adobe.com	/manifest/60/win/AdobeUpdater.upd	-	Adobe Update Manager 6	0	3524	200	OK	-	-	-	(empty)	-	-	-	-	-	FTyX1S2zVg8ip8ZGu	binary
1331174556.626547	CqpMPj1ZyEzThcAR8f	192.168.92.10	1040	178.21.113.186	80	5	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/dscf0128.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	124761	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxm4bh1zkBGzTDi7k	image/jpeg
1331174561.649487	C36bHzSPej1FXkEPj	192.168.92.10	1035	178.21.113.186	80	18	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/dscf0133.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	115823	200	OK	-	-	-	(empty)	-	-	-	-	-	FEe1tw4js29AvED16g	image/jpeg
1331174566.730806	CqpMPj1ZyEzThcAR8f	192.168.92.10	1040	178.21.113.186	80	6	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/dscf0134.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	117323	200	OK	-	-	-	(empty)	-	-	-	-	-	FL3dgl4PxzZAUPKzGc	image/jpeg
1331174571.77624	C36bHzSPej1FXkEPj	192.168.92.10	1035	178.21.113.186	80	19	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/2.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	111712	200	OK	-	-	-	(empty)	-	-	-	-	-	F4H3u214XmiGQhqSy1	image/jpeg
1331174576.791603	CqpMPj1ZyEzThcAR8f	192.168.92.10	1040	178.21.113.186	80	7	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/3.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	70872	200	OK	-	-	-	(empty)	-	-	-	-	-	FKniPVgA1GCllEdBi	image/jpeg
1331174581.810292	C36bHzSPej1FXkEPj	192.168.92.10	1035	178.21.113.186	80	20	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/4.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	100956	200	OK	-	-	-	(empty)	-	-	-	-	-	FlWaeC3s9MOq5flH8	image/jpeg
1331174586.982719	CqpMPj1ZyEzThcAR8f	192.168.92.10	1040	178.21.113.186	80	8	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/5.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	95126	200	OK	-	-	-	(empty)	-	-	-	-	-	FDfIWKvuwb7efrmBj	image/jpeg
1331174592.059355	C36bHzSPej1FXkEPj	192.168.92.10	1035	178.21.113.186	80	21	GET	www.uniekgraszoden.nl	/wp-content/gallery/galatasaray/6.jpg	http://www.uniekgraszoden.nl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	92638	200	OK	-	-	-	(empty)	-	-	-	-	-	FU8z1UOlmsH9Bt3Q3	image/jpeg
#close	2014-04-03-11-05-14
