#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-16-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1358465048.093147	CctYawws82UBJ8767	192.168.11.10	1030	70.85.235.89	80	1	GET	yourofficeannex.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1358465052.89662	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	7	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/woman.png	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55557	200	OK	-	-	-	(empty)	-	-	-	-	-	FpXYIM2tnw8NtPpRS8	image/png
1358465052.997351	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	8	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/twitter.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12630	200	OK	-	-	-	(empty)	-	-	-	-	-	FPTlGf1oymXtpnhjV7	image/jpeg
1358465053.083126	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	9	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/facebook.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12592	200	OK	-	-	-	(empty)	-	-	-	-	-	FmkK3s4x1h0E1M56pb	image/jpeg
1358465052.84688	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	5	GET	www.yourofficeannex.com	/c0de385b581c691b47358b094f4cfd95.css?t=968105705	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	129773	200	OK	-	-	-	(empty)	-	-	-	-	-	FJx9Ub1Xc2wxHwgny4	application/x-dosexec
1358465053.117296	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	10	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/linkedin.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12881	200	OK	-	-	-	(empty)	-	-	-	-	-	F7Dm7y3HZWpsGJP2Xg	image/jpeg
1358465053.145389	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	6	GET	www.yourofficeannex.com	/wp-includes/js/jquery/jquery.form.js?ver=2.02m	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8429	200	OK	-	-	-	(empty)	-	-	-	-	-	F8dS0u2VVifHKlN8k	text/plain
1358465053.161122	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	11	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/bg.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11410	200	OK	-	-	-	(empty)	-	-	-	-	-	FKEBHa14520fqbkoE9	image/jpeg
1358465053.181939	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	7	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/contentbg1.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12462	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsk7Ta19KNXr0zU7Yh	image/jpeg
1358465053.318023	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	12	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/contentbg.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12919	200	OK	-	-	-	(empty)	-	-	-	-	-	FPHqsu2ccNeGOFr4nl	image/jpeg
1358465053.318328	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	8	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/leftbg.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11448	200	OK	-	-	-	(empty)	-	-	-	-	-	FhIzVr1HKWRFnSNrue	image/jpeg
1358465053.405977	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	9	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/services.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20895	200	OK	-	-	-	(empty)	-	-	-	-	-	FAY54F23XRhsUbLgce	image/jpeg
1358465053.405662	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	13	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/logo.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	73338	200	OK	-	-	-	(empty)	-	-	-	-	-	FIqNt92kFCn4rVlcj8	image/jpeg
1358465053.445668	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	10	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/admin.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14298	200	OK	-	-	-	(empty)	-	-	-	-	-	Fimnaq3kRsYNoxIrId	image/jpeg
1358465053.4856	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	14	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/edit.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14159	200	OK	-	-	-	(empty)	-	-	-	-	-	FSIjt149BXf50IQwS7	image/jpeg
1358465053.489965	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	11	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/data.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14021	200	OK	-	-	-	(empty)	-	-	-	-	-	F4rw6n2hmfn8Tv91mf	image/jpeg
1358465053.557144	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	15	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/pro.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13696	200	OK	-	-	-	(empty)	-	-	-	-	-	F4SkZ63weaZcpgnwu3	image/jpeg
1358465053.561108	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	12	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/mar.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13535	200	OK	-	-	-	(empty)	-	-	-	-	-	FBWv0YOKuPBFDXE3j	image/jpeg
1358465053.603016	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	16	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/med.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13750	200	OK	-	-	-	(empty)	-	-	-	-	-	FuIigU1kcrHqEsKqEg	image/jpeg
1358465053.60327	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	13	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/sal.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14410	200	OK	-	-	-	(empty)	-	-	-	-	-	FWnYyc2jalamJLe0Kc	image/jpeg
1358465053.640277	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	17	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/trad.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14337	200	OK	-	-	-	(empty)	-	-	-	-	-	FjTp5QhcRr603izjf	image/jpeg
1358465053.648027	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	14	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/eve.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14367	200	OK	-	-	-	(empty)	-	-	-	-	-	FX6ae23oQKwQUvpfJ6	image/jpeg
1358465053.67411	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	18	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/cre.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14272	200	OK	-	-	-	(empty)	-	-	-	-	-	FoqzWfH7E1BWbBSck	image/jpeg
1358465053.67733	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	15	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/wri.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14242	200	OK	-	-	-	(empty)	-	-	-	-	-	FJXKmX1PeM6zuZuYB6	image/jpeg
1358465053.712261	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	19	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/res.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14034	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy0Olp15OmFXna3Fx7	image/jpeg
1358465053.715778	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	16	GET	www.yourofficeannex.com	/wp-content/plugins/contact-form-7/scripts.js?ver=2.1	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4594	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd6vuz8sKIIfqOGn5	text/plain
#close	2014-04-03-11-16-21
