#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-31-00
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331404802.472598	C8GaJ041RKAoTKMtL9	192.168.44.10	1030	50.22.65.189	80	1	GET	arizontennisdomes.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1331404805.609356	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	14	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/tagline.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12804	200	OK	-	-	-	(empty)	-	-	-	-	-	FolLRT37N7OppCXgRj	image/png
1331404805.644863	C2Iy9Y107VYzRtNCGa	192.168.44.10	1047	64.140.213.57	80	1	GET	www.nysportimes.com	/images/kastles_color.gif	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1940	200	OK	-	-	-	(empty)	-	-	-	-	-	FFAWFFq0aEvXHO94	image/gif
1331404805.610826	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	10	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/mcenroe.jpg	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91223	200	OK	-	-	-	(empty)	-	-	-	-	-	FtO2DN2s7ESIAEMsGb	image/jpeg
1331404805.646008	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	15	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/photos-home.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	232777	200	OK	-	-	-	(empty)	-	-	-	-	-	FVmWWb29QCD9C0qFS7	image/png
1331404805.929045	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	16	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/mainpic-bg.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6396	200	OK	-	-	-	(empty)	-	-	-	-	-	FUhw7e3vzvpkcpwZui	image/png
1331404806.034359	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	17	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/read-more.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1042	200	OK	-	-	-	(empty)	-	-	-	-	-	Fcs3E4WCbNLQBRnib	image/png
1331404805.779011	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	11	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/bg_splat_v2.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	291255	200	OK	-	-	-	(empty)	-	-	-	-	-	FWJvcouSi34lz1bxg	image/png
1331404806.257225	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	18	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/rss.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1140	200	OK	-	-	-	(empty)	-	-	-	-	-	FpS77Z2coOTbzWcV5l	image/png
1331404806.257608	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	12	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/call-us-rcol.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26105	200	OK	-	-	-	(empty)	-	-	-	-	-	FKWNQWVM65yImT2x7	image/png
1331404806.334807	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	19	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/pencil.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	586	200	OK	-	-	-	(empty)	-	-	-	-	-	F9d3neieB6CEot6Ga	image/png
1331404806.335149	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	13	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/NY-skyline.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120834	200	OK	-	-	-	(empty)	-	-	-	-	-	FZrFM14PiSO2JtOjbi	image/png
1331404806.526435	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	20	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/scoreboard-bg.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5909	200	OK	-	-	-	(empty)	-	-	-	-	-	FLjVCE33KTEVaVMPi9	image/png
1331404806.59803	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	14	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/category-tag.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	362	200	OK	-	-	-	(empty)	-	-	-	-	-	FINpE917R7XBiz9Cz6	image/png
1331404806.598384	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	21	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/archive-cal.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	521	200	OK	-	-	-	(empty)	-	-	-	-	-	FdfWQD2GZtcyE9vgC6	image/png
1331404806.630483	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	15	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/footerbg.gif	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1119	200	OK	-	-	-	(empty)	-	-	-	-	-	FVmrs9lRxDsIbRLo	image/gif
1331404806.630822	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	22	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/tennis-net.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	377810	200	OK	-	-	-	(empty)	-	-	-	-	-	FL8msE32TdHgwHpY3l	image/png
1331404806.998533	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	23	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/calendar.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	292	200	OK	-	-	-	(empty)	-	-	-	-	-	FBvgee2B7moY9IGcee	image/png
1331404807.030025	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	24	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/fb.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2587	200	OK	-	-	-	(empty)	-	-	-	-	-	FOnPuj2QSeIsfehOyc	image/png
1331404807.068179	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	25	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/twitter.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2638	200	OK	-	-	-	(empty)	-	-	-	-	-	F5nGiqNGiZ4pKlwb1	image/png
1331404807.128849	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	26	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/youtube.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2062	200	OK	-	-	-	(empty)	-	-	-	-	-	FTpc4x4GtCO7Jm55z4	image/png
1331404806.68355	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	16	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/bg_splat_overlay.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	512100	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ8sd72GVveWJbLLYk	image/png
1331404807.176844	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	27	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/arizon-buildings.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1405	200	OK	-	-	-	(empty)	-	-	-	-	-	FZGun8diB67rYBkY2	image/png
1331404807.218269	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	17	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/johnson.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2097	200	OK	-	-	-	(empty)	-	-	-	-	-	F5VxHm2wrqyplZsqVg	image/png
1331404807.221797	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	28	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/marcraft.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2476	200	OK	-	-	-	(empty)	-	-	-	-	-	FsENBx36Z2zaNXZl44	image/png
1331404807.303947	CF3awK2pVTecs0kh5	192.168.44.10	1049	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/?1bfa2bb8efef132ee91daf9401197c07	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18268	200	OK	-	-	-	(empty)	-	-	-	-	-	FDoCbx19FH7hSySTb7	application/jar
1331404807.305945	CQXxdE3aWsUFJkba24	192.168.44.10	1048	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/?239a828442ca5e0a5d94e939684cdcdb	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	22122	200	OK	-	-	-	(empty)	-	-	-	-	-	FmmBii38iVHGxliMzj	application/jar
1331404807.699657	CZUNw51ZFfgrdGdJ5i	192.168.44.10	1050	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/?1bfa2bb8efef132ee91daf9401197c07	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18268	200	OK	-	-	-	(empty)	-	-	-	-	-	Flud6n3spS9Y7CNxsg	application/jar
1331404807.790585	CO7FxT30Tkb42JZGLg	192.168.44.10	1051	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/?239a828442ca5e0a5d94e939684cdcdb	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	22122	200	OK	-	-	-	(empty)	-	-	-	-	-	FFBJgj3IkSLPmFpKL6	application/jar
1331404808.15069	CPQv3C3JeQWx2IAmP3	192.168.44.10	1052	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/?1bfa2bb8efef132ee91daf9401197c07	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18268	200	OK	-	-	-	(empty)	-	-	-	-	-	FmZZRyxJWD6ThMbM	application/jar
1331404808.655947	C4xzos20UpZMju74C9	192.168.44.10	1054	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FDu0cE1nPoUNA8h9f6	text/html
1331404808.511839	CwZekMpj7jdgJrE0b	192.168.44.10	1053	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/?239a828442ca5e0a5d94e939684cdcdb	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	22122	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmaz4a1LJXxkH2VoWd	application/jar
1331404808.867224	CHcdlW1bDJe71fd6Pa	192.168.44.10	1055	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F0HULo6lhmXvRU3Be	text/html
1331404809.063659	CoYalc2YbnhOL5miwc	192.168.44.10	1056	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fpgor91nnSdxga8Gmi	text/html
1331404809.261293	CWy3k54p970kcJF4I4	192.168.44.10	1058	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fo7YIN1MJkeAPwmvak	text/html
1331404809.195331	CJUbnM2oIEphD5nEDi	192.168.44.10	1057	188.165.3.22	80	1	GET	lllorange.info	/?8ccb2d2616808ca994439df6545a9375	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286208	200	OK	-	-	-	(empty)	-	-	-	-	-	FE8Ypc4DQHMA6u6mU3	application/x-dosexec
1331404809.569844	CD6KsTukawqR8cKm3	192.168.44.10	1059	188.165.3.22	80	1	GET	lllorange.info	/?9f372734850b2e7bc313d94262ac0a2c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286208	200	OK	-	-	-	(empty)	-	-	-	-	-	FNur8U2g3bXBxXAWg	application/x-dosexec
1331404824.532853	CpmUYM39zMwJYfJaC8	192.168.44.10	1060	188.165.3.22	80	1	GET	lllorange.info	/?3dc65d81fb49c7107108765fcfa0c9e3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286208	200	OK	-	-	-	(empty)	-	-	-	-	-	FPZZFx34dJ5b4cBMrb	application/x-dosexec
1331404826.482253	CzttGN1mPaKxqDEdZb	192.168.44.10	1061	188.165.3.22	80	1	GET	lllorange.info	/?9fb3441060a6e734f43026965cee0498	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286208	200	OK	-	-	-	(empty)	-	-	-	-	-	F7ZNu4Xnd30oP6Mbl	application/x-dosexec
1331404833.099887	CDo1DR2shlibQ4ow6a	192.168.44.10	1063	188.165.3.22	80	1	GET	lllorange.info	/?700114bd5061cb709ad956b13ccb227a	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286208	200	OK	-	-	-	(empty)	-	-	-	-	-	FV4rrg3qhhArr3CB9k	application/x-dosexec
1331404849.888602	CoIyeL1zyipReqkoQb	192.168.44.10	1064	74.125.47.100	80	1	GET	www.google-analytics.com	/ga.js	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33407	200	OK	-	-	-	(empty)	-	-	-	-	-	FBHNNh3xdXC4HJReLh	text/plain
