#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-43-45
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337944390.661134	CSQHMoqFGSuouwO78	192.168.117.10	1030	180.149.253.174	80	1	GET	bacchushk.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FU0St1pZsaRcXea8f	application/octet-stream
1337944400.006376	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	11	GET	www.bacchushk.com	/wp-content/uploads/2011/02/Untitled-1.jpg	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24808	200	OK	-	-	-	(empty)	-	-	-	-	-	FQnA7d4dZ3GNc2EPba	image/jpeg
1337944401.609185	CpRqgn41FMWw2TBwde	192.168.117.10	1041	96.17.44.20	80	3	GET	s7.addthis.com	/static/r07/widget082.css	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51511	200	OK	-	-	-	(empty)	-	-	-	-	-	FV4sVp43yfIJ7EByVb	text/plain
1337944401.630161	CNI9Rg48sJrWlQY62k	192.168.117.10	1042	96.17.44.20	80	1	GET	s7.addthis.com	/static/r07/widgetIE67001.css	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	866	200	OK	-	-	-	(empty)	-	-	-	-	-	FbUavq2BEwumoJORJb	text/plain
1337944401.67329	CNI9Rg48sJrWlQY62k	192.168.117.10	1042	96.17.44.20	80	2	GET	s7.addthis.com	/static/r07/sh088.html	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43836	200	OK	-	-	-	(empty)	-	-	-	-	-	FOVt1QUXlaX82fjXj	text/html
1337944401.966856	CpRqgn41FMWw2TBwde	192.168.117.10	1041	96.17.44.20	80	4	GET	s7.addthis.com	/static/r07/widget005_32x32_top.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32398	200	OK	-	-	-	(empty)	-	-	-	-	-	FpBrU5wD6GRcBTk92	image/png
1337944401.567531	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	10	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/main_demo-03.jpg	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	60022	200	OK	-	-	-	(empty)	-	-	-	-	-	FJMfT3E49MwVJS9je	image/jpeg
1337944401.578448	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	12	GET	www.bacchushk.com	/wp-content/uploads/2011/02/Logo.jpg	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	45093	200	OK	-	-	-	(empty)	-	-	-	-	-	F3FzvF2cS0V9sZJfGe	image/jpeg
1337944402.956127	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	11	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/bbg-01.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	663	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn5fIt3CxjkBDwrj9h	image/png
1337944403.884077	C1Y0pl3mpdtAIPMWE2	192.168.117.10	1045	64.215.255.122	80	1	GET	cf.addthis.com	/red/p.json?vr=250&rev=113774&rb=0&gen=1000&gen=100&sid=4fbfa119e2ffa6d2&callback=_ate.ad.hrr&pub=xa-4d7697dc44c348cd&chr=utf-8&uid=4fbfa11ce2661d3c&url=http://www.bacchushk.com/&1lkho9u	http://s7.addthis.com/static/r07/sh088.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	88	200	OK	-	-	-	(empty)	-	-	-	-	-	FeZvmP2wUj9JAKYXzf	text/plain
1337944403.950587	C69Tfv13yhoEED1M37	192.168.117.10	1046	64.215.255.24	80	1	GET	m.addthisedge.com	/live/t00/250lo.gif?1irgd68&uid=4fbfa11ce2661d3c&pub=xa-4d7697dc44c348cd&rev=113774&jsl=1&si=4fbfa119e2ffa6d2&ln=en&pc=men&dp=www.bacchushk.com&of=0&uf=1&irt=0&md=2&ct=1&tct=0&abt=0&lt=1953&cdn=0&tl=c=1547,m=1562,i=1578,xm=3531,xp=3531&pi=1	http://s7.addthis.com/static/r07/sh088.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37	200	OK	-	-	-	(empty)	-	-	-	-	-	Flqmml3iz2jNewyF9d	image/gif
1337944403.293493	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	12	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/leftmenu-01.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	62536	200	OK	-	-	-	(empty)	-	-	-	-	-	FmQFjX30YnryjYY3y	image/png
1337944402.95899	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	13	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/topnav-01.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	131809	200	OK	-	-	-	(empty)	-	-	-	-	-	FMWiLF3ScdJTZs9H62	image/png
1337944403.978102	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	13	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/jillijheader.jpg	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	369	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F05l1L2ntpKYZ9cSOa	text/html
1337944404.242315	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	14	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/footer-01.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	86726	200	OK	-	-	-	(empty)	-	-	-	-	-	FsPZXOa0nDk2bNK7	image/png
1337944404.161363	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	14	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/main_mood_en-01.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	198113	200	OK	-	-	-	(empty)	-	-	-	-	-	FovfaP3Ez1k4ifMlI	image/png
1337944405.035387	CGB0kA4inFJPqkCbvl	192.168.117.10	1044	188.72.248.219	80	1	GET	dfcvewverv.tk	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58622	200	OK	-	-	-	(empty)	-	-	-	-	-	FvLCTs2JdEiibkuQj9	application/zip
1337944405.758141	CGB0kA4inFJPqkCbvl	192.168.117.10	1044	188.72.248.219	80	2	GET	dfcvewverv.tk	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58622	200	OK	-	-	-	(empty)	-	-	-	-	-	FOlXEE1kmXowJVotS	application/zip
1337944406.204239	CGB0kA4inFJPqkCbvl	192.168.117.10	1044	188.72.248.219	80	3	GET	dfcvewverv.tk	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58622	200	OK	-	-	-	(empty)	-	-	-	-	-	FryDEi4UBaa3iRGmp3	application/zip
1337944406.867165	CGB0kA4inFJPqkCbvl	192.168.117.10	1044	188.72.248.219	80	4	GET	dfcvewverv.tk	/1.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	32768	200	OK	-	-	-	(empty)	-	-	-	-	-	FGrq8c1W7KCBbzkPr6	application/x-dosexec
1337944410.664629	CH3D3zgOo25YPtwb1	192.168.117.10	1047	173.194.37.81	80	1	GET	www.google.com	/	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22882	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz4EMihOEIpikkDa	text/html
1337944410.712029	CqCh8E4j8E4sRoyYvk	192.168.117.10	1039	188.72.248.219	80	3	GET	dfcvewverv.tk	/2.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32768	200	OK	-	-	-	(empty)	-	-	-	-	-	FzzcD42aZID2F4dlM1	application/x-dosexec
1337944411.240938	CH3D3zgOo25YPtwb1	192.168.117.10	1047	173.194.37.81	80	2	GET	www.google.com	/images/icons/product/chrome-48.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1834	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr1b4U3UTMJvkPWjCf	image/png
1337944411.491969	CH3D3zgOo25YPtwb1	192.168.117.10	1047	173.194.37.81	80	3	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	FZKbbkdWrpRfWLNZi	image/png
1337944411.495706	CL5IRb1JDqbnFe3oA5	192.168.117.10	1048	173.194.37.81	80	1	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	FWt0kO2FDlzRdqbQnc	image/png
1337944411.626214	CH3D3zgOo25YPtwb1	192.168.117.10	1047	173.194.37.81	80	4	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1337944411.626529	CL5IRb1JDqbnFe3oA5	192.168.117.10	1048	173.194.37.81	80	2	GET	www.google.com	/xjs/_/js/s/s,st,anim,bbd,sb_he,hv,sk,pj,tbpr,tbui,spp,rsn,ob,mb,lc,du,ada,lu,pcc,csitl/rt=j/ver=SQikf2HH-pU.en_US./d=1/rs=AItRSTP-OM8NYKwAdXxL8qVy2EyH0zRBTA	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	208509	200	OK	-	-	-	(empty)	-	-	-	-	-	FEuXjd43r2sofZWsE5	text/plain
1337944412.704213	CL5IRb1JDqbnFe3oA5	192.168.117.10	1048	173.194.37.81	80	3	GET	www.google.com	/csi?v=3&s=webhp&action=&wif=1&e=37863,37938,38100,38135,38285,38788,39000&ei=5Wi_T6XHKIKe8QTF7cWBCw&imc=2&imn=2&imp=2&rt=xjsls.359,prt.359,ol.391,iml.391,xjses.516,xjsee.937,xjs.1406	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
1337944414.2439	CSCxMbXybefTx6PT	192.168.117.10	1050	188.72.248.219	80	1	GET	188.72.248.219	/562118.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	363520	200	OK	-	-	-	(empty)	-	-	-	-	-	FiZKeZ3oSgVPXiwEkj	binary
1337944417.136683	CSCxMbXybefTx6PT	192.168.117.10	1050	188.72.248.219	80	2	GET	188.72.248.219	/562118.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	162816	200	OK	-	-	-	(empty)	-	-	-	-	-	FALdPm1LmbLco0pJp	binary
1337944418.210029	CSCxMbXybefTx6PT	192.168.117.10	1050	188.72.248.219	80	3	GET	188.72.248.219	/562118.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	407552	200	OK	-	-	-	(empty)	-	-	-	-	-	FqK3tQdoHDABe9F2j	binary
1337944419.843729	CSCxMbXybefTx6PT	192.168.117.10	1050	188.72.248.219	80	4	GET	188.72.248.219	/562118.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	163840	200	OK	-	-	-	(empty)	-	-	-	-	-	FROvYy29HLGqsFtCB1	binary
1337944420.366599	CSCxMbXybefTx6PT	192.168.117.10	1050	188.72.248.219	80	5	GET	188.72.248.219	/562118.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	79328	200	OK	-	-	-	(empty)	-	-	-	-	-	FoYJKnwHy71e7Ylwl	binary
1337944420.691688	CSCxMbXybefTx6PT	192.168.117.10	1050	188.72.248.219	80	6	GET	188.72.248.219	/562118.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	484930	200	OK	-	-	-	(empty)	-	-	-	-	-	FdPn5S3dpF7mNv1QVa	binary
1337944422.749126	CSCxMbXybefTx6PT	192.168.117.10	1050	188.72.248.219	80	7	GET	188.72.248.219	/562118.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	156672	200	OK	-	-	-	(empty)	-	-	-	-	-	F3OTRkIboxpQQKXUc	binary
1337944423.337467	CSCxMbXybefTx6PT	192.168.117.10	1050	188.72.248.219	80	8	GET	188.72.248.219	/562118.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	666	200	OK	-	-	-	(empty)	-	-	-	-	-	FJq27e3pnj9uomRWDg	binary
1337944432.880881	CPlB163wEHaLxDREve	192.168.117.10	1052	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	FkNq7o3X0oWkfO6p	text/plain
1337944432.988065	CsmnZc43kYp3AAvocl	192.168.117.10	1053	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	310	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi5IEh1hkKz9mydwJa	image/gif
1337944433.053394	CztMnw4FPpVVPKbMgg	192.168.117.10	1055	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=2&d=7&s=121	-	Opera/9 (Windows NT 5.1; US; x86)	0	671	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmxmlb1pncfwKiPLja	image/gif
1337944433.22639	CK2H694yndj9RiPgrj	192.168.117.10	1057	78.140.131.157	80	1	GET	11t5aq5.cdn35.theuploadservice.com	/file/id=AgAoAAEAmwIBAAEFCBcAAAAAAAAAAAAAAAAAAAAjDAUXCwAAAEJhSRThEVmmrLhwgiZvmW8AAFVVVVVVVVVVVVVVVVVVVVWIOs0BrAGbtrz_AABVd3Vtc219Y29lczMyaGc4Zzg4AkaTNQrd_hNvNFYA&rt=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
1337944434.407074	Cn84mc3KnaArPJ5ixj	192.168.117.10	1058	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=3&d=7&s=130	-	Opera/9 (Windows NT 5.1; US; x86)	0	671	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzewxl4EonaaA7anH3	image/gif
1337944434.673149	CU3ioa4MoPHxj22VEk	192.168.117.10	1060	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=4&d=7&s=131	-	Opera/9 (Windows NT 5.1; US; x86)	0	2092	200	OK	-	-	-	(empty)	-	-	-	-	-	FmxlKG1pfA7qOdg6a9	image/gif
1337944434.830867	CZVDlp4AoRAzc47G7g	192.168.117.10	1062	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=5&d=7&s=1	-	Opera/9 (Windows NT 5.1; US; x86)	0	1487	200	OK	-	-	-	(empty)	-	-	-	-	-	F5lJZi3tLVTPcu1cC1	image/gif
1337944435.063541	Ck6zfr3AePaodPkWue	192.168.117.10	1064	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=6&d=7&s=20	-	Opera/9 (Windows NT 5.1; US; x86)	0	592	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq2cov3K9crx2UUVWg	image/gif
