#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-52-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314546048.002137	Cfh4gq3qXuBMQQF0z8	192.168.80.10	1030	78.47.64.212	80	1	GET	poot.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51966	302	Found	-	-	-	(empty)	-	-	-	-	-	Fdj04H3duJCf1ND8ed	text/html
1314546053.852703	C0Talh4Fp41tKSIre2	192.168.80.10	1047	65.121.208.251	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1639	200	OK	-	-	-	(empty)	-	-	-	-	-	FiJKLh3GjSEzEO1nB3	text/html
1314546053.744177	CQWl0E2xCuEXyWdrMd	192.168.80.10	1034	188.127.228.44	80	4	GET	maseoi1l4f.c0m.li	/p/62e130dfbf6a7d1951c5681d72530e1febe3aee632811f99b79200257b140e55_pdf	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	268	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	FDjjjjjiDs97Kw3xg	text/html
1314546050.809903	CNWQXz3exQSbWDii6f	192.168.80.10	1042	80.246.114.204	80	1	GET	www.poot.com	/flash/movie2.swf	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110709	200	OK	-	-	-	(empty)	-	-	-	-	-	FcZYkO2veK18jXBRqh	application/x-shockwave-flash
1314546054.161497	CfbIMw14eNRSk2z1u5	192.168.80.10	1048	80.246.114.204	80	1	GET	www.poot.com	/images/flaggenl.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	864	200	OK	-	-	-	(empty)	-	-	-	-	-	FNof033uE5aZB5dE1	image/jpeg
1314546054.433242	C47VEa2LXQnE7TY35f	192.168.80.10	1049	80.246.114.204	80	1	GET	www.poot.com	/images/flaggede.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	921	200	OK	-	-	-	(empty)	-	-	-	-	-	Fuenxr1N64RuivuMfl	image/jpeg
1314546054.704055	C2B25e4uqcuLCWs5Sb	192.168.80.10	1050	80.246.114.204	80	1	GET	www.poot.com	/images/hotline.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14347	200	OK	-	-	-	(empty)	-	-	-	-	-	F8FEB7HIFWdBdG2ac	image/jpeg
1314546055.49433	CvvUYJ3oyDUQdwJTNd	192.168.80.10	1046	80.246.114.204	80	1	GET	www.poot.com	/images/2.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2893	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ0BBPFGx0HyuywN8	image/jpeg
1314546076.809199	Ccghue2QX8egyugQP1	192.168.80.10	1051	94.63.150.150	81	1	GET	vsp.c0m.li	/zet/up/syst.bin	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	86219	200	OK	-	-	-	(empty)	-	-	-	-	-	FnJDNA4YPoXUG5luba	binary
1314546084.079198	Ch5PFGPitM7VhSRg6	192.168.80.10	1053	65.121.208.217	80	1	GET	crl.adobe.com	/aum.crl	-	Adobe Update Manager 6	0	2819	200	OK	-	-	-	(empty)	-	-	-	-	-	FM0s524NIsju5LRlLb	binary
1314546083.913228	C7UBzG1osaWI6EDNl9	192.168.80.10	1052	65.121.208.203	80	1	GET	swupmf.adobe.com	/manifest/60/win/reader9rdr-en_US.upd	-	Adobe Update Manager 6	0	192693	200	OK	-	-	-	(empty)	-	-	-	-	-	F0usnF2YujUnbqLfYe	binary
1314546084.290017	C7UBzG1osaWI6EDNl9	192.168.80.10	1052	65.121.208.203	80	2	GET	swupmf.adobe.com	/manifest/60/win/AdobeUpdater.upd	-	Adobe Update Manager 6	0	3524	200	OK	-	-	-	(empty)	-	-	-	-	-	FdpAIO3ugVbCVuaBl4	binary
1314546106.409136	CjQQ1q35v8WROJ6Uni	192.168.80.10	1054	74.125.115.103	80	1	GET	www.google.com	/webhp	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19083	200	OK	-	-	-	(empty)	-	-	-	-	-	F2VzomwNeB3931qcf	text/html
1314546107.012394	C6FnWU2YDLVxk0rV26	192.168.80.10	1055	94.63.150.150	81	1	POST	vsp.c0m.li	/zet/css.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	294	64	200	OK	-	-	-	(empty)	-	-	-	FMsPq53lqvnduLJGv4	binary	FVQ00P1Zh3YrLzFnRl	binary
#close	2014-04-03-10-52-57
