#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-13-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1320285476.226164	ChR3ob1fVqHF6gcWP2	192.168.40.10	1031	72.167.205.185	80	1	GET	classophilia.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1320285477.880107	CyQOAS2mVaxfGeici8	192.168.40.10	1034	72.167.205.185	80	6	GET	www.classophilia.com	/includes/templates/template_default/images/stars_5.gif	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	856	200	OK	-	-	-	(empty)	-	-	-	-	-	FDUwpvCS0GG7eaGSa	image/gif
1320285477.865823	CBquM24BDsTm256Ycb	192.168.40.10	1033	72.167.205.185	80	4	GET	www.classophilia.com	/images/bracelets/60124.jpg	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	53740	200	OK	-	-	-	(empty)	-	-	-	-	-	FzGbwJvzyTfxltKr5	image/jpeg
1320285477.975767	CyQOAS2mVaxfGeici8	192.168.40.10	1034	72.167.205.185	80	7	GET	www.classophilia.com	/includes/templates/template_default/images/down_for_maintenance.gif	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9230	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ6psl9CWQa8djRZ5	image/gif
1320285478.019155	CBquM24BDsTm256Ycb	192.168.40.10	1033	72.167.205.185	80	5	GET	www.classophilia.com	/includes/templates/template_default/buttons/english/button_continue.gif	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	844	200	OK	-	-	-	(empty)	-	-	-	-	-	F5QGmP1ZBpu9xL84Rg	image/gif
1320285478.138627	CBquM24BDsTm256Ycb	192.168.40.10	1033	72.167.205.185	80	6	GET	www.classophilia.com	/includes/templates/classic/images/tile_back.gif	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	879	200	OK	-	-	-	(empty)	-	-	-	-	-	FRHZJd3aZbbSFDYT6j	image/gif
1320285478.138844	CyQOAS2mVaxfGeici8	192.168.40.10	1034	72.167.205.185	80	8	GET	www.classophilia.com	/includes/templates/classic/images/header_bg.jpg	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22497	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb8CyTEjVAy3tG343	image/jpeg
1320285478.138311	CWr8Ur2H05czXNTjja	192.168.40.10	1036	182.18.185.82	80	1	GET	lopotushe4ka.orge.pl	/iframe.php?id=0xxnnc3e8793z0nevu1f4o36ncdvg34	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1733	200	OK	-	-	-	(empty)	-	-	-	-	-	F3456UFUjk45DKMBj	text/html
1320285478.911826	C5x5XA31pJ6smTZkfe	192.168.40.10	1042	88.212.196.101	80	1	GET	counter.yadro.ru	/hit?t26.6;rhttp://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9;s800*600*24;uhttp://lopotushe4ka.orge.pl/iframe.php?id=0xxnnc3e8793z0nevu1f4o36ncdvg34;0.7741088926428792	http://lopotushe4ka.orge.pl/iframe.php?id=0xxnnc3e8793z0nevu1f4o36ncdvg34	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	704	403	Forbidden	-	-	-	(empty)	-	-	-	-	-	FUaAB1TiV0Dxt5tNc	text/html
1320285480.971343	CBcE3C1VGhNuW2Bhy	192.168.40.10	1043	85.17.136.171	80	1	GET	ninienko.net	/mass.php?page=cd56f2b037e45bf5	http://lopotushe4ka.orge.pl/iframe.php?id=0xxnnc3e8793z0nevu1f4o36ncdvg34	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96028	200	OK	-	-	-	(empty)	-	-	-	-	-	FhTG2F4b3XWnPi4vUa	text/html
1320285497.489514	CBcE3C1VGhNuW2Bhy	192.168.40.10	1043	85.17.136.171	80	2	GET	ninienko.net	/s.php?f=62&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	181248	200	OK	-	-	-	(empty)	-	-	-	-	-	FeVMgB3XuIt1L7no5a	application/x-dosexec
1320285498.386947	CBcE3C1VGhNuW2Bhy	192.168.40.10	1043	85.17.136.171	80	3	GET	ninienko.net	/content/2ddfp.php?f=62	http://ninienko.net/mass.php?page=cd56f2b037e45bf5	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12031	200	OK	-	-	-	(empty)	-	-	-	-	-	F1V16a2qlD6LR5Rrle	application/pdf
1320285505.631217	CTDHuFxglftHmsXxa	192.168.40.10	1049	184.82.87.211	80	1	GET	aeronitrex.com	/special/status/aero.bin	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	66272	200	OK	-	-	-	(empty)	-	-	-	-	-	FuDvE2nXSnc1MVbLl	binary
1320285513.758349	CBcE3C1VGhNuW2Bhy	192.168.40.10	1043	85.17.136.171	80	4	GET	ninienko.net	/s.php?f=62&e=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	181248	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk0Mp71jWIbLGpwM29	application/x-dosexec
1320285515.563619	CGquOQ18l0njslin7d	192.168.40.10	1050	85.17.136.171	80	1	GET	ninienko.net	/content/field.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5782	200	OK	-	-	-	(empty)	-	-	-	-	-	F7W37KieWW92GTj9i	application/zip
1320285519.898704	CXfhbW2TiEqs6XtNOl	192.168.40.10	1057	85.17.136.171	80	1	OPTIONS	85.17.136.171	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	166	405	Not Allowed	-	-	-	(empty)	-	-	-	-	-	FEqCTd1xTdjHiaWvYi	text/html
1320285535.980299	CoWEYFpvqDharcQCg	192.168.40.10	1064	74.125.159.99	80	1	GET	www.google.com	/webhp	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16828	200	OK	-	-	-	(empty)	-	-	-	-	-	FSlpS33Zxug0rcveV6	text/html
1320285536.142868	CDtFx44gWxGjy4bg43	192.168.40.10	1065	178.18.249.66	80	1	POST	178.18.249.66	/progressive/order/info/encrypted/zsearch.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	294	64	200	OK	-	-	-	(empty)	-	-	-	FPDjorOBueCMkRjr7	binary	FQL5AK2NGhIEldbMYh	binary
#close	2014-04-03-10-13-06
