#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-49-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1345619241.620358	CLwMST37GI7n1iNQKj	192.168.68.10	1030	62.149.128.160	80	1	GET	gildabress.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FiHcvK1tHp39qlDsl	text/html
1345619242.932678	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	6	GET	www.gildabress.it	/images/Flag_GB.png	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	888	200	OK	-	-	-	(empty)	-	-	-	-	-	FinEAQjdk855muaQf	image/png
1345619243.080148	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	7	GET	www.gildabress.it	/images/body_bg.jpg	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	410	200	OK	-	-	-	(empty)	-	-	-	-	-	FXnM063tJXlhYgrqq6	image/jpeg
1345619243.20828	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	8	GET	www.gildabress.it	/images/main.jpg	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28527	200	OK	-	-	-	(empty)	-	-	-	-	-	F8xSVs3NTJweoU3LQd	image/jpeg
1345619243.059368	CBErc12wj6OuXAXOMk	192.168.68.10	1037	195.210.96.22	80	1	GET	s3.shinystat.com	/cgi-bin/shinystat.cgi?USER=gildabress&REFER=&COLOR=24&SIZE=800&VUT=-1&NUT=y&JS=Y&VJS=4011	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	757	200	OK	-	-	-	(empty)	-	-	-	-	-	FG6LcG1gaBw4sx8tF8	image/png
1345619243.46812	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	9	GET	www.gildabress.it	/images/cont_bg.png	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	107446	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwii3L1VC77yEtISsc	image/png
1345619242.641655	CjZw9i2SBR7x8paQlj	192.168.68.10	1033	95.110.228.187	80	2	GET	www.gildabress.it	/carosel.swf	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	408827	200	OK	-	-	-	(empty)	-	-	-	-	-	FLYVKv31SJZ8HISSS4	application/x-shockwave-flash
1345619244.353716	C5IFdc4QVAozLBKooi	192.168.68.10	1038	62.149.140.15	80	1	GET	www.alpenise.eu	/cgi-bin/counter.php	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1345619245.031134	CxIttm1Ne0UK3bYQJ7	192.168.68.10	1043	213.186.33.4	80	1	GET	commentrecuperersonex.fr	/97044185.html	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12395	200	OK	-	-	-	(empty)	-	-	-	-	-	FJTGDM2vX8PLuwvEff	text/html
1345619245.837557	CxIttm1Ne0UK3bYQJ7	192.168.68.10	1043	213.186.33.4	80	2	GET	commentrecuperersonex.fr	/98765.pdf	http://commentrecuperersonex.fr/97044185.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5339	200	OK	-	-	-	(empty)	-	-	-	-	-	FSinMx44KrPD0AB2uk	application/pdf
1345619255.573528	C5xpwp15ADBnN4s8Yh	192.168.68.10	1044	213.186.33.4	80	1	GET	commentrecuperersonex.fr	/2.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18432	200	OK	-	-	-	(empty)	-	-	-	-	-	F4S288eKHyyRinIph	application/x-dosexec
1345619258.436568	Cl7cnD3vhcc6wLv1He	192.168.68.10	1045	213.186.33.4	80	1	GET	commentrecuperersonex.fr	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12103	200	OK	-	-	-	(empty)	-	-	-	-	-	FBh55N2wrndSE7AoUh	application/jar
1345619258.784721	Cl7cnD3vhcc6wLv1He	192.168.68.10	1045	213.186.33.4	80	2	GET	commentrecuperersonex.fr	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12103	200	OK	-	-	-	(empty)	-	-	-	-	-	FCPwizN3EljWTYMff	application/jar
1345619259.153471	Cl7cnD3vhcc6wLv1He	192.168.68.10	1045	213.186.33.4	80	3	GET	commentrecuperersonex.fr	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12103	200	OK	-	-	-	(empty)	-	-	-	-	-	F9qO4z2gZrmBpWHnTl	application/jar
1345619260.243675	Cl7cnD3vhcc6wLv1He	192.168.68.10	1045	213.186.33.4	80	4	GET	commentrecuperersonex.fr	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12103	200	OK	-	-	-	(empty)	-	-	-	-	-	FD7Qmu8K3FzuzaJX5	application/jar
1345619260.757288	Cl7cnD3vhcc6wLv1He	192.168.68.10	1045	213.186.33.4	80	5	GET	commentrecuperersonex.fr	/3.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18432	200	OK	-	-	-	(empty)	-	-	-	-	-	FOMDkq4i3NAfCkgOsj	application/x-dosexec
1345619263.829039	C7rf011QDzVhfJaTm3	192.168.68.10	1046	188.40.40.189	80	1	GET	www.dalmo1950.it	/192505.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	52224	200	OK	-	-	-	(empty)	-	-	-	-	-	FY0lC72LZy91H6dhv3	binary
1345619265.928287	C7rf011QDzVhfJaTm3	192.168.68.10	1046	188.40.40.189	80	2	GET	www.dalmo1950.it	/192505.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	179200	200	OK	-	-	-	(empty)	-	-	-	-	-	FJsvXm2EpU6iyDzbI	binary
1345619266.454193	C7rf011QDzVhfJaTm3	192.168.68.10	1046	188.40.40.189	80	3	GET	www.dalmo1950.it	/192505.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	391168	200	OK	-	-	-	(empty)	-	-	-	-	-	FgPTCW3aYS7TRqvabh	binary
1345619267.335316	C7rf011QDzVhfJaTm3	192.168.68.10	1046	188.40.40.189	80	4	GET	www.dalmo1950.it	/192505.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	150528	200	OK	-	-	-	(empty)	-	-	-	-	-	Fubw3c3EAQc3ee9STk	binary
1345619267.712056	C7rf011QDzVhfJaTm3	192.168.68.10	1046	188.40.40.189	80	5	GET	www.dalmo1950.it	/192505.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	361927	200	OK	-	-	-	(empty)	-	-	-	-	-	F2qR193FOmhcV8RMs8	binary
1345619268.441706	C7rf011QDzVhfJaTm3	192.168.68.10	1046	188.40.40.189	80	6	GET	www.dalmo1950.it	/192505.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	666	200	OK	-	-	-	(empty)	-	-	-	-	-	FfXvSS3cYezo2DEHtj	binary
1345619276.282314	CtVJLq3UBE06CmNoIb	192.168.68.10	1048	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	30	200	OK	-	-	-	(empty)	-	-	-	-	-	FKEYlJ3A7lfWO21qB8	text/plain
1345619276.602073	CZJwQU2w1JPidavyg	192.168.68.10	1049	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=1&digits=10&siteId=630	-	Opera/9 (Windows NT 5.1; US; x86)	0	2380	200	OK	-	-	-	(empty)	-	-	-	-	-	FzkQS35ZdLJh6MW2h	image/jpeg
1345619276.673439	Cz5uOM2k6nw7TTE4jd	192.168.68.10	1051	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=2&digits=10&siteId=751	-	Opera/9 (Windows NT 5.1; US; x86)	0	2249	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm5hp63U3ZITx7iYca	image/jpeg
1345619276.776543	CtcbbpvtrSAFRMqd	192.168.68.10	1053	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=3&digits=10&siteId=761	-	Opera/9 (Windows NT 5.1; US; x86)	0	2245	200	OK	-	-	-	(empty)	-	-	-	-	-	FIT4Oo1IhHgvMvqPxa	image/jpeg
1345619276.862855	CVkdVE4IHzYKL9ku4	192.168.68.10	1055	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=4&digits=10&siteId=631	-	Opera/9 (Windows NT 5.1; US; x86)	0	2144	200	OK	-	-	-	(empty)	-	-	-	-	-	Flp2h310RBb82cDrz6	image/jpeg
1345619276.895833	Cna4li1tJsLRJwGALi	192.168.68.10	1057	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=5&digits=10&siteId=650	-	Opera/9 (Windows NT 5.1; US; x86)	0	1723	200	OK	-	-	-	(empty)	-	-	-	-	-	FnoWlA1KPaaH675Isg	image/jpeg
1345619277.481804	CFMoAc1kQqFHqP0dQ9	192.168.68.10	1059	112.121.178.190	80	1	GET	112.121.178.190	/api/urls/?ts=fe060d6b&affid=56300	-	(empty)	0	61	200	OK	-	-	-	(empty)	-	-	-	-	-	FmbT652WHHqLmTGabj	text/plain
1345619277.759421	CvHtkR1Slr0v09pArl	192.168.68.10	1062	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=6&digits=10&siteId=651	-	Opera/9 (Windows NT 5.1; US; x86)	0	1808	200	OK	-	-	-	(empty)	-	-	-	-	-	F7JBSK2frz4jBnoaae	image/jpeg
1345619277.769744	CtZrgO1cTUlNwizKo8	192.168.68.10	1065	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=7&digits=10&siteId=660	-	Opera/9 (Windows NT 5.1; US; x86)	0	1502	200	OK	-	-	-	(empty)	-	-	-	-	-	F4YDio14XaTFq7NvX4	image/jpeg
1345619277.791199	CRbmYA47zfVLdSrqO8	192.168.68.10	1068	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=8&digits=10&siteId=661	-	Opera/9 (Windows NT 5.1; US; x86)	0	1530	200	OK	-	-	-	(empty)	-	-	-	-	-	FqKORL28NHUMNbRlxi	image/jpeg
1345619278.953608	CnRqZl2oZEer5QSYqc	192.168.68.10	1075	194.219.29.235	80	1	GET	jimi.kopoese.com	/f/notepad.exe?ts=fe060d6b&affid=5630	-	(empty)	0	199680	200	OK	-	-	-	(empty)	-	-	-	-	-	FCkupfysSIgqnOFvd	application/x-dosexec
1345619294.556871	C2wMfW2UUyq1D7b2e5	192.168.68.10	1078	78.140.131.158	80	1	GET	megaupload.com	/file/id=BgBgAAEA6DEBAAEFCAAAAAAAAAAAAAAAAAAAAABrDAgUCwAAAIHfQI3hESfsrLhwgiZvmW9hhDRQAABVVVVVVVVVVVVVVVVVVVVVVoDNAcR5ZSXoMQEAVXd1bXNtfWNvZXMzMmhnOGc4OAJGkzUK3f4TbwAAAAAAATRW&rt=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	523	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FGwTVT3cGQ6QL7mIyi	text/html
#close	2014-04-03-09-49-44
