#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-59-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1389583671.842811	CCfLV41YJnGfa8t876	192.168.17.10	1036	66.39.29.236	80	1	GET	besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FBniDe4YkE9OVgLUjl	text/html
1389583672.323684	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/filefield/filefield.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1306	200	OK	-	-	-	(empty)	-	-	-	-	-	FYHKhIj7TUsQClkul	text/x-asm
1389583672.324103	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/cck/modules/fieldgroup/fieldgroup.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	98	200	OK	-	-	-	(empty)	-	-	-	-	-	FcFWRS2C0q3guGMrXd	text/plain
1389583672.327685	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	5	GET	www.besthealthmag.ca	/profiles/besthealth/modules/fivestar/css/fivestar.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2145	200	OK	-	-	-	(empty)	-	-	-	-	-	FbHdJA40hM6In2rVZd	text/plain
1389583672.331945	Cx32oH1Bvjwu2c2kR6	192.168.17.10	1042	72.21.91.19	80	1	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3852	200	OK	-	-	-	(empty)	-	-	-	-	-	FKtkHT3y8GcYohSDyg	text/plain
1389583672.329301	CQveGG20Ip5pgyUMth	192.168.17.10	1041	72.21.91.19	80	1	GET	www.besthealthmag.ca	/sites/all/modules/cck/theme/content-module.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3308	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi1xda2RnsCdR7Uo82	text/plain
1389583672.336681	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	5	GET	www.besthealthmag.ca	/sites/all/modules/logintoboggan/logintoboggan.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	321	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxa9OXl1XBPTFtUs4	text/plain
1389583672.336954	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	6	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/print.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	650	200	OK	-	-	-	(empty)	-	-	-	-	-	FVFROU1jkXqWJfB1D9	text/plain
1389583672.336366	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	5	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/main.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	118987	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz49D74nXLMIfVSMm5	text/plain
1389583672.343069	CQveGG20Ip5pgyUMth	192.168.17.10	1041	72.21.91.19	80	2	GET	www.besthealthmag.ca	/misc/drupal.js?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	9746	200	OK	-	-	-	(empty)	-	-	-	-	-	F8xXHNTAS9f1mUAx3	text/plain
1389583672.342779	Cx32oH1Bvjwu2c2kR6	192.168.17.10	1042	72.21.91.19	80	2	GET	www.besthealthmag.ca	/misc/jquery.js?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	31089	200	OK	-	-	-	(empty)	-	-	-	-	-	FXkLDZqJoB8e44jN	text/plain
1389583672.352761	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	7	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus_default.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3870	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn3k502mxPhPdjs16	text/plain
1389583672.352479	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	6	GET	www.besthealthmag.ca	/sites/all/modules/poormanscron/poormanscron.js?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	598	200	OK	-	-	-	(empty)	-	-	-	-	-	FYLndR2vSKrMQj0WPd	text/plain
1389583672.352995	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	6	GET	www.besthealthmag.ca	/profiles/besthealth/modules/fivestar/js/fivestar.js?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	16036	200	OK	-	-	-	(empty)	-	-	-	-	-	FwDaNb5O0sM83Ywri	text/plain
1389583672.356313	CQveGG20Ip5pgyUMth	192.168.17.10	1041	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/forum/forum.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1057	200	OK	-	-	-	(empty)	-	-	-	-	-	Frcu8T2IDDec392Bt6	text/plain
1389583672.356554	Cx32oH1Bvjwu2c2kR6	192.168.17.10	1042	72.21.91.19	80	3	GET	www.besthealthmag.ca	/themes/besthealth_skin/script.js?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6252	200	OK	-	-	-	(empty)	-	-	-	-	-	FCLKhk2gsmOzymXMC2	text/plain
1389583672.359141	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	8	GET	www.besthealthmag.ca	/profiles/besthealth/modules/block_edit/block_edit.js?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	521	200	OK	-	-	-	(empty)	-	-	-	-	-	FtRwwb4WrNx2tO0AS6	text/plain
1389583672.362412	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	7	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus.js?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1724	200	OK	-	-	-	(empty)	-	-	-	-	-	FCmU982ldh75zxp9Si	text/plain
1389583672.373111	CQveGG20Ip5pgyUMth	192.168.17.10	1041	72.21.91.19	80	4	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/common.css	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2441	200	OK	-	-	-	(empty)	-	-	-	-	-	FqPu393L9RUX2hID3b	text/plain
1389583672.372459	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	7	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/star_rating.css	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1307	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb8uum4sZLAmFqaJZc	text/plain
1389583672.009708	CXvXFO3GEW5Y0Le1Mb	192.168.17.10	1037	72.21.91.19	80	1	GET	www.besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	67324	200	OK	-	-	-	(empty)	-	-	-	-	-	FnOOWc3DF25tUe2ur9	text/html
1389583672.520263	CC591Y31bFhp67XT9b	192.168.17.10	1043	206.47.72.169	80	1	GET	lifestyle.sympatico.msn.ca	/Bell.Sympatico.CMS/Includes/shared2.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43718	200	OK	-	-	-	(empty)	-	-	-	-	-	FzOWdB3xSR3OShogO	text/plain
1389583673.177023	Cx32oH1Bvjwu2c2kR6	192.168.17.10	1042	72.21.91.19	80	4	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/page-header-bg.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	994	200	OK	-	-	-	(empty)	-	-	-	-	-	F3Wv3o34jU4TbhQjug	image/gif
1389583673.198318	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/en/ad_warning_banner.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	318	200	OK	-	-	-	(empty)	-	-	-	-	-	F6W3E14CaUzAWbPKi7	image/gif
1389583673.199018	CxWmYUtpZVWfC1eQ2	192.168.17.10	1046	74.125.224.109	80	1	GET	www.googletagservices.com	/tag/js/gpt.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	40437	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsgcjm3HEe4l3RMSh8	text/plain
1389583673.198738	CEgalC4W3706Iotrce	192.168.17.10	1045	64.145.75.67	80	1	GET	b.scorecardresearch.com	/beacon.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1900	200	OK	-	-	-	(empty)	-	-	-	-	-	FKN7K41cogm3Vs5JIa	text/plain
1389583673.224341	CKAu0l3JbdLGLQylwk	192.168.17.10	1047	74.125.224.188	80	1	GET	ad.doubleclick.net	/N5479/adj/theloop.en.besthealth/hub;tile=1;sz=728x90;ord=6727733075340?	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1626	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzmmtp4cAyhd67vDdc	text/plain
1389583673.283263	CEgalC4W3706Iotrce	192.168.17.10	1045	64.145.75.67	80	2	GET	b.scorecardresearch.com	/b?c1=2&c2=6034767&ns__t=1389597945562&ns_c=windows-1252&c8=Womens Health & Lifestyle Magazine for Canadian Women | Best Health&c7=http://www.besthealthmag.ca/&c9=	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1389583673.308492	CEgalC4W3706Iotrce	192.168.17.10	1045	64.145.75.67	80	3	GET	b.scorecardresearch.com	/b2?c1=2&c2=6034767&ns__t=1389597945562&ns_c=windows-1252&c8=Womens Health & Lifestyle Magazine for Canadian Women | Best Health&c7=http://www.besthealthmag.ca/&c9=	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
1389583673.349038	CdFGAc2FHhZcN0iYch	192.168.17.10	1048	74.125.224.109	80	1	GET	partner.googleadservices.com	/gpt/pubads_impl_32.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	59428	200	OK	-	-	-	(empty)	-	-	-	-	-	FGfM7LAqE1MoumUr6	text/plain
1389583673.360148	CLjd7K1tjvZCveDey	192.168.17.10	1049	74.125.224.109	80	1	GET	pagead2.googlesyndication.com	/pagead/js/lidar.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43638	200	OK	-	-	-	(empty)	-	-	-	-	-	FAAo3Tmz3PndcNiej	text/plain
1389583673.366575	CUUiNE2e7Xi90efnab	192.168.17.10	1050	38.71.5.31	80	1	GET	cdn.acuityplatform.com	/bell/acuityJTag.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1220	200	OK	-	-	-	(empty)	-	-	-	-	-	FFNOiw3KgJVHod9Nd4	text/html
1389583673.524925	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	8	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/french-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	253	200	OK	-	-	-	(empty)	-	-	-	-	-	F2H27SZA9geQqo1D1	image/gif
1389583673.525444	CQveGG20Ip5pgyUMth	192.168.17.10	1041	72.21.91.19	80	5	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/BH_ONLINE_LOGO_2013.png	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6539	200	OK	-	-	-	(empty)	-	-	-	-	-	FHyxYbW8iuart161l	image/png
1389583673.529184	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	8	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/header_topband.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxof1E0B6GozBNPQf	image/gif
1389583673.529535	CXvXFO3GEW5Y0Le1Mb	192.168.17.10	1037	72.21.91.19	80	2	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/white-saprator.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	44	200	OK	-	-	-	(empty)	-	-	-	-	-	FhO0v04E7UAmmBoqC7	image/gif
1389583673.530557	Cx32oH1Bvjwu2c2kR6	192.168.17.10	1042	72.21.91.19	80	5	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/header_secondtopband.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	891	200	OK	-	-	-	(empty)	-	-	-	-	-	FYjpzY15nXQoSOIMlf	image/gif
1389583673.694044	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/searchbotton.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	871	200	OK	-	-	-	(empty)	-	-	-	-	-	FP3DNQrGhPzaZnY7h	image/gif
1389583673.693641	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	10	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/Loop_166x39.png	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6510	200	OK	-	-	-	(empty)	-	-	-	-	-	F5Eo3A4OHM5wDj3zD7	image/png
1389583673.702437	CQveGG20Ip5pgyUMth	192.168.17.10	1041	72.21.91.19	80	6	GET	www.besthealthmag.ca	/themes/besthealth_skin/jquery.min.js	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	57254	200	OK	-	-	-	(empty)	-	-	-	-	-	FQW4ThMRfHHiSNGgl	text/plain
1389583673.717051	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	9	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/nav_middle.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	175	200	OK	-	-	-	(empty)	-	-	-	-	-	FD4t5I3JP37K0RJDX	image/gif
1389583673.720654	Cx32oH1Bvjwu2c2kR6	192.168.17.10	1042	72.21.91.19	80	6	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/gethealthy-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1707	200	OK	-	-	-	(empty)	-	-	-	-	-	FJcXlA2ownqixyESt8	image/gif
1389583673.720286	CXvXFO3GEW5Y0Le1Mb	192.168.17.10	1037	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/lookgreat-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1627	200	OK	-	-	-	(empty)	-	-	-	-	-	F0NOtC4rzDWsa1nj0i	image/gif
1389583673.721435	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	10	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/eatwell-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1543	200	OK	-	-	-	(empty)	-	-	-	-	-	Fv2bCP2XAkDI3lryKk	image/gif
1389583673.721793	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	11	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/embracelife-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1688	200	OK	-	-	-	(empty)	-	-	-	-	-	FYMPju1KvNwonBNgtd	image/gif
1389583673.722129	CQveGG20Ip5pgyUMth	192.168.17.10	1041	72.21.91.19	80	7	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/swap-n-drop-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1673	200	OK	-	-	-	(empty)	-	-	-	-	-	FEsAji4dHbRTy5JIff	image/gif
1389583673.732313	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	10	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/special-features-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1840	200	OK	-	-	-	(empty)	-	-	-	-	-	FQDPt64upZB4O4CFji	image/gif
1389583673.749777	CXvXFO3GEW5Y0Le1Mb	192.168.17.10	1037	72.21.91.19	80	4	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/bg_container_body.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	76	200	OK	-	-	-	(empty)	-	-	-	-	-	FGEbTV1d7TGGNgUjwe	image/gif
1389583673.752151	Cx32oH1Bvjwu2c2kR6	192.168.17.10	1042	72.21.91.19	80	7	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/subscribe-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1490	200	OK	-	-	-	(empty)	-	-	-	-	-	FkFjSYemDWW3lYVG2	image/gif
1389583673.75444	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	11	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/bg-imgnav.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	853	200	OK	-	-	-	(empty)	-	-	-	-	-	FkxcU54Qe2rmGIZNO	image/gif
1389583673.754793	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	12	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/white-saprator-small.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	44	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd8Ifu4MrbcwJzV7h3	image/gif
1389583673.755042	CQveGG20Ip5pgyUMth	192.168.17.10	1041	72.21.91.19	80	8	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/magazine-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1641	200	OK	-	-	-	(empty)	-	-	-	-	-	FVteLJpbw9yK4UNr6	image/gif
1389583673.760448	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	11	GET	www.besthealthmag.ca	/themes/besthealth_skin/images/nav_left.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	723	200	OK	-	-	-	(empty)	-	-	-	-	-	FSEpVi2qnHstzHINn1	image/gif
1389583673.768952	CXvXFO3GEW5Y0Le1Mb	192.168.17.10	1037	72.21.91.19	80	5	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nav_right.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	568	200	OK	-	-	-	(empty)	-	-	-	-	-	FLM6S83RHV1oKtgKu2	image/gif
1389583673.769351	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	13	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/store-text.gif	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	896	200	OK	-	-	-	(empty)	-	-	-	-	-	FA31F51mS00qsUnic7	image/gif
