#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-00-59
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328737988.621269	CpOR9R1VbvF3yeK1h	192.168.16.10	1030	200.63.96.242	80	1	GET	riamenorca.cl	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FBJCPA4wUpSg3gH1eh	application/octet-stream
1328737989.847527	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	5	GET	www.ria.es	/imagenes/home/2.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	137402	200	OK	-	-	-	(empty)	-	-	-	-	-	F6Mf8y4QSU6i9xHaqg	image/jpeg
1328737989.847306	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	3	GET	www.ria.es	/imagenes/home/1.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	141166	200	OK	-	-	-	(empty)	-	-	-	-	-	FFsskrZQagPxKSTbe	image/jpeg
1328737990.445303	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	4	GET	www.ria.es	/imagenes/home/3.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	127421	200	OK	-	-	-	(empty)	-	-	-	-	-	FNx5h4zMtJBD0t7e4	image/jpeg
1328737990.532387	CIzm9o4uScCvQoYFv8	192.168.16.10	1040	178.162.184.176	80	1	GET	www.arcot.be	/ipiwxmcmanyoh.swf	http://www.arcot.be/doiohzbqgukrercldr6.php?n=nl	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7756	200	OK	-	-	-	(empty)	-	-	-	-	-	FGNQGS2yJqILtMxtEd	application/x-shockwave-flash
1328737990.445587	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	6	GET	www.ria.es	/imagenes/home/4.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	163928	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdv5rYxV456Oyt83	image/jpeg
1328737990.581905	C2hgXA2KqlOdztZE4i	192.168.16.10	1041	178.162.184.176	80	1	GET	www.arcot.be	/bognxvawdteqfsx.pdf	http://www.arcot.be/doiohzbqgukrercldr6.php?n=nl	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13011	200	OK	-	-	-	(empty)	-	-	-	-	-	FmaXax3FjUxoqXdxHl	application/pdf
1328737990.792439	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	7	GET	www.ria.es	/imagenes/home/6.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	115974	200	OK	-	-	-	(empty)	-	-	-	-	-	FWSUY93sfLTvhbu4Ji	image/jpeg
1328737990.445827	CocQPI1nfx5wolO27	192.168.16.10	1039	221.132.34.184	80	1	GET	noviedostigenia.bee.pl	/iframe.php?id=314&direct=true	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4065	200	OK	-	-	-	(empty)	-	-	-	-	-	FXlS9I1y9HUZCUkZw4	text/html
1328737990.755293	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	5	GET	www.ria.es	/imagenes/home/5.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	144860	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo5JWn4H35kv6p2ms6	image/jpeg
1328737991.045715	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	8	GET	www.ria.es	/imagenes/home/7.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	175590	200	OK	-	-	-	(empty)	-	-	-	-	-	FultIz3Z382zxgprv6	image/jpeg
1328737991.103603	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	6	GET	www.ria.es	/imagenes/home/8.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	163169	200	OK	-	-	-	(empty)	-	-	-	-	-	FVT1nn1McyMITmKHE4	image/jpeg
1328737991.42138	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	7	GET	www.ria.es	/imagenes/home/10.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	97745	200	OK	-	-	-	(empty)	-	-	-	-	-	FtWu0njSNUkRWK9X6	image/jpeg
1328737991.347261	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	9	GET	www.ria.es	/imagenes/home/9.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	143634	200	OK	-	-	-	(empty)	-	-	-	-	-	FUI9LTqtqtvaezMR8	image/jpeg
1328737991.73522	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	8	GET	www.ria.es	/imagenes/home/11.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	137413	200	OK	-	-	-	(empty)	-	-	-	-	-	Flyr5N1csdyAh4pa8e	image/jpeg
1328737991.734907	CAzcB61Jb1160MpaIk	192.168.16.10	1042	221.132.34.184	80	1	GET	noviedostigenia.bee.pl	/iframe.php?id=314	http://noviedostigenia.bee.pl/iframe.php?id=314&direct=true	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1328737991.81014	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	10	GET	www.ria.es	/imagenes/home/12.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	182478	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj0m1E4ZnOgNB70JH3	image/jpeg
1328737991.37102	CcZWaApNCm6gPpNx5	192.168.16.10	1043	194.28.85.193	80	1	GET	php5lab.com	/js/jquery-1.4.3.min.js	http://noviedostigenia.bee.pl/iframe.php?id=314&direct=true	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	77746	200	OK	-	-	-	(empty)	-	-	-	-	-	FmKMZY1MXq33ugU1Sl	text/plain
1328737992.123479	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	9	GET	www.ria.es	/imagenes/home/13.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	200258	200	OK	-	-	-	(empty)	-	-	-	-	-	FdxPvNqNl2PnOHUZ2	image/jpeg
1328737992.373101	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	11	GET	www.ria.es	/imagenes/home/14.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	73299	200	OK	-	-	-	(empty)	-	-	-	-	-	FLIqJG1L1SHY2KytRi	image/jpeg
1328737992.810277	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	12	GET	www.ria.es	/imagenes/fondo_abajo.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12999	200	OK	-	-	-	(empty)	-	-	-	-	-	FHyvRx2vTBhD9BEse2	image/jpeg
1328737992.788114	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	10	GET	www.ria.es	/imagenes/home/15.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	179678	200	OK	-	-	-	(empty)	-	-	-	-	-	FXgynH2e2RU4Jcwfgk	image/jpeg
1328738013.271416	CwPkEJ3KhaUdKuM4Ec	192.168.16.10	1048	178.162.184.176	80	1	GET	178.162.184.176	/xr7.php?i=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	195584	200	OK	-	-	-	(empty)	-	-	-	-	-	FTgjZU1GFaw2bSoXoj	application/x-dosexec
1328738015.092283	C4LZMH3RccmgkSIE56	192.168.16.10	1050	74.125.47.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jqueryui/1.8/jquery-ui.min.js	http://noviedostigenia.bee.pl/iframe.php?id=314&direct=true	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	202321	200	OK	-	-	-	(empty)	-	-	-	-	-	FQpekj4f09Y0Ssumt6	text/plain
1328738016.853951	CNgPcY3Oqp40fxlDe7	192.168.16.10	1059	217.69.134.122	80	1	GET	d6.ca.bc.a1.top.mail.ru	/counter?id=1877523;t=170;js=13;r=http://www.ria.es/;j=true;s=800*600;d=24;rand=0.4863682258110153	http://noviedostigenia.bee.pl/iframe.php?id=314&direct=true	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1328738017.199865	C9JBWp3O649c4bYEJj	192.168.16.10	1060	217.69.134.122	80	1	GET	core1.node9.top.mail.ru	/counter2?id=1877523;t=170;js=13;r=http://www.ria.es/;j=true;s=800*600;d=24;rand=0.4863682258110153	http://noviedostigenia.bee.pl/iframe.php?id=314&direct=true	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	732	200	OK	-	-	-	(empty)	-	-	-	-	-	FeLNirowsK3OcM08b	image/gif
1328738016.917571	CEegP43FGTSBUYVFel	192.168.16.10	1051	221.132.34.184	80	1	GET	noviedostigenia.bee.pl	/skip.gif	http://noviedostigenia.bee.pl/iframe.php?id=314&direct=true	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1892	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo6eqP1iqLPcW2Hjtf	image/gif
1328738016.91942	C0rwctvfiCS3PIEDb	192.168.16.10	1052	221.132.34.184	80	1	GET	noviedostigenia.bee.pl	/ajax-loader.gif	http://noviedostigenia.bee.pl/iframe.php?id=314&direct=true	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2608	200	OK	-	-	-	(empty)	-	-	-	-	-	FRtqunvOXRsIFHxUj	image/gif
1328738016.783388	CbkMIV1XLw5gvNMFE4	192.168.16.10	1058	178.162.184.176	80	1	GET	178.162.184.176	/xr7.php?i=15	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	195584	200	OK	-	-	-	(empty)	-	-	-	-	-	FghqU84NMY4obmIySh	application/x-dosexec
1328738018.360659	CjSpns37kuaJJELu94	192.168.16.10	1064	178.162.184.176	80	1	GET	www.arcot.be	/focudldmeqgnhz.html	http://www.arcot.be/doiohzbqgukrercldr6.php?n=nl	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5168	200	OK	-	-	-	(empty)	-	-	-	-	-	FUXB3YJwSqtA1eWq3	text/html
1328738018.373663	CVeedfO10aw9HLp37	192.168.16.10	1063	178.162.184.176	80	1	GET	www.arcot.be	/etcwcujocsjla.pdf	http://www.arcot.be/doiohzbqgukrercldr6.php?n=nl	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13355	200	OK	-	-	-	(empty)	-	-	-	-	-	FRqSRp3XTrtJbfVSPi	application/pdf
1328738018.866205	CNCET44b2bp9uBVM9b	192.168.16.10	1065	221.132.34.184	80	1	GET	noviedostigenia.bee.pl	/continue.gif	http://noviedostigenia.bee.pl/iframe.php?id=314&direct=true	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1986	200	OK	-	-	-	(empty)	-	-	-	-	-	FlJ8ti1Y7JxAEsNlI5	image/gif
1328738020.253741	CIGJHi2Y344ONDQXNc	192.168.16.10	1049	178.162.184.176	80	1	GET	www.arcot.be	/ktdmxphvaujn.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13028	200	OK	-	-	-	(empty)	-	-	-	-	-	Fccd1q2H5yDrUTFcU9	application/jar
1328738020.370046	Cj4vUE2ercUz5yiXIh	192.168.16.10	1066	178.162.184.176	80	1	GET	www.arcot.be	/klfqxmftcwgny.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13361	200	OK	-	-	-	(empty)	-	-	-	-	-	FtjHa2pJq9lCdcyIb	application/jar
1328738020.461664	CBQn0BtP6YmlK0ILe	192.168.16.10	1067	178.162.184.175	8080	1	GET	2997008559	/dir/jupiter.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14191	200	OK	-	-	-	(empty)	-	-	-	-	-	FiU7qyQeMMTd5D7Wg	application/x-java-applet
1328738021.252349	CzFofs4hCnQW3MVVn2	192.168.16.10	1069	178.162.184.176	80	1	GET	www.arcot.be	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	284	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FBuIMN1Gc01MpMHS53	text/html
1328738021.497401	Clwpmu4dswnvuFQXCe	192.168.16.10	1070	178.162.184.176	80	1	GET	www.arcot.be	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	284	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FODwxF3vKcIVaL6c	text/html
1328738021.726308	Cn4aMf189NwqnzFVah	192.168.16.10	1071	178.162.184.176	80	1	GET	www.arcot.be	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	284	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FmXzuMEzgfbSwvoGh	text/html
1328738022.965792	C56WdIyuab0kKoWra	192.168.16.10	1072	178.162.184.176	80	1	GET	www.arcot.be	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	284	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FBC5Cz1PhYQjGAUXEk	text/html
1328738022.990881	Cz8JQL2W8tS9UQTeO	192.168.16.10	1073	178.162.184.176	80	1	GET	178.162.184.176	/xr7.php?i=1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	195584	200	OK	-	-	-	(empty)	-	-	-	-	-	FgGDK62YUgZJtMxkck	application/x-dosexec
1328738023.63634	CqUTVe4wLccUr72XRf	192.168.16.10	1074	178.162.184.176	80	1	GET	178.162.184.176	/xr7.php?i=3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	195584	200	OK	-	-	-	(empty)	-	-	-	-	-	FbEOWC3MZrmG8AUHH1	application/x-dosexec
1328738021.036949	C1z1Xd1ZPVLOi5kZx2	192.168.16.10	1068	220.195.24.9	80	1	POST	baedeequu.ru	/xap/cfg/config.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	19	0	404	Not Found	-	-	-	(empty)	-	-	-	FymmSC1EbvSMKGGLp3	text/plain	-	-
1328738038.990412	CWuQmXXt2uN7wHCb9	192.168.16.10	1076	62.75.216.187	80	1	OPTIONS	62.75.216.187	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1328738039.104258	CWuQmXXt2uN7wHCb9	192.168.16.10	1076	62.75.216.187	80	2	PROPFIND	62.75.216.187	/smb	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	408	405	Method Not Allowed	-	-	-	(empty)	-	-	-	-	-	FQmpJJ3nHRUnOZldE9	text/html
1328738030.411824	CYAbUz1tEiUTKDcXLi	192.168.16.10	1075	220.195.24.9	80	1	POST	baedeequu.ru	/xap/cfg/config.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	19	0	-	-	-	-	-	(empty)	-	-	-	FpgjqH2XHhP5sICCel	text/plain	-	-
#close	2014-04-03-11-01-00
