#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-42-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1340599222.655513	C16PpC2KkqFwz3F8Jf	192.168.54.10	1030	212.112.131.20	80	1	GET	jubiichat.dk	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	163	302	Found	-	-	-	(empty)	-	-	-	-	-	FWGJhD4ZCLepSFhiTc	text/html
1340599226.691495	Cd4PlU29Cv90oefcm8	192.168.54.10	1046	173.194.79.149	80	1	GET	ad.dk.doubleclick.net	/adj/chat.jubii.dk/;click0=http://x.chatwbc.com/openx/www/delivery/ck.php?oaparams=2__bannerid=69__zoneid=48__source=dk__cb=c66daf8271__oadest=;sz=930x180;tile=8;atf=1;click=http://x.chatwbc.com/openx/www/delivery/ck.php?oaparams=2__bannerid=69__zoneid=48__source=dk__cb=c66daf8271__oadest=;ord=233482847;a1=0;a2=0;a3=0;a4=1;a5=1;a6=1;a7=1;a8=1;a9=1;b1=1;b2=1;b3=3;b4=9;b5=3;b6=3;b7=9;b8=9;b9=9;c1=4;c2=2;c3=9;c4=3;c5=3;c6=3;c7=3;c8=9;c9=9;d1=9;d2=9;d3=3;d4=3;d5=3;d6=3;d7=4;d8=9;d9=4;e1=9;e2=3;e3=9;e4=3;e5=9;e6=9;e7=9;e8=3;e9=9;f1=9;f2=9;f3=3;f4=1;f5=1;f6=1;f7=3;f8=3;f9=9;g1=1;g2=1;g3=3;g4=3;g5=3;g6=9;g7=9;g8=9;g9=9;h1=9;h2=9;h3=9;h4=6;h5=3;h6=0;h7=1;h8=1;h9=9;i1=9;i2=9;i3=3;i4=9;i5=4;i6=3;i7=9;i8=9;i9=9;j1=9;j2=9;j3=9;j4=3;j5=3;j6=3;j7=3;j8=3;z9=9;z7=9;z3=0;z5=9;z6=0;z8=9;y1=0;y2=0;y3=0;y4=0?	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1026	200	OK	-	-	-	(empty)	-	-	-	-	-	FnzYfj2VstJ0SzvLc1	text/html
1340599226.691774	C55xNxN2tWXYljdPe	192.168.54.10	1045	70.37.127.174	80	1	GET	storage.ie6countdown.com	/assets/100/images/banners/warning_bar_0007_danish.jpg	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	50817	200	OK	-	-	-	(empty)	-	-	-	-	-	FRryG53Xo75AyZRZZk	image/jpeg
1340599226.90609	C99k3v23o3gtwjltda	192.168.54.10	1048	12.129.210.71	80	1	GET	bs.serving-sys.com	/BurstingPipe/adServer.bs?cn=rsb&c=28&pli=4796293&PluID=0&w=930&h=180&ord=6914838&ucm=true&ncu=$$http://ad.dk.doubleclick.net/click;h=v8/3c9f/17/74/*/u;258447357;0-0;0;32817968;19595-930/180;48762251/48759559/1;;~sscs=?http://x.chatwbc.com/openx/www/delivery/ck.php?oaparams=2__bannerid=69__zoneid=48__source=dk__cb=c66daf8271__oadest=$$	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2332	200	OK	-	-	-	(empty)	-	-	-	-	-	FzrWjG1yehSloTLGRd	text/plain
1340599226.978944	CwPlNg1BMLRC47ThLa	192.168.54.10	1049	96.17.109.16	80	1	GET	ds.serving-sys.com	/BurstingCachedScripts/ebBanner_2_5_2_1.js	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178253	200	OK	-	-	-	(empty)	-	-	-	-	-	FmIzVZ2b247Tjsp2Q8	text/plain
1340599226.962741	CEeTvw1dZzubKcQT2g	192.168.54.10	1047	85.17.122.245	80	1	GET	media-goway.info	/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	574	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs2v7X3iQYDvF5p2Ei	text/html
1340599227.28392	Cp8axo2Dg6fypHZDb9	192.168.54.10	1051	72.21.91.90	80	1	GET	media.adxpansion.com	/20120313180116/9f51bf9d09dda001d2681e56e7d552e7.gif	http://media-goway.info/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	75570	200	OK	-	-	-	(empty)	-	-	-	-	-	FHjzmv1RyPExDc9Ltl	image/gif
1340599227.267612	CwPlNg1BMLRC47ThLa	192.168.54.10	1049	96.17.109.16	80	2	GET	ds.serving-sys.com	/BurstingCachedScripts//Res/Empty_Movie.swf	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30	200	OK	-	-	-	(empty)	-	-	-	-	-	FA5TF14Af9nUjrtjta	application/x-shockwave-flash
1340599227.302695	CS3GXr1dGeBkuAQCaf	192.168.54.10	1050	96.17.109.16	80	1	GET	ds.serving-sys.com	/BurstingRes//Site-48095/Type-11/9710365_b54ccb2e-d787-43db-858b-aa1ec299e1cc.js	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3706	200	OK	-	-	-	(empty)	-	-	-	-	-	FIiFKozED4tXjNM09	text/plain
1340599227.427258	CpTtEI2wK1gHJuNfzk	192.168.54.10	1053	128.241.218.142	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1111	200	OK	-	-	-	(empty)	-	-	-	-	-	F6wCd34WEta0GFusP3	text/plain
1340599227.429432	CwPlNg1BMLRC47ThLa	192.168.54.10	1049	96.17.109.16	80	3	GET	ds.serving-sys.com	/BurstingRes//Site-48095/Type-0/ea321d30-3784-4312-96f9-4bdc1f9cb44f.jpg	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35253	200	OK	-	-	-	(empty)	-	-	-	-	-	FbT7wSdjpjgS257o5	image/jpeg
1340599227.464805	C8aXKJ1RjsxPoNhfg3	192.168.54.10	1034	212.112.131.8	80	2	GET	z.jimg.dk	/tpl/hi.js	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	118	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkc6tA450ylfTwbLc5	text/plain
1340599227.465971	CIya104TpTtGP9bWq4	192.168.54.10	1039	212.112.131.8	80	2	GET	s.jimg.dk	/tpl/hf/images/sprites.png?c6eel	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20417	200	OK	-	-	-	(empty)	-	-	-	-	-	FsHrjU3FLdzkWCraa5	image/png
1340599227.809396	C13riiGSSIVC7fErl	192.168.54.10	1055	212.112.131.8	80	1	GET	s.jimg.dk	/tpl/hf/h.js?c6eel	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1522	200	OK	-	-	-	(empty)	-	-	-	-	-	FiuqOw39orIk6wJIw6	text/html
1340599228.018853	C1S1YG2OTFAkHjFxj9	192.168.54.10	1033	141.101.124.171	80	2	GET	g.chatwbc.com	/gfx/i/20120305/repeatx.png	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	381	200	OK	-	-	-	(empty)	-	-	-	-	-	FivYSM1h8yTfuLtkt6	image/png
1340599227.614506	CkpH044qztMm23RwX2	192.168.54.10	1054	95.168.173.47	80	1	GET	cliphuntervideo.com	/	http://media-goway.info/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18279	200	OK	-	-	-	(empty)	-	-	-	-	-	F73TIB4aYwEz77xYsl	text/html
1340599228.005292	CIya104TpTtGP9bWq4	192.168.54.10	1039	212.112.131.8	80	3	GET	s.jimg.dk	/tpl/hf/images/linkguider-bg-text.png?c6eel	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5652	200	OK	-	-	-	(empty)	-	-	-	-	-	FyZfxIk47Lk5StFca	image/png
1340599228.180731	CyIPNJ3jmkbAWx6cXk	192.168.54.10	1041	77.66.25.19	80	2	GET	x.chatwbc.com	/openx/www/delivery/lg.php?bannerid=71&campaignid=13&zoneid=51&source=dk&loc=1&referer=http://dk.worldsbiggestchat.com/&cb=a9fea2d0b0	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FXagQN4h9kgZxBxl	image/gif
1340599228.180377	Cd4PlU29Cv90oefcm8	192.168.54.10	1046	173.194.79.149	80	2	GET	ad.dk.doubleclick.net	/adj/chat.jubii.dk/;click0=http://x.chatwbc.com/openx/www/delivery/ck.php?oaparams=2__bannerid=71__zoneid=51__source=dk__cb=a9fea2d0b0__oadest=;sz=160x600,120x600;tile=5;atf=1;click=http://x.chatwbc.com/openx/www/delivery/ck.php?oaparams=2__bannerid=71__zoneid=51__source=dk__cb=a9fea2d0b0__oadest=;ord=233482847;a1=0;a2=0;a3=0;a4=1;a5=1;a6=1;a7=1;a8=1;a9=1;b1=1;b2=1;b3=3;b4=9;b5=3;b6=3;b7=9;b8=9;b9=9;c1=4;c2=2;c3=9;c4=3;c5=3;c6=3;c7=3;c8=9;c9=9;d1=9;d2=9;d3=3;d4=3;d5=3;d6=3;d7=4;d8=9;d9=4;e1=9;e2=3;e3=9;e4=3;e5=9;e6=9;e7=9;e8=3;e9=9;f1=9;f2=9;f3=3;f4=1;f5=1;f6=1;f7=3;f8=3;f9=9;g1=1;g2=1;g3=3;g4=3;g5=3;g6=9;g7=9;g8=9;g9=9;h1=9;h2=9;h3=9;h4=6;h5=3;h6=0;h7=1;h8=1;h9=9;i1=9;i2=9;i3=3;i4=9;i5=4;i6=3;i7=9;i8=9;i9=9;j1=9;j2=9;j3=9;j4=3;j5=3;j6=3;j7=3;j8=3;z9=9;z7=9;z3=0;z5=9;z6=0;z8=9;y1=0;y2=0;y3=0;y4=0?	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6353	200	OK	-	-	-	(empty)	-	-	-	-	-	FdHZWR36gvO69bolOh	text/html
1340599228.401358	CnP4OtmE4H9igZfJj	192.168.54.10	1060	74.125.127.148	80	1	GET	s0.2mdn.net	/879366/flashwrite_1_2.js	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	801	200	OK	-	-	-	(empty)	-	-	-	-	-	FbaPv73gvM0XWeGHW9	text/plain
1340599228.408223	CwICRW3A298IorYD67	192.168.54.10	1061	74.125.127.148	80	1	GET	s0.2mdn.net	/2479889/1-Lumia900_LTV1NDK_160x600.swf	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42144	200	OK	-	-	-	(empty)	-	-	-	-	-	F0G1XvwSGQeongMUk	application/x-shockwave-flash
1340599228.375537	CkHIcy3wfTG5b5IJr3	192.168.54.10	1059	95.168.173.47	80	1	GET	cliphuntervideo.com	/?922af8cce0a532cf1f10bc13ec03994a=1.6.0.10	http://media-goway.info/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1340599228.43935	C8aXKJ1RjsxPoNhfg3	192.168.54.10	1034	212.112.131.8	80	3	GET	z.jimg.dk	/tpl/fi.js	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	118	200	OK	-	-	-	(empty)	-	-	-	-	-	FROVYL1cd2rdafSn8e	text/plain
1340599228.340464	CWtMfJ3QdBj6cvQvt4	192.168.54.10	1056	77.66.25.150	80	1	GET	p.worldsbiggestchat.com	/PhotoChat/DK/ld4cc335e83e249519a10c2def5b1ee7c.jpg	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3226	200	OK	-	-	-	(empty)	-	-	-	-	-	FeP6fuVnscaQFTRT7	image/jpeg
1340599228.340704	C1St77kohDfoSGFm5	192.168.54.10	1057	77.66.25.150	80	1	GET	p.worldsbiggestchat.com	/PhotoChat/DK/l4a1e645a94e9454299ac2c086d288c34.jpg	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2895	200	OK	-	-	-	(empty)	-	-	-	-	-	FcN42a3s8P1HwHBeYg	image/jpeg
1340599228.626493	C13riiGSSIVC7fErl	192.168.54.10	1055	212.112.131.8	80	2	GET	s.jimg.dk	/tpl/hf/f.js?c6eel	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1428	200	OK	-	-	-	(empty)	-	-	-	-	-	FxP36C4yvnv0mPSLtb	text/html
1340599228.67704	CWtMfJ3QdBj6cvQvt4	192.168.54.10	1056	77.66.25.150	80	2	GET	p.worldsbiggestchat.com	/PhotoChat/DK/lbb128aea07f249e1b5719f303f5fabc5.jpg	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3420	200	OK	-	-	-	(empty)	-	-	-	-	-	Fedbky2mxJn9xvXx86	image/jpeg
1340599228.677933	C1St77kohDfoSGFm5	192.168.54.10	1057	77.66.25.150	80	2	GET	p.worldsbiggestchat.com	/PhotoChat/DK/l6a22679c2b0d4484acc8f28600f83566.jpg	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3217	200	OK	-	-	-	(empty)	-	-	-	-	-	FiQRby3PqdHQCZWVb7	image/jpeg
1340599228.941298	CFKIJa3spEeI8MqXS5	192.168.54.10	1063	12.129.210.71	80	1	GET	bs.serving-sys.com	/BurstingPipe/adServer.bs?cn=int&iv=2&int=9710365~~0~~456450~^ebUniqueDwell~0~0~01020&usercookie==&OptOut=0&ebRandom=0.016325106741894135&flv=10.032&wmpv=9&res=2	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340599228.802777	CIya104TpTtGP9bWq4	192.168.54.10	1039	212.112.131.8	80	4	GET	s.jimg.dk	/tpl/hf/newsletter/signup.htm	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2544	200	OK	-	-	-	(empty)	-	-	-	-	-	FR3eqq2X2Ox2GiJ9U1	text/html
1340599228.810189	CRLyZ135yPiwDIGPl	192.168.54.10	1040	77.66.25.19	80	4	GET	x.chatwbc.com	/openx/www/delivery/lg.php?bannerid=70&campaignid=13&zoneid=47&source=dk&loc=1&referer=http://dk.worldsbiggestchat.com/&cb=fa3a4db21b	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FijMYl3JallZCkb6l2	image/gif
1340599228.809495	Cd4PlU29Cv90oefcm8	192.168.54.10	1046	173.194.79.149	80	3	GET	ad.dk.doubleclick.net	/adj/chat.jubii.dk/;click0=http://x.chatwbc.com/openx/www/delivery/ck.php?oaparams=2__bannerid=70__zoneid=47__source=dk__cb=fa3a4db21b__oadest=;sz=930x180;tile=7;atf=0;click=http://x.chatwbc.com/openx/www/delivery/ck.php?oaparams=2__bannerid=70__zoneid=47__source=dk__cb=fa3a4db21b__oadest=;ord=233482847;a1=0;a2=0;a3=0;a4=1;a5=1;a6=1;a7=1;a8=1;a9=1;b1=1;b2=1;b3=3;b4=9;b5=3;b6=3;b7=9;b8=9;b9=9;c1=4;c2=2;c3=9;c4=3;c5=3;c6=3;c7=3;c8=9;c9=9;d1=9;d2=9;d3=3;d4=3;d5=3;d6=3;d7=4;d8=9;d9=4;e1=9;e2=3;e3=9;e4=3;e5=9;e6=9;e7=9;e8=3;e9=9;f1=9;f2=9;f3=3;f4=1;f5=1;f6=1;f7=3;f8=3;f9=9;g1=1;g2=1;g3=3;g4=3;g5=3;g6=9;g7=9;g8=9;g9=9;h1=9;h2=9;h3=9;h4=6;h5=3;h6=0;h7=1;h8=1;h9=9;i1=9;i2=9;i3=3;i4=9;i5=4;i6=3;i7=9;i8=9;i9=9;j1=9;j2=9;j3=9;j4=3;j5=3;j6=3;j7=3;j8=3;z9=9;z7=9;z3=0;z5=9;z6=0;z8=9;y1=0;y2=0;y3=0;y4=0?	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4433	200	OK	-	-	-	(empty)	-	-	-	-	-	FF18aT3pXZeeC3Sjb9	text/html
1340599228.84847	CWtMfJ3QdBj6cvQvt4	192.168.54.10	1056	77.66.25.150	80	3	GET	p.worldsbiggestchat.com	/PhotoChat/DK/l72098144adb5441486790ce3eba31dd0.jpg	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3089	200	OK	-	-	-	(empty)	-	-	-	-	-	FOJuW31dkzISviiIi	image/jpeg
1340599228.848758	C1St77kohDfoSGFm5	192.168.54.10	1057	77.66.25.150	80	3	GET	p.worldsbiggestchat.com	/PhotoChat/DK/l465cecd5079f421494ab93ee32f91c7f.jpg	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3415	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ8WB11xwOfqxXFPm7	image/jpeg
1340599229.026734	CwICRW3A298IorYD67	192.168.54.10	1061	74.125.127.148	80	2	GET	s0.2mdn.net	/dot.gif	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FD6Xvy31PFWGD7a661	image/gif
