#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-15-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1376940760.233255	CjbP9a2ZDvSDkUuPY2	192.168.39.10	1031	205.177.28.132	80	1	GET	perfectgirls.es	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FdwAyAOdFtBbyK4e9	text/html
1376940761.821168	CVar4o2BxOkQEsnR8k	192.168.39.10	1034	209.8.166.70	80	2	GET	www.perfectgirls.es	/1/img/en.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	5553	200	OK	-	-	-	(empty)	-	-	-	-	-	FV8P1G4MuRIRDDv49a	image/png
1376940761.825183	C7pbIH1b0aYWEXR4D4	192.168.39.10	1032	209.8.166.70	80	5	GET	www.perfectgirls.es	/1/img/de.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3960	200	OK	-	-	-	(empty)	-	-	-	-	-	FPzvKQ3rD1tJVBiXf9	image/png
1376940761.826341	Cej2sJ21Fx7VGVHNP8	192.168.39.10	1035	209.8.166.70	80	3	GET	www.perfectgirls.es	/1/img/fr.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4283	200	OK	-	-	-	(empty)	-	-	-	-	-	FHQ2a82HKqpwCBHqZi	image/png
1376940761.871023	CI9JR72Kmgnb14epNg	192.168.39.10	1048	74.125.224.239	80	1	GET	www.gstatic.com	/GoogleInternetAuthority/GoogleInternetAuthority.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	5320	200	OK	-	-	-	(empty)	-	-	-	-	-	FMgutZ1LUBRBAdAgQe	binary
1376940761.798588	CqBlIs3mLK5JlNrL9	192.168.39.10	1036	209.8.166.70	80	2	GET	www.perfectgirls.es	/1/img/bck_alert.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	27721	200	OK	-	-	-	(empty)	-	-	-	-	-	FdCG2D4kuIpFpVULMb	image/jpeg
1376940761.874753	C5mJdGwXd2KdHjrG6	192.168.39.10	1045	88.212.196.104	80	1	GET	counter.yadro.ru	/hit?r;s800*600*24;uhttp://www.perfectgirls.es/;0.6639285396500358	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	32	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	Fp3MjT1gswRnIK0Ei	text/html
1376940762.694199	CVar4o2BxOkQEsnR8k	192.168.39.10	1034	209.8.166.70	80	3	GET	www.perfectgirls.es	/1/img/ru.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3550	200	OK	-	-	-	(empty)	-	-	-	-	-	F4nO573uZ1Mmvigi7g	image/png
1376940762.6939	C7pbIH1b0aYWEXR4D4	192.168.39.10	1032	209.8.166.70	80	6	GET	www.perfectgirls.es	/img/pt.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2790	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ8sLT12AIfBdCHn0d	image/png
1376940762.664832	CAcxmm1Ps4HuaIWUMl	192.168.39.10	1033	209.8.166.70	80	3	GET	www.perfectgirls.es	/1/img/it.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4511	200	OK	-	-	-	(empty)	-	-	-	-	-	FD3Rbq1hsw3RpeTibd	image/png
1376940762.693505	CtsK1gLWYpzjH3YVf	192.168.39.10	1037	209.8.166.70	80	4	GET	www.perfectgirls.es	/1/img/sp.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4587	200	OK	-	-	-	(empty)	-	-	-	-	-	FBDkAy1F27oiO2yw5f	image/png
1376940762.73461	C5mJdGwXd2KdHjrG6	192.168.39.10	1045	88.212.196.104	80	2	GET	counter.yadro.ru	/hit?q;r;s800*600*24;uhttp://www.perfectgirls.es/;0.6639285396500358	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FuDtmZ2S2m6VkXWKa4	image/gif
1376940763.06022	CbH6NP3ukCeXBB4gvb	192.168.39.10	1043	74.125.224.104	80	2	GET	www.google-analytics.com	/collect?v=1&_v=j11&a=542515741&t=pageview&_s=1&dl=http://www.perfectgirls.es/&dr=&ul=en-us&de=utf-8&dt=\xc2\xa1PORNO GRATIS! \xc2\xa1SEXO GRATIS! Perfect Girls Tube, acceso en l\xc3\xadnea a m\xc3\xa1s de 100.000 pel\xc3\xadculas porno.&sd=24-bit&sr=800x600&vp=780x427&je=0&fl=10.0 r32&_u=ME~&cid=1862174352.1376955045&tid=UA-41639898-1&z=942712417	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FTxoEF1ZejSBtpHb5j	image/gif
1376940762.719737	Cej2sJ21Fx7VGVHNP8	192.168.39.10	1035	209.8.166.70	80	4	GET	www.perfectgirls.es	/3/img/head.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	62193	200	OK	-	-	-	(empty)	-	-	-	-	-	FRVF4ecmiN8hICDRh	image/png
1376940763.321151	C8NOv83tDuwwUm4nXl	192.168.39.10	1050	63.219.181.81	80	1	GET	www.perfectgirls.net	/rtaverified.gif	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2288	200	OK	-	-	-	(empty)	-	-	-	-	-	FMeg1x3j8nXQpuv3Fk	image/gif
1376940763.321447	CK2NLl2h3J4edVY3Yj	192.168.39.10	1051	63.219.181.81	80	1	GET	www.perfectgirls.net	/asacp.gif	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2330	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj3nLT29XriDkdoj3e	image/gif
1376940763.359259	CPEhur3MX8bq7L6xhi	192.168.39.10	1049	88.212.196.104	80	1	GET	counter.yadro.ru	/logo?45.5	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	112	200	OK	-	-	-	(empty)	-	-	-	-	-	FmVVPr1leixI9bLSnh	image/gif
1376940764.49043	CvklLA33MBnCpNIFPe	192.168.39.10	1055	99.192.247.17	80	1	GET	tuberewards.com	/tracker.php?b=3270&camp=1188&a=748&c=US	http://trw12.com/d/a/748.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1376940764.669508	CSyu1S3pBUiWjqX0F8	192.168.39.10	1056	173.192.223.80	80	1	GET	pub.adswam.com	/perfectgirls/728x90-leaderboard/	http://trw12.com/d/a/748.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2042	200	OK	-	-	-	(empty)	-	-	-	-	-	FUkCoR1kh5gUphpale	text/html
1376940765.033935	CGOXIdacSLpZ3reB7	192.168.39.10	1058	67.222.143.34	80	1	GET	ad.wamcash.com	/www/delivery/ajs.php?zoneid=121&cb=86520114264&charset=utf-8&loc=http://pub.adswam.com/perfectgirls/728x90-leaderboard/&referer=http://trw12.com/d/a/748.php	http://pub.adswam.com/perfectgirls/728x90-leaderboard/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3688	200	OK	-	-	-	(empty)	-	-	-	-	-	FrgjZo3qXdMVioYvn5	text/plain
1376940765.485885	CGOXIdacSLpZ3reB7	192.168.39.10	1058	67.222.143.34	80	2	GET	ad.wamcash.com	/www/delivery/lg.php?bannerid=241&campaignid=35&zoneid=121&loc=1&referer=http://pub.adswam.com/perfectgirls/728x90-leaderboard/&cb=8d7953eb1f	http://pub.adswam.com/perfectgirls/728x90-leaderboard/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FGthwj1YUxhEkmWhZ4	image/gif
1376940765.482831	CSyu1S3pBUiWjqX0F8	192.168.39.10	1056	173.192.223.80	80	2	GET	pub.adswam.com	/perfectgirls/728x90-leaderboard/index.php	http://pub.adswam.com/perfectgirls/728x90-leaderboard/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	556	200	OK	-	-	-	(empty)	-	-	-	-	-	F9kAbH1SGZTEk194Ek	text/html
1376940765.590571	CbH6NP3ukCeXBB4gvb	192.168.39.10	1043	74.125.224.104	80	3	GET	www.google-analytics.com	/ga.js	http://pub.adswam.com/perfectgirls/728x90-leaderboard/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	39867	200	OK	-	-	-	(empty)	-	-	-	-	-	FjzS1qlOuwCl9nFde	text/plain
1376940765.600276	CSyu1S3pBUiWjqX0F8	192.168.39.10	1056	173.192.223.80	80	3	GET	pub.adswam.com	/perfectgirls/728x90-leaderboard/css/reset.css	http://pub.adswam.com/perfectgirls/728x90-leaderboard/index.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	930	200	OK	-	-	-	(empty)	-	-	-	-	-	F36eAb3GV3OV2XucV8	text/plain
1376940765.686978	CToH0TWcaiuFtgGFb	192.168.39.10	1060	173.192.223.80	80	1	GET	pub.adswam.com	/perfectgirls/728x90-leaderboard/wc-728x90.gif	http://pub.adswam.com/perfectgirls/728x90-leaderboard/index.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	49164	200	OK	-	-	-	(empty)	-	-	-	-	-	FwXsax391JihsRUHl7	image/gif
1376940765.887184	Ce8zrIw5NGHZyRQQ6	192.168.39.10	1059	205.234.139.177	801	1	GET	equivaltenmedac.monarchaerospace.com	/immune_ripe.php	http://pub.adswam.com/perfectgirls/728x90-leaderboard/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	33018	200	OK	-	-	-	(empty)	-	-	-	-	-	F1GCgxAUxuRqiAKOc	text/html
1376940766.288856	Cw19Yx4aK7DP3WVUpc	192.168.39.10	1061	205.234.139.177	801	1	GET	equivaltenmedac.monarchaerospace.com	/birthday_efficiency_obscure_bicycle.html	http://equivaltenmedac.monarchaerospace.com:801/immune_ripe.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1683	200	OK	-	-	-	(empty)	-	-	-	-	-	FPeyUO1Tykptllp785	text/plain
1376940766.382755	Ce8zrIw5NGHZyRQQ6	192.168.39.10	1059	205.234.139.177	801	2	GET	equivaltenmedac.monarchaerospace.com	/prison_council.html	http://equivaltenmedac.monarchaerospace.com:801/immune_ripe.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	17545	200	OK	-	-	-	(empty)	-	-	-	-	-	FRXiRq2IKrHTys04Xg	text/html
1376940767.829177	CqBlIs3mLK5JlNrL9	192.168.39.10	1036	209.8.166.70	80	3	GET	www.perfectgirls.es	/favicon.ico	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	318	200	OK	-	-	-	(empty)	-	-	-	-	-	FyZMw92S7MtSupdKG3	image/x-icon
1376940768.693084	CCPvgR2DwfTGxwOd1l	192.168.39.10	1063	63.217.31.57	80	1	GET	cdn-z4.perfectgirls.net	/thumbs/261/804/thumb7.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	12762	200	OK	-	-	-	(empty)	-	-	-	-	-	F804Tx3Sa399SKLpZ4	image/jpeg
1376940768.694362	CzbSly2vwr4ysHOne5	192.168.39.10	1064	63.217.31.57	80	1	GET	cdn-z4.perfectgirls.net	/thumbs/261/734/thumb6.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	8147	200	OK	-	-	-	(empty)	-	-	-	-	-	FTOoZX2mJU9FY0hSQ8	image/jpeg
1376940768.692647	CfYzmn4vY5NmB5z3xj	192.168.39.10	1062	63.217.31.57	80	1	GET	cdn-z4.perfectgirls.net	/thumbs/261/637/thumb12.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	13944	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh9x3k4EQQ3eHlslhk	image/jpeg
1376940768.788897	CQurre1vqqmb6jomK3	192.168.39.10	1065	63.217.31.54	80	1	GET	cdn-z1.perfectgirls.net	/thumbs/261/811/thumb25.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	12480	200	OK	-	-	-	(empty)	-	-	-	-	-	FdWIja15rlt6xkstZ6	image/jpeg
1376940768.789242	CDZwox1IH2rJ8gG63	192.168.39.10	1066	63.217.31.54	80	1	GET	cdn-z1.perfectgirls.net	/thumbs/261/858/thumb15.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	11159	200	OK	-	-	-	(empty)	-	-	-	-	-	FMdPhK1RqNAJTnllme	image/jpeg
1376940768.803539	CTbhrk2cDkePw9Et22	192.168.39.10	1067	63.217.31.54	80	1	GET	cdn-z1.perfectgirls.net	/thumbs/261/695/thumb7.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	12389	200	OK	-	-	-	(empty)	-	-	-	-	-	F9bS8M3LfFU3LWiPm4	image/jpeg
1376940768.811806	CCPvgR2DwfTGxwOd1l	192.168.39.10	1063	63.217.31.57	80	2	GET	cdn-z4.perfectgirls.net	/thumbs/261/825/thumb14.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	10866	200	OK	-	-	-	(empty)	-	-	-	-	-	F2SbVe4h9ZKW1nMNv4	image/jpeg
1376940768.811449	CeNOvU18b7cqVb6Odj	192.168.39.10	1068	63.217.31.55	80	1	GET	cdn-z2.perfectgirls.net	/thumbs/261/742/thumb25.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	11810	200	OK	-	-	-	(empty)	-	-	-	-	-	FhdPvr265Hiy8TSfsc	image/jpeg
1376940768.892414	CQurre1vqqmb6jomK3	192.168.39.10	1065	63.217.31.54	80	2	GET	cdn-z1.perfectgirls.net	/thumbs/261/626/thumb20.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	10700	200	OK	-	-	-	(empty)	-	-	-	-	-	FOuYLIijM1KfSLlPl	image/jpeg
1376940768.858702	CCvrRl34bo9pjTQ4U5	192.168.39.10	1070	63.217.31.56	80	1	GET	cdn-z3.perfectgirls.net	/thumbs/261/815/thumb7.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	13357	200	OK	-	-	-	(empty)	-	-	-	-	-	F7GoNldQwz5kGIEc3	image/jpeg
1376940768.858464	CR8uYV2ANTJsemUheh	192.168.39.10	1069	63.217.31.56	80	1	GET	cdn-z3.perfectgirls.net	/thumbs/261/872/thumb6.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	14787	200	OK	-	-	-	(empty)	-	-	-	-	-	FvwBIi4RLqRTZP2u4	image/jpeg
1376940769.025074	CCvrRl34bo9pjTQ4U5	192.168.39.10	1070	63.217.31.56	80	2	GET	cdn-z3.perfectgirls.net	/thumbs/261/630/thumb1.jpg	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	14796	200	OK	-	-	-	(empty)	-	-	-	-	-	FUw8gS2OPFvC1oL041	image/jpeg
1376940771.033632	CEWrr51U5StDf4CQa7	192.168.39.10	1071	205.234.139.177	801	1	GET	equivaltenmedac.monarchaerospace.com	/magic-detriment-rough.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	20044	200	OK	-	-	-	(empty)	-	-	-	-	-	FiduC34opQFkqBJRRe	application/zip
1376940772.650337	Ctw1bOMfFjTSMaRmd	192.168.39.10	1072	205.234.139.177	801	1	GET	equivaltenmedac.monarchaerospace.com	/conscience-account-prime-dirt.txt?e=14	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	241664	200	OK	-	-	-	(empty)	-	-	-	-	-	F8JFWUvbawO0pGN6	application/x-dosexec
#close	2014-04-03-11-15-50
