#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-55-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357968042.534335	CmapHT1jfD1ZShCwN6	192.168.28.10	1030	62.149.128.166	80	1	GET	riparazioneiphoneipadfirenze.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	251	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F7NZZX2TJs0KRqEm9e	text/html
1357968044.39952	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	4	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/3.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	591	200	OK	-	-	-	(empty)	-	-	-	-	-	Fufmrk410SFDqxGqYj	image/png
1357968044.399797	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	6	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/4.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1182	200	OK	-	-	-	(empty)	-	-	-	-	-	FYTlEb2iy5p8mp7pck	image/png
1357968044.574463	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	5	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/5.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	824	200	OK	-	-	-	(empty)	-	-	-	-	-	FhO0LD1ZjHEOfAzlB7	image/png
1357968044.574762	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	7	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/6.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2122	200	OK	-	-	-	(empty)	-	-	-	-	-	F6qECX2ZpOam8Qouv9	image/png
1357968044.728763	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	6	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/7.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1393	200	OK	-	-	-	(empty)	-	-	-	-	-	FYCJyf23IJeDf3Vcvb	image/png
1357968044.729077	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	8	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/8.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	959	200	OK	-	-	-	(empty)	-	-	-	-	-	FDC7aD1ZwHb2UU8iHl	image/png
1357968044.887421	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	7	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/9.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1220	200	OK	-	-	-	(empty)	-	-	-	-	-	FvGgvX2z557sr0LHz6	image/png
1357968044.88776	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	9	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/10.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	966	200	OK	-	-	-	(empty)	-	-	-	-	-	FxMRAA1IJyKAXA6FHj	image/png
1357968045.055118	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	8	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/11.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1255	200	OK	-	-	-	(empty)	-	-	-	-	-	FOns6an5eW2FcaKI3	image/png
1357968045.055445	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	10	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/12.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1410	200	OK	-	-	-	(empty)	-	-	-	-	-	F2HQM6ksWdPuwRKk3	image/png
1357968045.192637	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	9	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/13.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1274	200	OK	-	-	-	(empty)	-	-	-	-	-	FYpPDL12SY55MLhN0c	image/png
1357968045.192906	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	11	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/337.jpg	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4041	200	OK	-	-	-	(empty)	-	-	-	-	-	F25B1I3k6Gb5KWJ4N5	image/jpeg
1357968045.332074	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	12	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/17.jpg	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1737	200	OK	-	-	-	(empty)	-	-	-	-	-	FxyZUl30QyjMivVoH3	image/jpeg
1357968045.329707	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	10	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/16.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17019	200	OK	-	-	-	(empty)	-	-	-	-	-	F33EiDB3FiQKa3vq1	image/png
1357968045.490636	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	13	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/18.jpg	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1927	200	OK	-	-	-	(empty)	-	-	-	-	-	FjOedt3kUuf9kig267	image/jpeg
1357968045.657574	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	14	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/20.jpg	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2316	200	OK	-	-	-	(empty)	-	-	-	-	-	FyOp5CK1YSXnzik1j	image/jpeg
1357968045.83186	CRoxappDNi2sK76s4	192.168.28.10	1043	96.17.161.123	80	1	GET	static.ak.facebook.com	/connect/xd_arbiter.php?version=18	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25477	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb8ujT2B8wybFJtMPl	text/html
1357968045.614446	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	11	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/19.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	45453	200	OK	-	-	-	(empty)	-	-	-	-	-	FFaq9I1UZQQZTX44A6	image/png
1357968045.790588	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	15	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/21.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2625	200	OK	-	-	-	(empty)	-	-	-	-	-	FBsSEd2qbwrXoFGwD	image/png
1357968045.872289	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	12	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/22.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11722	200	OK	-	-	-	(empty)	-	-	-	-	-	F9MTeE27lgRZcik8jj	image/png
1357968045.932985	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	16	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/23.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19638	200	OK	-	-	-	(empty)	-	-	-	-	-	FhRYhu2kwgdin2AmZb	image/png
1357968046.050911	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	13	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/24.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14865	200	OK	-	-	-	(empty)	-	-	-	-	-	FOw39JfKXVrFw3MO2	image/png
1357968046.086723	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	17	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/338.jpg	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2316	200	OK	-	-	-	(empty)	-	-	-	-	-	FcI7kdbRU2FLn63j	image/jpeg
1357968046.191517	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	14	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/26.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20149	200	OK	-	-	-	(empty)	-	-	-	-	-	FYKbGh4qa5IwMXsoba	image/png
1357968046.221679	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	18	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/27.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41815	200	OK	-	-	-	(empty)	-	-	-	-	-	F805IG2KHKSza7jnOi	image/png
1357968046.330004	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	15	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/28.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36263	200	OK	-	-	-	(empty)	-	-	-	-	-	FSu7vH2EzqwwLi7dZk	image/png
1357968046.491804	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	19	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/29.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21762	200	OK	-	-	-	(empty)	-	-	-	-	-	FeIPqN11uiwhjMGS0l	image/png
1357968046.594776	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	16	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/30.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2540	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj8lLx1tBOcte33pti	image/png
1357968046.637111	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	20	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/31.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7192	200	OK	-	-	-	(empty)	-	-	-	-	-	FyvD4w1556y6DQ7w2g	image/png
1357968046.729317	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	17	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/32.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4055	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff9M4Q8Yoc1G7Rm67	image/png
1357968046.775343	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	21	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/33.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2206	200	OK	-	-	-	(empty)	-	-	-	-	-	F43jjh4Sf85Ccbedbe	image/png
1357968046.925791	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	22	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/35.jpg	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1458	200	OK	-	-	-	(empty)	-	-	-	-	-	FIyt352JpRsKwyEg48	image/jpeg
1357968046.864732	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	18	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/34.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11732	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxh7YH2dcgIzu6FUd1	image/png
1357968047.057811	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	23	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/36.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2950	200	OK	-	-	-	(empty)	-	-	-	-	-	F9e2oB3PGBLS21yun4	image/png
1357968047.120119	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	19	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/37.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4705	200	OK	-	-	-	(empty)	-	-	-	-	-	FCncNw109OIXQ5OLlg	image/png
1357968047.191562	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	24	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/38.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2833	200	OK	-	-	-	(empty)	-	-	-	-	-	FI01EG4LmBQXgjckX3	image/png
1357968047.253145	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	20	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/40.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1799	200	OK	-	-	-	(empty)	-	-	-	-	-	Fnwlnw1FLRcnbyrvp8	image/png
1357968047.32328	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	25	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/41.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2689	200	OK	-	-	-	(empty)	-	-	-	-	-	F8Px6M2iL7rYgIdtQa	image/png
1357968047.384351	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	21	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/42.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	754	200	OK	-	-	-	(empty)	-	-	-	-	-	FYTeC03k5UUid9XgEi	image/png
1357968047.460403	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	26	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/43.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	873	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw7pLu2dSABG8Q0zMe	image/png
1357968047.518925	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	22	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/44.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	534	200	OK	-	-	-	(empty)	-	-	-	-	-	FFJp012hnKKaNNgJXj	image/png
1357968047.609324	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	27	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/45.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1063	200	OK	-	-	-	(empty)	-	-	-	-	-	F8UKur4NhPXAQjOYhl	image/png
1357968047.652618	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	23	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/46.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	754	200	OK	-	-	-	(empty)	-	-	-	-	-	FkulM417pXZ7Fdzvng	image/png
1357968047.745809	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	28	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/47.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1934	200	OK	-	-	-	(empty)	-	-	-	-	-	FO0vsB2DYGzOdP5Ebj	image/png
1357968047.786707	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	24	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/48.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1238	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwm36I2UE2Cd91lqnh	image/png
1357968047.883423	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	29	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/49.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	880	200	OK	-	-	-	(empty)	-	-	-	-	-	FWuDl64vZMVo4lnqD8	image/png
1357968047.91835	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	25	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/50.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1128	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsm5sd2eS05HmIOCN8	image/png
1357968048.020287	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	30	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/51.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	882	200	OK	-	-	-	(empty)	-	-	-	-	-	FuAogI27zlf2pGdijc	image/png
1357968048.051553	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	26	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/52.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1167	200	OK	-	-	-	(empty)	-	-	-	-	-	F1CP484g1nRv0yL6Ve	image/png
1357968048.15484	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	31	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/53.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1309	200	OK	-	-	-	(empty)	-	-	-	-	-	Foj76Y27tl6t1BN6n5	image/png
1357968048.18394	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	27	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/54.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1189	200	OK	-	-	-	(empty)	-	-	-	-	-	FINFoL1mYfM8gQ6C0b	image/png
1357968048.29249	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	32	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/png.js	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1347	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqq7DE4HuktJdmiIX8	text/plain
1357968048.511148	C5f7jN2oBmPL2ny4i	192.168.28.10	1035	213.186.33.19	80	2	GET	aseem31.com	/maes.html?i=1094819	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	230	302	Found	-	-	-	(empty)	-	-	-	-	-	FGOrNx3UtJqlK8OdMg	text/html
1357968048.470501	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	28	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/0.gif	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FPVtN23V0GZslG9Fq6	image/gif
1357968044.595752	CuElYw4npu87G4mGf1	192.168.28.10	1037	74.53.110.114	80	1	GET	bluemountainrx.com	/maes.htm?i=1094819	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13159	200	OK	-	-	-	(empty)	-	-	-	-	-	FWxMcG188ao44xLMS4	text/html
1357968048.851541	C5f7jN2oBmPL2ny4i	192.168.28.10	1035	213.186.33.19	80	3	GET	aseem31.com	/maes.html?i=1094819	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	230	302	Found	-	-	-	(empty)	-	-	-	-	-	F0LwFX2WRVecZNozkc	text/html
