#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2014-04-03-11-00-52
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	server_name	session_id	subject	issuer_subject	not_valid_before	not_valid_after	last_alert	client_subject	client_issuer_subject	cert_hash	validation_status
#types	time	string	addr	port	addr	port	string	string	string	string	string	string	time	time	string	string	string	string	string
1374168749.173999	Cg9qdRhqOPbosDj3i	192.168.60.10	1076	23.7.15.139	443	SSLv3	TLS_RSA_WITH_RC4_128_MD5	-	-	CN=connect.facebook.net,OU=connect.facebook.net,O=Facebook,L=Palo Alto,ST=CALIFORNIA,C=US	CN=Cybertrust Public SureServer SV CA,O=Cybertrust Inc	1364843571.000000	1396379571.000000	-	-	-	2942cdfaaaabb681d2cdf960b3fcaaaa	ok
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-28973	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-28973	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-28973	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-28973	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-28973	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-44594	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-20430	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-20430	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-20430	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-20430	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-20430	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-20430	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-20430	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-20430	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-49893	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-61338	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-406	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-406	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-406	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-406	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-58328	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-58328	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-58328	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-58328	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-58328	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-58328	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-57863	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-57863	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-57863	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-57863	-	-	-	-
#close	2014-04-03-11-00-53
