#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323283736.925598	CuIov8Mta2zRG1tNk	192.168.31.10	1030	95.168.165.224	80	1	GET	bvonmovies.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FezZQ33aPcrXs4Rw5e	text/html
1323283746.49767	CgHhMc3kB1y1YOPaUg	192.168.31.10	1044	64.17.167.225	80	3	GET	asstro.net	/showthread.php?t=49281	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11393	200	OK	-	-	-	(empty)	-	-	-	-	-	F4z8Rhljxm88pb4c1	application/jar
1323283748.077278	CiY3O93kjk5tVF6aGb	192.168.31.10	1043	64.17.167.225	80	4	GET	asstro.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	528	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F97lh44DK0RrCnIjL1	text/html
1323283748.539337	CiY3O93kjk5tVF6aGb	192.168.31.10	1043	64.17.167.225	80	5	GET	asstro.net	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	528	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F5zUjq3FTVfFb2fhw4	text/html
1323283748.881501	CiY3O93kjk5tVF6aGb	192.168.31.10	1043	64.17.167.225	80	6	GET	asstro.net	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	528	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FxB0zA3dWE77Q4Cmk1	text/html
1323283749.162512	CiY3O93kjk5tVF6aGb	192.168.31.10	1043	64.17.167.225	80	7	GET	asstro.net	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	528	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FB9NnZ2zKTESYfqv0l	text/html
1323283749.464598	CiY3O93kjk5tVF6aGb	192.168.31.10	1043	64.17.167.225	80	8	GET	asstro.net	/showthread.php?t=3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	99602	200	OK	-	-	-	(empty)	-	-	-	-	-	FkVfKhvJ92pVuUOC4	application/x-dosexec
1323283753.408565	CmLFOa4jAyAqyzWkh3	192.168.31.10	1045	89.149.231.46	80	1	GET	luckywebsearch.com	/geturl.php?uid=0390320a8045411d9356a17fac6e3474&v=14&aid=7012	-	-	0	64	200	OK	-	-	-	(empty)	-	-	-	-	-	FkkH8J11UhxZpzUqef	text/plain
1323283750.396313	CgHhMc3kB1y1YOPaUg	192.168.31.10	1044	64.17.167.225	80	4	GET	asstro.net	/showthread.php?t=2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	99602	200	OK	-	-	-	(empty)	-	-	-	-	-	FIaAv11DrbjrlFd7P1	application/x-dosexec
1323283757.110139	CmLFOa4jAyAqyzWkh3	192.168.31.10	1045	89.149.231.46	80	2	GET	luckywebsearch.com	/geturl.php?uid=0390320a8045411d9356a17fac6e3474&v=14&aid=7012	-	-	0	64	200	OK	-	-	-	(empty)	-	-	-	-	-	FFeWKq3UoEoeRDKeT9	text/plain
1323283760.616793	CSvhkq1EUWMGD3SF49	192.168.31.10	1049	89.149.231.46	80	1	GET	luckywebsearch.com	/redirect.php?wmid=7012	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1323283768.0712	CSvhkq1EUWMGD3SF49	192.168.31.10	1049	89.149.231.46	80	2	GET	luckywebsearch.com	/click.php?id=NTIxMTEzOTA2NTg1OGNkMmU0MzYxYjA1YmUzNDY3ZmV8ZDQ4ZDM3MTk5YTZlMTk1ZmJjOGFhM2FmY2M1N2ZlMGF8Y29uZG8rZGVzdGluK2luK3NlbGxpbmc=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1323283768.221888	CSvhkq1EUWMGD3SF49	192.168.31.10	1049	89.149.231.46	80	3	GET	luckywebsearch.com	/gosearch.php?q=condo+destin+in+selling	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	354	200	OK	-	-	-	(empty)	-	-	-	-	-	FOTaSV1wKVtWvRPWf5	text/html
1323283768.396962	CSvhkq1EUWMGD3SF49	192.168.31.10	1049	89.149.231.46	80	4	GET	luckywebsearch.com	/c.php?id=5211139065858cd2e4361b05be3467fe&PHPSESSID=d48d37199a6e195fbc8aa3afcc57fe0a	http://luckywebsearch.com/gosearch.php?q=condo+destin+in+selling	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1323283768.612267	C8PTB2Z3bfSy4r6dl	192.168.31.10	1050	64.111.199.250	80	1	GET	farm-cart.com	/c.php?s=eNodlMuuqkoURT_IROpBVVGN0xCRlygICmjnpoqHgrB9bRQIH389JysrozUbM1lj1RPCTEUTmLbjot-c__yZwBwAVf0HPiEAIUSAQawyRKYj4t3J0s4nKx5zq-mcv2tvG2n1d9lmfyYOS4GgmmGVEwgLChgSkklaagR8qf1HaIFzqhZSqCURsBAqkSSjRa4JoWaonDiZ4FRsb3EN2-Ax3nYXW9m-Lbl4GiwCoSlbz1jtdPdDzmh0rRU-S0Obda9nLn49XuoxT31xqZUSj8POPagr_dMMgb7wiehO1dtctM_mljY4v7fbfL9WuiyrKa9_n2nTcMtlxltJ3u6AusOm8cOja3dEFqyA3bGJoLZfqGtuLcySgCyFhwvIDC080GP1OQwwOcMKxezHqN-3ZeFYd-WcbLdDIWh-q0ZZEHc4jc2-q1n8OZRnx4ObpGH3NgrKe7_sLq3WfX5MQFbb9vkuLL94ELzUkodb6AwUrAsab1EP4nBpmZsUr8dWZiBwDQD5QTlf78S8hvKCZreiua_zxyGI8C3PJQCi_zGr8blOmN2fot_N5ZSuYlnYpc93bAT6yehYJIc7VS8_YRr_MkqXD9RevaxtHcUp5AvtH0Ew9ntobgTtXnVALodv065sqD8jXjUqPGh5cdP3gRdoCdDazkF0m-hH1j9fOLnO9FcVplmEN_2ny82D97x1PglyizQUxbdHe7yjJA2Xej1q6345-_SVApxT816dfWgb-saRJXYXjZL4dO0wXb-EVtKOvxWium0-Zv3qtmsU1yWaZZsONpZXH1BDqcJLVVmKbuzR-e1GiuiznTy2vLczEhGSepm_sqx6V5tjTaCRf2_Tw9sW5WOobIxU7gfumnhIbA-q1q5PupmzJ58g87NB0LjEzuPZw6vURCSq7VUJdGPBjrPXLo7sqwxt4r9ulQfWOFyZRqs6vPHffJbUFu1S2g4i1t7naG9IZZFJj6SvPxNT5wiyOaZzzqYJMm0OKZpDxueMfSX9qiEtE2dt3B1RjETSv04R_DlG5HNMw1osSS0R-Dr8byY8STuuBW7wKXHHU2IOR3T-JvnvxCDDWkklllJjPC8QEFzlAmdSU8sCqpOm_rVeQEEZVIUKCIFAld9nwSWGEsj_AYlNWQc	http://luckywebsearch.com/gosearch.php?q=condo+destin+in+selling	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1398	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FxEOS71oKwQEEemhsd	text/html
1323283768.679126	CyZwgO3tXfca1ZGm8g	192.168.31.10	1051	64.111.211.187	80	1	GET	64.111.211.187	/c.php?re=1&r=eNodlMuuqkoURT_IROpBVVGN0xCRlygICmjnpoqHgrB9bRQIH389JysrozUbM1lj1RPCTEUTmLbjot-c__yZwBwAVf0HPiEAIUSAQawyRKYj4t3J0s4nKx5zq-mcv2tvG2n1d9lmfyYOS4GgmmGVEwgLChgSkklaagR8qf1HaIFzqhZSqCURsBAqkSSjRa4JoWaonDiZ4FRsb3EN2-Ax3nYXW9m-Lbl4GiwCoSlbz1jtdPdDzmh0rRU-S0Obda9nLn49XuoxT31xqZUSj8POPagr_dMMgb7wiehO1dtctM_mljY4v7fbfL9WuiyrKa9_n2nTcMtlxltJ3u6AusOm8cOja3dEFqyA3bGJoLZfqGtuLcySgCyFhwvIDC080GP1OQwwOcMKxezHqN-3ZeFYd-WcbLdDIWh-q0ZZEHc4jc2-q1n8OZRnx4ObpGH3NgrKe7_sLq3WfX5MQFbb9vkuLL94ELzUkodb6AwUrAsab1EP4nBpmZsUr8dWZiBwDQD5QTlf78S8hvKCZreiua_zxyGI8C3PJQCi_zGr8blOmN2fot_N5ZSuYlnYpc93bAT6yehYJIc7VS8_YRr_MkqXD9RevaxtHcUp5AvtH0Ew9ntobgTtXnVALodv065sqD8jXjUqPGh5cdP3gRdoCdDazkF0m-hH1j9fOLnO9FcVplmEN_2ny82D97x1PglyizQUxbdHe7yjJA2Xej1q6345-_SVApxT816dfWgb-saRJXYXjZL4dO0wXb-EVtKOvxWium0-Zv3qtmsU1yWaZZsONpZXH1BDqcJLVVmKbuzR-e1GiuiznTy2vLczEhGSepm_sqx6V5tjTaCRf2_Tw9sW5WOobIxU7gfumnhIbA-q1q5PupmzJ58g87NB0LjEzuPZw6vURCSq7VUJdGPBjrPXLo7sqwxt4r9ulQfWOFyZRqs6vPHffJbUFu1S2g4i1t7naG9IZZFJj6SvPxNT5wiyOaZzzqYJMm0OKZpDxueMfSX9qiEtE2dt3B1RjETSv04R_DlG5HNMw1osSS0R-Dr8byY8STuuBW7wKXHHU2IOR3T-JvnvxCDDWkklllJjPC8QEFzlAmdSU8sCqpOm_rVeQEEZVIUKCIFAld9nwSWGEsj_AYlNWQc&u=4fa5c694fdeb52031f349df7592565c5&cid=67547e3c19d40238bbc2631634220b45&rc=0&pa=&ref1=&ref2=	http://luckywebsearch.com/gosearch.php?q=condo+destin+in+selling	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	820	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FIpmW3D159QkIM5n2	text/html
1323283768.762062	CucTdS2OxMlnICUfQf	192.168.31.10	1052	174.129.196.71	80	1	GET	1265042.590123.filter.bluelinkmarketing.com	/click.php?x=L5wK3j6JjbPgmxfLUsKy4RjmVppJxbA2EQHnVkF8pgl9XT9J4V3ewT3qEUa5Y9y0+WOqG/kqbyKKGQXcyuobf/wYbqsZ82v2OPxgtAzc7cgortQqyC1Ky3ehJ6CqdKLrVd8LJ018fOoB2oBQzrSN336IpWuXLfL7zOUlUOWHqaMD3vWIrbceQxnBv/aIjp7BsCBkylmRV6WEu6AazMQe5Rw6cVjRyQYJNkz9dQG4QGfGljGt0lbnT+EvB8XEle4ylezIO+zcxurH1+qL7lqMBr1pDq7yiKzNwFzwaXv+WDTRm2u/IVqjMk9XmFAjPJCskDmL59uE4j9zfDwCQhS37nRFxzhONm6EiCA8AE7cSwAb2rdQN89GN2VMSq+/9+Rl/OXy1IJ2ncoJ4KOY92XOq6OAuAywB59XaGMR2eQM7dtMqP0O8yX9qXQaPoHR+pVUPUOg96wfZxnPbAwVLWMK0E6uxAcXbbCOpACdA1uQ8zoKyWKuGGzOuvXqDmvo55SXN5JBeiC+kK4hXdp9z0Xl+TKS48VymR1Iub4AuthW2+c+Jb87bbsEb6Tr64149KfOPlqle/dBoNFDV8STZaWj7g==	http://luckywebsearch.com/gosearch.php?q=condo+destin+in+selling	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1323	200	OK	-	-	-	(empty)	-	-	-	-	-	FBXs5j3AgQ2WpuMlOg	text/html
1323283768.835358	CALLaV26DSgkVMEZYk	192.168.31.10	1053	174.129.196.71	80	1	POST	1265042.590123.filter.bluelinkmarketing.com	/click.php	http://1265042.590123.filter.bluelinkmarketing.com/click.php?x=L5wK3j6JjbPgmxfLUsKy4RjmVppJxbA2EQHnVkF8pgl9XT9J4V3ewT3qEUa5Y9y0%2BWOqG%2FkqbyKKGQXcyuobf%2FwYbqsZ82v2OPxgtAzc7cgortQqyC1Ky3ehJ6CqdKLrVd8LJ018fOoB2oBQzrSN336IpWuXLfL7zOUlUOWHqaMD3vWIrbceQxnBv%2FaIjp7BsCBkylmRV6WEu6AazMQe5Rw6cVjRyQYJNkz9dQG4QGfGljGt0lbnT%2BEvB8XEle4ylezIO%2BzcxurH1%2BqL7lqMBr1pDq7yiKzNwFzwaXv%2BWDTRm2u%2FIVqjMk9XmFAjPJCskDmL59uE4j9zfDwCQhS37nRFxzhONm6EiCA8AE7cSwAb2rdQN89GN2VMSq%2B%2F9%2BRl%2FOXy1IJ2ncoJ4KOY92XOq6OAuAywB59XaGMR2eQM7dtMqP0O8yX9qXQaPoHR%2BpVUPUOg96wfZxnPbAwVLWMK0E6uxAcXbbCOpACdA1uQ8zoKyWKuGGzOuvXqDmvo55SXN5JBeiC%2BkK4hXdp9z0Xl%2BTKS48VymR1Iub4AuthW2%2Bc%2BJb87bbsEb6Tr64149KfOPlqle%2FdBoNFDV8STZaWj7g%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	803	0	302	Found	-	-	-	(empty)	-	-	-	FawAFO1aZCLAYQgkXi	text/plain	-	-
1323283770.624318	CsZKz11mbk8P7ucBIg	192.168.31.10	1058	24.143.193.59	80	1	GET	assets0.patch-assets.com	/stylesheets/styleguide_base.ie6.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323283770.624117	CcAlNf2ZnZqz9cWYr1	192.168.31.10	1057	24.143.193.59	80	1	GET	assets2.patch-assets.com	/stylesheets/styleguide_base.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13590	200	OK	-	-	-	(empty)	-	-	-	-	-	FC2ZHElR0JkeNS6ci	text/plain
1323283770.624475	CkCPJc4wG3SkQiYMdc	192.168.31.10	1059	24.143.193.49	80	1	GET	assets1.patch-assets.com	/stylesheets/styleguide_base.print.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323283770.624785	CmuXa73Pw4FEHHBTDg	192.168.31.10	1061	24.143.193.59	80	1	GET	assets2.patch-assets.com	/stylesheets/styleguide.ie6.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4627	200	OK	-	-	-	(empty)	-	-	-	-	-	FL64i54QGZnff07Nhj	text/plain
1323283770.624631	C010c63dHbaoObIK7c	192.168.31.10	1060	24.143.193.59	80	1	GET	assets0.patch-assets.com	/stylesheets/styleguide.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	228511	200	OK	-	-	-	(empty)	-	-	-	-	-	FaOllu48yA4Z9XqDXe	text/plain
1323283770.63747	CsZKz11mbk8P7ucBIg	192.168.31.10	1058	24.143.193.59	80	2	GET	assets0.patch-assets.com	/stylesheets/library.ie6.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	562	200	OK	-	-	-	(empty)	-	-	-	-	-	FkHTyr2YCqmeI7v0d1	text/plain
1323283770.647117	CcAlNf2ZnZqz9cWYr1	192.168.31.10	1057	24.143.193.59	80	2	GET	assets2.patch-assets.com	/stylesheets/library.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24814	200	OK	-	-	-	(empty)	-	-	-	-	-	F040ls2Huk9q02G5de	text/plain
1323283768.992642	CKlj4S32NmIKQohPF1	192.168.31.10	1054	205.188.87.51	80	1	GET	lawrenceville-ga.patch.com	/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	http://1265042.590123.filter.bluelinkmarketing.com/click.php?x=L5wK3j6JjbPgmxfLUsKy4RjmVppJxbA2EQHnVkF8pgl9XT9J4V3ewT3qEUa5Y9y0%2BWOqG%2FkqbyKKGQXcyuobf%2FwYbqsZ82v2OPxgtAzc7cgortQqyC1Ky3ehJ6CqdKLrVd8LJ018fOoB2oBQzrSN336IpWuXLfL7zOUlUOWHqaMD3vWIrbceQxnBv%2FaIjp7BsCBkylmRV6WEu6AazMQe5Rw6cVjRyQYJNkz9dQG4QGfGljGt0lbnT%2BEvB8XEle4ylezIO%2BzcxurH1%2BqL7lqMBr1pDq7yiKzNwFzwaXv%2BWDTRm2u%2FIVqjMk9XmFAjPJCskDmL59uE4j9zfDwCQhS37nRFxzhONm6EiCA8AE7cSwAb2rdQN89GN2VMSq%2B%2F9%2BRl%2FOXy1IJ2ncoJ4KOY92XOq6OAuAywB59XaGMR2eQM7dtMqP0O8yX9qXQaPoHR%2BpVUPUOg96wfZxnPbAwVLWMK0E6uxAcXbbCOpACdA1uQ8zoKyWKuGGzOuvXqDmvo55SXN5JBeiC%2BkK4hXdp9z0Xl%2BTKS48VymR1Iub4AuthW2%2Bc%2BJb87bbsEb6Tr64149KfOPlqle%2FdBoNFDV8STZaWj7g%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	187272	200	OK	-	-	-	(empty)	-	-	-	-	-	FjWDLJ1zREhu0y3NE9	text/html
1323283791.663754	CFQKFo4dUMp5xxqjei	192.168.31.10	1064	24.143.193.59	80	1	GET	assets1.patch-assets.com	/stylesheets/library.print.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3363	200	OK	-	-	-	(empty)	-	-	-	-	-	FQNQ8l2L2HPNDzII13	text/plain
1323283791.768526	CrV8cs4h43fDMV4X6d	192.168.31.10	1065	24.143.193.59	80	1	GET	assets3.patch-assets.com	/stylesheets/styleguide.print.css?1323243411	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2292	200	OK	-	-	-	(empty)	-	-	-	-	-	FU51Yh3CBSDnqgeFu4	text/plain
1323283791.855639	CsZKz11mbk8P7ucBIg	192.168.31.10	1058	24.143.193.59	80	3	GET	assets0.patch-assets.com	/javascripts/modernizr.js?1323243378	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12397	200	OK	-	-	-	(empty)	-	-	-	-	-	FNg4zmOZyEqDghWIb	text/plain
1323283791.977733	CrV8cs4h43fDMV4X6d	192.168.31.10	1065	24.143.193.59	80	2	GET	assets3.patch-assets.com	/images/weather/clear_white.png?1323243175	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1014	200	OK	-	-	-	(empty)	-	-	-	-	-	FsMipVsvIXWK6MkBk	image/png
1323283791.988683	CkCPJc4wG3SkQiYMdc	192.168.31.10	1059	24.143.193.49	80	2	GET	assets1.patch-assets.com	/images/twitter_new.png?1323243175	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	765	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd4wPx4G7OJGZQSlz7	image/png
1323283791.989327	CFQKFo4dUMp5xxqjei	192.168.31.10	1064	24.143.193.59	80	2	GET	assets1.patch-assets.com	/images/global/search_arrow.png?1323243175	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	743	200	OK	-	-	-	(empty)	-	-	-	-	-	FYJ3861S9ov7sRz4Pd	image/png
1323283791.977392	C010c63dHbaoObIK7c	192.168.31.10	1060	24.143.193.59	80	2	GET	assets0.patch-assets.com	/images/weather/rain_large.png?1323243175	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3029	200	OK	-	-	-	(empty)	-	-	-	-	-	FT3yKb1U4I7bd9ivtd	image/png
1323283791.979421	CsZKz11mbk8P7ucBIg	192.168.31.10	1058	24.143.193.59	80	4	GET	assets0.patch-assets.com	/images/icon_weatherbug_98x20.png	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4144	200	OK	-	-	-	(empty)	-	-	-	-	-	FLldkT2F8OrIhjVs35	image/png
1323283792.077408	CkCPJc4wG3SkQiYMdc	192.168.31.10	1059	24.143.193.49	80	3	GET	assets1.patch-assets.com	/images/adminable/pin-minus.png?1323243175	http://lawrenceville-ga.patch.com/?ncid=keywrduspatc00000053&utm_source=bl&utm_medium=cpc&utm_term=1265042_590123&utm_campaign=lawrenceville-ga	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	629	200	OK	-	-	-	(empty)	-	-	-	-	-	FtCgRR3NBmlv81Q92h	image/png
