#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2014-04-03-10-27-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	server_name	session_id	subject	issuer_subject	not_valid_before	not_valid_after	last_alert	client_subject	client_issuer_subject	cert_hash	validation_status
#types	time	string	addr	port	addr	port	string	string	string	string	string	string	time	time	string	string	string	string	string
1378335670.151556	CuHAQy1xdSdRQvJJv2	192.168.128.10	1070	199.59.148.82	443	TLSv10	TLS_RSA_WITH_RC4_128_SHA	-	-	CN=twitter.com,OU=Twitter Security,O=Twitter\, Inc.,street=795 Folsom St\, Suite 600,L=San Francisco,ST=California,postalCode=94107,C=US,serialNumber=4337446,businessCategory=Private Organization,1.3.6.1.4.1.311.60.2.1.2=#130844656C6177617265,1.3.6.1.4.1.	311.60.2.1.3=#13025553CN=VeriSign Class 3 Extended Validation SSL CA,OU=Terms of use at https://www.verisign.com/rpa (c)06,OU=VeriSign Trust Network,O=VeriSign\, Inc.,C=US	1334034000.000000	1399784399.000000	-	-	-	27741b9b80ad6aeccdc45e181a48a140	ok
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-53702	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-53702	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-53702	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-53702	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-45578	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-45578	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-45578	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-63665	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-63665	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-63665	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-63665	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-63665	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-63665	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-28973	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-28973	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-28973	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-28973	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-28973	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-28973	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-28973	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-44594	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-20430	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27149	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27149	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27149	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-61889	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-61889	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-61889	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-12725	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-33221	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-893	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-893	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-893	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-893	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-15169	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-15169	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-15169	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-15169	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-15169	-	-	-	-
1378335742.54212	CurSVN34ZQRcwaHSPh	192.168.128.10	1078	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-15169	-	-	-	-
#close	2014-04-03-10-27-32
