#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-11-46
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357988354.421829	CU5K2LzOG9yyxrqSi	192.168.116.10	1030	50.116.85.79	80	1	GET	owassolandtrust.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	303	See other	-	-	-	(empty)	-	-	-	-	-	-	-
1357988358.604192	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	21	GET	www.owassolandtrust.com	/images/stories/current.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13831	200	OK	-	-	-	(empty)	-	-	-	-	-	FP7yaj3PYSogjQZCV5	image/png
1357988358.636573	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	19	GET	www.owassolandtrust.com	/images/stories/facebook.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	529	200	OK	-	-	-	(empty)	-	-	-	-	-	FczWnvqcXGMfXD9D4	image/png
1357988358.644396	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	22	GET	www.owassolandtrust.com	/templates/jbpure/images/jb.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4893	200	OK	-	-	-	(empty)	-	-	-	-	-	FmF0Gk16fYNW8Atlqa	image/png
1357988358.684184	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	20	GET	www.owassolandtrust.com	/templates/jbpure/images/mainWrapBottom.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	228	200	OK	-	-	-	(empty)	-	-	-	-	-	FHe54O2D7FQ44Gg6rh	image/png
1357988358.688821	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	23	GET	www.owassolandtrust.com	/templates/jbpure/images/verSep.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	209	200	OK	-	-	-	(empty)	-	-	-	-	-	FPeymr2lzRb14BhMDd	image/png
1357988358.712225	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	24	GET	www.owassolandtrust.com	/templates/jbpure/images/bg/avantiSep.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	205	200	OK	-	-	-	(empty)	-	-	-	-	-	FmlzyB3vWlFJTqbGEc	image/png
1357988358.709587	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	21	GET	www.owassolandtrust.com	/templates/jbpure/images/bg/avantiBottom.jpg	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24464	200	OK	-	-	-	(empty)	-	-	-	-	-	FCdpf33R8MkOZHSswj	image/jpeg
1357988358.741656	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	25	GET	www.owassolandtrust.com	/templates/jbpure/images/horSep.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	207	200	OK	-	-	-	(empty)	-	-	-	-	-	F1BHD744MUU3h6pUB1	image/png
1357988359.524223	CAWiGN39RTZ5LLDXZj	192.168.116.10	1042	74.125.131.95	80	1	GET	fonts.googleapis.com	/css?family=EB+Garamond|Droid+Sans	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1072	200	OK	-	-	-	(empty)	-	-	-	-	-	FcGry83DucPODzNNvg	text/plain
1357988359.572166	C0Wepf1FPqmDzxw9Gf	192.168.116.10	1040	216.246.23.140	8787	1	GET	nrudgxhwa.freewww.biz	/tag/log/ovEnAHP	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10770	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx3QMaEeG8lJ2KPR6	application/jar
1357988359.572408	C8MpYD2aVbSbO0L72k	192.168.116.10	1041	216.246.23.140	8787	1	GET	nrudgxhwa.freewww.biz	/tag/log/SnizPDIf	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	33199	200	OK	-	-	-	(empty)	-	-	-	-	-	FQUHSS3tiz2f4FIEM7	application/zip
1357988359.695166	CHBrWg11HNARRload5	192.168.116.10	1043	74.125.140.132	80	1	GET	themes.googleusercontent.com	/static/fonts/droidsans/v3/s-BiyweUPV0v-yRb-cjciFQlYEbsez9cZjKsNMjLOwM.eot	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23001	200	OK	-	-	-	(empty)	-	-	-	-	-	FiPfAUOfKKkMImTE7	application/vnd.ms-fontobject
1357988359.699221	CFInuF2bT6FwmR9yRa	192.168.116.10	1044	74.125.140.132	80	1	GET	themes.googleusercontent.com	/static/fonts/ebgaramond/v4/kYZt1bJ8UsGAPRGnkXPeFWfQcKutQXcIrRfyR5jdjY8.eot	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21812	200	OK	-	-	-	(empty)	-	-	-	-	-	FS06dGufkQpFYNRzl	application/vnd.ms-fontobject
1357988360.076603	C0Wepf1FPqmDzxw9Gf	192.168.116.10	1040	216.246.23.140	8787	2	GET	nrudgxhwa.freewww.biz	/tag/log/ovEnAHP	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10770	200	OK	-	-	-	(empty)	-	-	-	-	-	F2g4Vu3jQBAiCQ04f	application/jar
1357988360.079516	C8MpYD2aVbSbO0L72k	192.168.116.10	1041	216.246.23.140	8787	2	GET	nrudgxhwa.freewww.biz	/tag/log/SnizPDIf	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	33199	200	OK	-	-	-	(empty)	-	-	-	-	-	FBdZz72UZOzltWsqKb	application/zip
1357988360.256514	C8MpYD2aVbSbO0L72k	192.168.116.10	1041	216.246.23.140	8787	3	GET	nrudgxhwa.freewww.biz	/tag/log/ovEnAHP	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10770	200	OK	-	-	-	(empty)	-	-	-	-	-	FZgKeD2IWWc0EKSaGc	application/jar
1357988360.274109	C0Wepf1FPqmDzxw9Gf	192.168.116.10	1040	216.246.23.140	8787	3	GET	nrudgxhwa.freewww.biz	/tag/log/SnizPDIf	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	33199	200	OK	-	-	-	(empty)	-	-	-	-	-	FA9S6Y3DPuAvbMLVHb	application/zip
1357988360.531893	C8MpYD2aVbSbO0L72k	192.168.116.10	1041	216.246.23.140	8787	4	GET	nrudgxhwa.freewww.biz	/tag/log/ovEnAHP	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10770	200	OK	-	-	-	(empty)	-	-	-	-	-	FcGQZw2q0c1aExiVe5	application/jar
1357988360.52786	C0Wepf1FPqmDzxw9Gf	192.168.116.10	1040	216.246.23.140	8787	4	GET	nrudgxhwa.freewww.biz	/tag/log/SnizPDIf	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	33199	200	OK	-	-	-	(empty)	-	-	-	-	-	FTF7pI3TUV8TxH1IMi	application/zip
1357988360.867418	C2MLHS3PPxgSHNvcFe	192.168.116.10	1045	216.246.23.140	8787	1	GET	test.giftcardafrica.com	/faculty.php?mapa=320&book=7&extra=295&teen=1121&my1up=441&skin=734&lang=131&data=274&other=586&links=92	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	183944	200	OK	-	-	-	(empty)	-	-	-	-	-	F4Y9auVZ6EnXzjnUh	binary
1357988364.681118	C6UuL8lAemF01wSO2	192.168.116.10	1046	77.222.57.213	80	1	POST	niiefa.ru	/tmp/r.php	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	268	20	200	OK	-	-	-	(empty)	-	-	-	F5NUN028QF2j8yn2T8	binary	FvFXcx1rJHA226Mz5d	binary
1357988365.400278	CdZaRA2bt6QvR4L40l	192.168.116.10	1047	77.222.57.213	80	1	GET	niiefa.ru	/tmp/smt.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	193024	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff1HA72GuCVWY8TcPj	application/x-dosexec
1357988367.067428	CPg06E1U9anMqmTkIe	192.168.116.10	1048	93.191.240.171	80	1	GET	sentierifrassati.org	/tmp/smt.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	193024	200	OK	-	-	-	(empty)	-	-	-	-	-	FmtIU421ECJWenOhS5	application/x-dosexec
1357988368.498337	CpTJT6q6VPxscLJUa	192.168.116.10	1049	77.222.57.213	80	1	GET	niiefa.ru	/tmp/v9b5713.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	64000	200	OK	-	-	-	(empty)	-	-	-	-	-	FuuCqSEs9SEe9bUW6	application/x-dosexec
1357988369.638824	C9XdOQ3YJZjkvfwg3l	192.168.116.10	1050	93.191.240.171	80	1	GET	sentierifrassati.org	/tmp/v9b5713.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	64000	200	OK	-	-	-	(empty)	-	-	-	-	-	FTwrrh3lL0h8DNJ6Lb	application/x-dosexec
1357988370.549532	CYxucC1Mh9CWep31S2	192.168.116.10	1051	77.222.57.213	80	1	GET	niiefa.ru	/tmp/firsale.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	FCDX021RULw1xpoBY	application/x-dosexec
1357988372.091454	Cy4sZy2pECnXs1PlH1	192.168.116.10	1052	93.191.240.171	80	1	GET	sentierifrassati.org	/tmp/firsale.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	Foq7WZ2JbI0AkLQail	application/x-dosexec
1357988382.150151	C3tQMX20ebEUxvK0h	192.168.116.10	1059	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	FNI1qY200RQ9HmznMe	text/plain
