#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-32-22
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327521692.899913	CMGXI03TcT9DlRG6q5	192.168.124.10	1031	69.89.31.228	80	1	GET	chavurahabq.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1327521695.265782	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	2	GET	www.chavurahabq.org	/wp-content/themes/overeasy/images/arr-left.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	861	200	OK	-	-	-	(empty)	-	-	-	-	-	FWoQPA3bQ2qo6Q1xW	image/gif
1327521695.564729	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	3	GET	www.chavurahabq.org	/wp-content/themes/overeasy/images/arr-right.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	856	200	OK	-	-	-	(empty)	-	-	-	-	-	FgMUGd1WRuVJrRGYe7	image/gif
1327521695.698385	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	4	GET	www.chavurahabq.org	/wp-content/themes/overeasy/images/triple-washed-media-logo.png	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1257	200	OK	-	-	-	(empty)	-	-	-	-	-	FMiJ552Nw8uWmXzykk	image/png
1327521695.564142	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	11	GET	www.chavurahabq.org	/wp-content/themes/overeasy/thumb.php?src=wp-content/uploads/2010/09/maps3.png&w=390&h=250&zc=1&q=100	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	112138	200	OK	-	-	-	(empty)	-	-	-	-	-	FtqCAF48Hwzw2Vam8f	image/png
1327521695.909393	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	5	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/bgr.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	547	200	OK	-	-	-	(empty)	-	-	-	-	-	FtjMRx3cV9dUZ6es5	image/gif
1327521695.98932	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	12	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/box5-bgr.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	71	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Ih9P1zFuJoal5vI9	image/gif
1327521696.021493	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	6	GET	www.chavurahabq.org	/wp-content/themes/overeasy/images/ico-next.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	131	200	OK	-	-	-	(empty)	-	-	-	-	-	FWW5iUHoOdLAie2df	image/gif
1327521696.021861	CB921i1BEtiIkfkAga	192.168.124.10	1040	188.72.201.34	80	1	GET	blood.cu.cc	/in.cgi?2	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	254	302	Found	-	-	-	(empty)	-	-	-	-	-	FGiyvq3SJj4hHAovhd	text/html
1327521696.082124	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	13	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/btn-rounded.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	829	200	OK	-	-	-	(empty)	-	-	-	-	-	FvORMc18xNEUP3SCy8	image/gif
1327521696.102056	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	7	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/box4-top.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	229	200	OK	-	-	-	(empty)	-	-	-	-	-	FWd2Cp2DyL1bcdk0Ub	image/gif
1327521696.164186	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	14	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/box4-bot.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	228	200	OK	-	-	-	(empty)	-	-	-	-	-	FbgJpU3Rq8OwIwiUEk	image/gif
1327521696.184213	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	8	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/box5-top.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	278	200	OK	-	-	-	(empty)	-	-	-	-	-	FIDwjp3jrgdh7foMZg	image/gif
1327521696.245716	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	15	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/box5-bot.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	279	200	OK	-	-	-	(empty)	-	-	-	-	-	FMIpyb38JN4jLEP6a8	image/gif
1327521696.264568	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	9	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/box6-top.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	195	200	OK	-	-	-	(empty)	-	-	-	-	-	F0PhOq3v4D76HGBXEd	image/gif
1327521696.326601	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	16	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue/box6-bot.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	224	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq13dH23TbwrlSNpd7	image/gif
1327521696.2798	CcUknd3ZqxSBTs6MJ1	192.168.124.10	1041	31.184.192.57	80	1	GET	trollface.jabascript.org	/2move.php?page=a9ccac5d44bee35f	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80084	200	OK	-	-	-	(empty)	-	-	-	-	-	FCIscl2HVzbQZ2Rde	text/html
1327521720.96647	CcUknd3ZqxSBTs6MJ1	192.168.124.10	1041	31.184.192.57	80	2	GET	trollface.jabascript.org	/w.php?f=79&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	335360	200	OK	-	-	-	(empty)	-	-	-	-	-	FnaFtz3gmqPndxVNH3	application/x-dosexec
1327521723.298807	CcUknd3ZqxSBTs6MJ1	192.168.124.10	1041	31.184.192.57	80	3	GET	trollface.jabascript.org	/content/fdp2.php?f=79	http://trollface.jabascript.org/2move.php?page=a9ccac5d44bee35f	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13228	200	OK	-	-	-	(empty)	-	-	-	-	-	FlylYAjLQvNUkxTs6	application/pdf
1327521734.897411	C7fgQk4PFC2xuQMeZi	192.168.124.10	1044	31.184.192.57	80	1	GET	trollface.jabascript.org	/content/field.swf	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1481	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp16O24g4XlqSAPXP	application/x-shockwave-flash
1327521734.9336	C4HUQ5HP4daMRT3mg	192.168.124.10	1045	31.184.192.57	80	1	GET	trollface.jabascript.org	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4425	200	OK	-	-	-	(empty)	-	-	-	-	-	FKRQZO3JLjuFhGegM4	application/zip
1327521733.759728	CcUknd3ZqxSBTs6MJ1	192.168.124.10	1041	31.184.192.57	80	4	GET	trollface.jabascript.org	/w.php?f=79&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	335360	200	OK	-	-	-	(empty)	-	-	-	-	-	FP8uXG9zC3zM7PIU7	application/x-dosexec
1327521738.487402	CeIGrS1yHgIb5s5DOe	192.168.124.10	1046	31.184.192.57	80	1	GET	trollface.jabascript.org	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTmKB210SEEeH4eWac	text/html
1327521738.623796	CeIGrS1yHgIb5s5DOe	192.168.124.10	1046	31.184.192.57	80	2	GET	trollface.jabascript.org	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fore2U25Qls5y0lu4a	text/html
1327521738.760109	CeIGrS1yHgIb5s5DOe	192.168.124.10	1046	31.184.192.57	80	3	GET	trollface.jabascript.org	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FDqUPL3lWyjSyDf4Ek	text/html
1327521738.900058	CeIGrS1yHgIb5s5DOe	192.168.124.10	1046	31.184.192.57	80	4	GET	trollface.jabascript.org	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FRFWli4jCub11iNQ8j	text/html
1327521739.162406	CeIGrS1yHgIb5s5DOe	192.168.124.10	1046	31.184.192.57	80	5	GET	trollface.jabascript.org	/w.php?f=79&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	335360	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ1XpCjxC1NPW0cq6	application/x-dosexec
#close	2014-04-03-10-32-22
