#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-32-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338690292.94166	CMZpUGBKcefrIE5i3	192.168.63.10	1030	50.63.72.1	80	1	GET	alwayssafeandhealthy.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1338690294.710129	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	3	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/swz721c_0-webfont.eot?	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34062	200	OK	-	-	-	(empty)	-	-	-	-	-	FobfND3OdouLEjwYri	application/vnd.ms-fontobject
1338690294.777038	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	8	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/swz721bc_0-webfont.eot?	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33926	200	OK	-	-	-	(empty)	-	-	-	-	-	FPOAI2jyPov3hEA8k	application/vnd.ms-fontobject
1338690294.810697	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	4	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/Scripts/AC_RunActiveContent.js	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3233	200	OK	-	-	-	(empty)	-	-	-	-	-	FXDxjH3aEw3WsPyjb7	text/plain
1338690294.912087	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	9	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/logo.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31070	200	OK	-	-	-	(empty)	-	-	-	-	-	F3f9RR3G9Hsq6PL681	image/png
1338690294.912745	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	5	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/cont.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	86826	200	OK	-	-	-	(empty)	-	-	-	-	-	FBUJSk3mBA8JoiHtge	image/png
1338690295.05031	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	10	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/side_banner_.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10581	200	OK	-	-	-	(empty)	-	-	-	-	-	FizrXTDswjMfG50Qk	image/png
1338690295.074553	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	6	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/start_traning.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6793	200	OK	-	-	-	(empty)	-	-	-	-	-	Frik4aduscnBcpGNd	image/png
1338690295.119426	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	7	GET	www.alwayssafeandhealthy.com	/images/home2.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12777	200	OK	-	-	-	(empty)	-	-	-	-	-	FqkGP6z9sBb4k6Rif	image/jpeg
1338690295.104319	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	11	GET	www.alwayssafeandhealthy.com	/images/home1.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12531	200	OK	-	-	-	(empty)	-	-	-	-	-	FIRXCvIJPIsA9oCVi	image/jpeg
1338690295.196202	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	8	GET	www.alwayssafeandhealthy.com	/images/home3.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12737	200	OK	-	-	-	(empty)	-	-	-	-	-	FSLBYC1AwPEkjhVkN6	image/jpeg
1338690295.196751	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	12	GET	www.alwayssafeandhealthy.com	/images/discount.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33009	200	OK	-	-	-	(empty)	-	-	-	-	-	FuAAh8qnlFHrWdWF4	image/jpeg
1338690295.267187	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	13	GET	www.alwayssafeandhealthy.com	/images/home4.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14945	200	OK	-	-	-	(empty)	-	-	-	-	-	FIpBCc1d7nuFUYLYgl	image/jpeg
1338690295.454903	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	14	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/bg.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1988	200	OK	-	-	-	(empty)	-	-	-	-	-	FBTU594KgtJHU76UVe	image/png
1338690295.547892	CnQXBt18eZ1g8vxxIk	192.168.63.10	1035	63.235.28.176	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1759	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa8mhq2BibhGqLVcff	text/html
1338690295.544139	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	15	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/divder.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1028	200	OK	-	-	-	(empty)	-	-	-	-	-	F5L0TP1lSpAKTA13j9	image/png
1338690295.580885	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	16	GET	www.alwayssafeandhealthy.com	/images/authorize.net.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23820	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk6fyt19fiJzeFOI0b	image/jpeg
1338690295.26035	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	9	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/header.swf	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	430225	200	OK	-	-	-	(empty)	-	-	-	-	-	FTc0k63lkTuZBDNns8	application/x-shockwave-flash
1338690295.628367	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	17	GET	www.alwayssafeandhealthy.com	/images/american_heart.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21506	200	OK	-	-	-	(empty)	-	-	-	-	-	F8Nev13hT5fais8sC3	image/jpeg
1338690295.861025	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	10	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/facebook.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2757	200	OK	-	-	-	(empty)	-	-	-	-	-	FJsqws2cBUGjzxOfv9	image/png
1338690295.866474	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	18	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/twitter.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3017	200	OK	-	-	-	(empty)	-	-	-	-	-	FFvbaP1mW7o2Q24kXf	image/png
1338690295.899674	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	11	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/in.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2862	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd5H5r3u3dsdJekqB7	image/png
1338690296.052172	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	19	GET	www.alwayssafeandhealthy.com	/wp-includes/js/jquery/ui.core.js?ver=1.8.12	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4326	200	OK	-	-	-	(empty)	-	-	-	-	-	FWbFTY1oMBSMoSI5rh	text/plain
1338690296.172712	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	20	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/right_corner.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2428	200	OK	-	-	-	(empty)	-	-	-	-	-	FlNe6j4GMSIQV3YNUg	image/jpeg
1338690296.362637	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	21	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/icon_note.jpg	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2709	200	OK	-	-	-	(empty)	-	-	-	-	-	FXW2Dw2MgZbv8XEINa	image/jpeg
1338690296.052547	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	12	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/sidebartop.gif	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11891	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FDjDruSkajguLeJtf	text/html
1338690296.518636	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	22	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/images/icon_cal.png	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6037	200	OK	-	-	-	(empty)	-	-	-	-	-	FTJnWs1zRCP5VcqbCi	image/png
1338690297.496929	CSdwE4K0WwdJxn6fe	192.168.63.10	1040	50.28.53.156	80	1	GET	www.daysofyorr.com	/release.js	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3251	200	OK	-	-	-	(empty)	-	-	-	-	-	FY0a032XQiLuiLjozi	text/plain
1338690297.615709	CSdwE4K0WwdJxn6fe	192.168.63.10	1040	50.28.53.156	80	2	GET	www.daysofyorr.com	/release.js	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3251	200	OK	-	-	-	(empty)	-	-	-	-	-	FthPa2yIyInD3qp3	text/plain
1338690297.776299	CaIBJU1a8kqdpJsRb9	192.168.63.10	1041	89.149.226.216	80	1	GET	89.149.226.216	/54213658.html	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	382	200	OK	-	-	-	(empty)	-	-	-	-	-	FxryQ34TXIjslAqoe1	text/html
1338690299.715121	Ctup133Mppg7iJ51E	192.168.63.10	1042	89.149.226.216	80	1	GET	89.149.226.216	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	44433	200	OK	-	-	-	(empty)	-	-	-	-	-	FBX1GM2hlsLY9XvYI3	application/zip
1338690300.648195	Ctup133Mppg7iJ51E	192.168.63.10	1042	89.149.226.216	80	2	GET	89.149.226.216	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	44433	200	OK	-	-	-	(empty)	-	-	-	-	-	Fumncw31oAQTmfHDI2	application/zip
1338690301.151658	Ctup133Mppg7iJ51E	192.168.63.10	1042	89.149.226.216	80	3	GET	89.149.226.216	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	44433	200	OK	-	-	-	(empty)	-	-	-	-	-	Fl9XnZ1D08GqVVJai8	application/zip
1338690301.628488	Ctup133Mppg7iJ51E	192.168.63.10	1042	89.149.226.216	80	4	GET	89.149.226.216	/1.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	52059	200	OK	-	-	-	(empty)	-	-	-	-	-	FSqxHdVUIkebBvnD4	application/x-dosexec
1338690310.53851	CZr6qI3ub7ea1cSat5	192.168.63.10	1043	74.125.127.106	80	1	GET	www.google.com	/robots.txt	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6747	200	OK	-	-	-	(empty)	-	-	-	-	-	FhNNs91OVEcuThqi3f	text/plain
#close	2014-04-03-10-32-50
