#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-24-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1365914044.245842	C5A3aY3qSTawZO3kKh	192.168.73.10	1030	78.136.44.249	80	1	GET	zmtraffic.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	167	302	Found	-	-	-	(empty)	-	-	-	-	-	FPG35u3zJvS0wucrkh	text/html
1365914049.817634	C0S8VF1Ry761ItEpg3	192.168.73.10	1032	74.125.130.157	80	3	GET	stats.g.doubleclick.net	/dc.js	http://www.mobilejmp.com/geo/preset/3830/2?uc=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39075	200	OK	-	-	-	(empty)	-	-	-	-	-	FipQ0F3xkkijzKdhOe	text/plain
1365914049.817943	CNthWV0YVlWiIWKge	192.168.73.10	1033	174.37.233.215	80	2	GET	aff.adjmps.com	/conversion/visit?xx=d3-a733&zz=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	http://www.mobilejmp.com/geo/preset/3830/2?uc=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	F4Lxgl4dhMlGDmSIB9	image/gif
1365914050.13887	CTe1eY1QxmD5HVobRl	192.168.73.10	1040	178.63.45.183	80	1	GET	pageerror-download.com	/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4274	200	OK	-	-	-	(empty)	-	-	-	-	-	FawD8dmXw2cCohhb5	text/html
1365914050.255994	CTe1eY1QxmD5HVobRl	192.168.73.10	1040	178.63.45.183	80	2	GET	pageerror-download.com	/styles/browser.css	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6002	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg5jVi2vv0liNddO9d	text/plain
1365914050.376322	CTe1eY1QxmD5HVobRl	192.168.73.10	1040	178.63.45.183	80	3	GET	pageerror-download.com	/js/error.js	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2223	200	OK	-	-	-	(empty)	-	-	-	-	-	FFVttg4kINMXCqkWXf	text/plain
1365914050.535366	Cg1Tsg42YGt0SqFYNa	192.168.73.10	1042	74.125.137.102	80	1	GET	www.google-analytics.com	/ga.js	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39469	200	OK	-	-	-	(empty)	-	-	-	-	-	FyIzhF1M0JOCmUqzB5	text/plain
1365914050.597598	Cg1Tsg42YGt0SqFYNa	192.168.73.10	1042	74.125.137.102	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.1&utms=1&utmn=1131526851&utmhn=pageerror-download.com&utmcs=utf-8&utmsr=800x600&utmvp=780x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Error: Plugin missing&utmhid=184385783&utmr=-&utmp=/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2&utmht=1365928332109&utmac=UA-36620930-1&utmcc=__utma=142247987.915355173.1365928332.1365928332.1365928332.1;+__utmz=142247987.1365928332.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FpioIR2NwwohyRZmsj	image/gif
1365914050.505347	CTe1eY1QxmD5HVobRl	192.168.73.10	1040	178.63.45.183	80	4	GET	pageerror-download.com	/images/chrome1_error.png	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1180	200	OK	-	-	-	(empty)	-	-	-	-	-	FIN47d1AlF4HtfqDs2	image/png
1365914050.643415	CTe1eY1QxmD5HVobRl	192.168.73.10	1040	178.63.45.183	80	5	GET	pageerror-download.com	/error4ga.html?utm_source=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	726	200	OK	-	-	-	(empty)	-	-	-	-	-	FeATRG2Pck0KQQT69a	text/html
1365914050.651867	Clfcuj49N1vbDXCENl	192.168.73.10	1041	178.63.45.183	80	1	GET	pageerror-download.com	/images/attention.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5153	200	OK	-	-	-	(empty)	-	-	-	-	-	FLPJAK1IzM4x7nWvHf	image/jpeg
1365914050.818048	Cg1Tsg42YGt0SqFYNa	192.168.73.10	1042	74.125.137.102	80	3	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.1&utms=1&utmn=1526995396&utmhn=pageerror-download.com&utmcs=utf-8&utmsr=800x600&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=error4ga&utmhid=1167979987&utmr=0&utmp=/error4ga.html?utm_source=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296&utmht=1365928332328&utmac=UA-36620930-1&utmcc=__utma=142247987.915355173.1365928332.1365928332.1365928332.2;+__utmz=142247987.1365928332.2.2.utmcsr=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2|utmccn=2555296|utmcmd=(not%20set);&utmu=q~	http://pageerror-download.com/error4ga.html?utm_source=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FUZVEbw1nRuxeiT6f	image/gif
1365914050.756667	CTe1eY1QxmD5HVobRl	192.168.73.10	1040	178.63.45.183	80	6	GET	pageerror-download.com	/images/green.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1434	200	OK	-	-	-	(empty)	-	-	-	-	-	FpBteY2ojIGtwvuFDc	image/jpeg
1365914050.77568	Clfcuj49N1vbDXCENl	192.168.73.10	1041	178.63.45.183	80	2	GET	pageerror-download.com	/images/red.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1434	200	OK	-	-	-	(empty)	-	-	-	-	-	FHB5Bh4x2SYbuiR5Ha	image/jpeg
1365914050.895751	CTe1eY1QxmD5HVobRl	192.168.73.10	1040	178.63.45.183	80	7	GET	pageerror-download.com	/images/tl.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	F7FxQS3H6acLpSyP1b	image/gif
1365914050.896046	Clfcuj49N1vbDXCENl	192.168.73.10	1041	178.63.45.183	80	3	GET	pageerror-download.com	/images/tr.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1163	200	OK	-	-	-	(empty)	-	-	-	-	-	FFn9FH3tdguxK0ION8	image/gif
1365914051.01282	CmiS3V1m7niyOZGIP1	192.168.73.10	1043	178.63.45.183	80	1	GET	pageerror-download.com	/images/tr.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1163	200	OK	-	-	-	(empty)	-	-	-	-	-	FXAQ3bbEniuuAuIAe	image/gif
1365914051.017204	C3bopFOofJSIboPc	192.168.73.10	1044	178.63.45.183	80	1	GET	pageerror-download.com	/images/bl.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1162	200	OK	-	-	-	(empty)	-	-	-	-	-	FXi4OEeBUNbLDRrCc	image/gif
1365914051.126638	CmiS3V1m7niyOZGIP1	192.168.73.10	1043	178.63.45.183	80	2	GET	pageerror-download.com	/images/bg.png	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1108	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz8dKvVSeNBFmJ94g	image/png
1365914051.134092	C3bopFOofJSIboPc	192.168.73.10	1044	178.63.45.183	80	2	GET	pageerror-download.com	/images/download.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10404	200	OK	-	-	-	(empty)	-	-	-	-	-	FxIs8anI6b8zDQAb9	image/jpeg
1365914051.281151	CmiS3V1m7niyOZGIP1	192.168.73.10	1043	178.63.45.183	80	3	GET	pageerror-download.com	/images/tl.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	FpSYT54N6msyndzIoi	image/gif
1365914051.369623	C3bopFOofJSIboPc	192.168.73.10	1044	178.63.45.183	80	3	GET	pageerror-download.com	/images/br.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	FIEM7P1rFjQECKvsUe	image/gif
1365914052.914787	Cg1Tsg42YGt0SqFYNa	192.168.73.10	1042	74.125.137.102	80	4	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.1&utms=2&utmn=1594573717&utmhn=pageerror-download.com&utmt=event&utme=5(download*auto*ie)&utmcs=utf-8&utmsr=800x600&utmvp=780x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Error: Plugin missing&utmhid=184385783&utmr=-&utmp=/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2&utmht=1365928334453&utmac=UA-36620930-1&utmcc=__utma=142247987.915355173.1365928332.1365928332.1365928332.2;+__utmz=142247987.1365928332.2.2.utmcsr=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2|utmccn=2555296|utmcmd=(not%20set);&utmu=6~	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FYALc542MBXePQSLb	image/gif
1365914053.197052	CzhrOl2yHYOipCaAjl	192.168.73.10	1045	5.9.68.144	80	1	GET	offers.avazuscd.net	/tracking/redirect/redirect.php?kw=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2&id=2555296&vurl=&czid=YXZhenUyNTU1Mjk2MQ==	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	245	200	OK	-	-	-	(empty)	-	-	-	-	-	FjsueS1KWrXbJmfu1	text/html
1365914053.422765	C2LYol4dS358NmNela	192.168.73.10	1046	54.239.142.203	80	1	GET	d1ljy82xpaaux9.cloudfront.net	/n/50aa6885-2418-4487-a8d6-031d5bc06f2f/FlvMPlayer.exe	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1365914053.579881	CClCh02bw2XYZ9Yjs1	192.168.73.10	1047	107.14.43.243	80	1	GET	dl01.socdn.com	/n/3.0.0.2/5130548/FlvMPlayer.exe	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404132132_ea9b19_f9f_226_516a314c_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	82993	200	OK	-	-	-	(empty)	-	-	-	-	-	FTsSH04ctMahYtfRU2	application/x-dosexec
#close	2014-04-03-10-24-01
