#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-34-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1320000001.59589	CWsOxy2x3VCFGHGAf4	192.168.45.10	1029	95.168.165.225	80	1	GET	fortresstube.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	247	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FyzoFH2dwbvXYrXZl8	text/html
1320000009.123863	Cy6qVkjzB6jnJ6ski	192.168.45.10	1048	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FaVrKn3vQ0sOhkGlxe	application/x-java-applet
1320000009.124668	CNY1U03m9h5vo2pUx8	192.168.45.10	1046	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FXQ8Bd38aQPDrpLlta	application/x-java-applet
1320000009.165563	Clj3Uh4fdIceF6agD3	192.168.45.10	1053	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FFf57B25jhWCl1CoL1	application/x-java-applet
1320000009.169852	C4gUYnq4f21jv082i	192.168.45.10	1050	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18555	200	OK	-	-	-	(empty)	-	-	-	-	-	FfhIGK2yuXqLs8drzb	application/jar
1320000020.946274	Cztqnl4VkUec91MtZa	192.168.45.10	1057	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	FeMH1t3HSHMzMWgk2a	application/jar
1320000021.019057	CLQvIi1akTua1qJ5Db	192.168.45.10	1059	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	Fakno31yStzf70H579	application/x-java-applet
1320000021.026632	COaQPy3ObHWwKDqUs	192.168.45.10	1061	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ54n2XeplZ2gaekf	application/x-java-applet
1320000021.028085	CVoo7b1qfCrwkyH4ul	192.168.45.10	1060	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FZMDVp3FSS2Od4OGBc	application/x-java-applet
1320000021.028772	CsPsbv3QZ46FhnuCka	192.168.45.10	1062	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm4PcZnbZmSgFR9f5	application/x-java-applet
1320000020.945011	CMWYJB3hzL8FeD8ib	192.168.45.10	1058	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18555	200	OK	-	-	-	(empty)	-	-	-	-	-	FM7IpX1Uwfleg4V4Ti	application/jar
1320000021.11744	CYosan3nBuGnaDMRUa	192.168.45.10	1064	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FTVieE2bzw60Ql7Agi	application/x-java-applet
1320000021.10716	CVmDC71H2hroG0XJJl	192.168.45.10	1063	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FBFFiVJGfkxvipWj	application/x-java-applet
1320000021.332298	C9PUZ31L4S1zEW1b6g	192.168.45.10	1065	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	FIBZrzScU1l2Ewvq3	application/jar
1320000021.583907	C09Lrh2K7wPQYm6Odg	192.168.45.10	1067	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18555	200	OK	-	-	-	(empty)	-	-	-	-	-	FgWzo72aT0MKgEWHLj	application/jar
1320000021.394961	CFOq1F45gf60lY1FW4	192.168.45.10	1066	109.236.85.57	80	1	GET	109.236.85.57	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	493568	200	OK	-	-	-	(empty)	-	-	-	-	-	FNqa1Zhtrt1DrY5M9	application/x-dosexec
1320000022.080005	Cf2ZPz4YVDDtsV8Xo5	192.168.45.10	1068	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	493568	200	OK	-	-	-	(empty)	-	-	-	-	-	FJaOF039qqYq8m6x2g	application/x-dosexec
1320000031.928112	CqzJFg2s16r0L0KoDg	192.168.45.10	1069	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	518	200	OK	-	-	-	(empty)	-	-	-	-	-	FUcvXo3RfSuYSixunb	binary
1320000056.309404	CNw5zp2vgtIvlIYwT5	192.168.45.10	1070	31.44.184.55	80	1	GET	westwaytbal.com	/404.php?type=stats&affid=440&subid=02&awok	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1320000057.23657	CYPrR15yS3dNEbEl9	192.168.45.10	1071	31.44.184.58	80	1	GET	jockeyraynham.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F7Lrmv3Di7RxUCwyva	text/html
1320000057.648809	CNpsBL9xUu1Oss7wk	192.168.45.10	1072	193.105.154.34	80	1	GET	start-258527.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FiSQ17Ohm5MgPh7u	text/html
#close	2014-04-03-10-34-30
