#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-14-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323347722.861567	Cgs39s4EJ4YjDCTVp3	192.168.88.10	1030	109.236.82.78	80	1	GET	tempdom3-1.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FrQQiW2T8OxGcanzie	text/html
1323347743.099697	CBvXZLR75oUr2gjp2	192.168.88.10	1053	184.107.227.70	80	1	GET	porn-finder.de.ms	/movies/pod.exe	-	Mozilla/4.0	0	23040	200	OK	-	-	-	(empty)	-	-	-	-	-	FCy4Pj117faBPxROUd	application/x-dosexec
1323347743.204985	COyT0eamHIz7HfPY6	192.168.88.10	1054	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0&file=1&run=ok	-	Mozilla/4.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323347742.742972	Cyyxnq48rsZJ6K0Z9h	192.168.88.10	1051	64.202.163.8	80	1	GET	getmilfs.com	/logo/go.php?id=152	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FSzdVK2WwpZqYdTIya	text/plain
1323347744.02411	CqLtOZ25ZQuVB9f4Sc	192.168.88.10	1057	184.107.227.66	80	1	GET	friendslinks.com	/00/cmd.php?id=ALAN-1FD4B27F5D_78144B1E&uid=1&os=WinXPsp2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323347744.601339	C7vSOr2m6KlMnizrBi	192.168.88.10	1058	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0&file=2	-	Mozilla/4.0	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1323347744.730773	Cf9t7G30NGjyWOinRl	192.168.88.10	1059	184.107.227.70	80	1	GET	porn-finder.de.ms	/movies/ic.exe	-	Mozilla/4.0	0	255488	200	OK	-	-	-	(empty)	-	-	-	-	-	FWUJp52HXILMGncwNh	application/x-dosexec
1323347745.205776	C06jln4w5wcnAmCYMk	192.168.88.10	1060	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0&file=2&run=ok	-	Mozilla/4.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323347746.370823	CLky9948Tu04y7NBdi	192.168.88.10	1061	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0&final=ok	-	Mozilla/4.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323347748.524511	CCGH1B3dNi2LfFpCad	192.168.88.10	1062	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0&file=r	-	Mozilla/4.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323347743.884021	Chl34T1fO3ZGMZJ3sf	192.168.88.10	1056	72.167.207.74	80	1	GET	oneathleticmom.com	/images/b.php?id=152	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-11-14-30
