#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1325210742.026268	CLvB3e21smF44lrKMd	192.168.72.10	1029	67.205.6.89	80	1	GET	eversoncomputers.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	238	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F1Yu2d2zjfFzs3xZX9	text/html
1325210743.454949	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	10	GET	www.computerdoctors.me	/images/a_specials.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2704	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx4XJw35PRBLxDRl0a	image/gif
1325210743.823816	C8NEbm1cZHZedE4Drh	192.168.72.10	1039	199.59.148.20	80	1	GET	api.twitter.com	/1/trends/daily.json?callback=jQuery16207307784070572494_1325225023296&_=1325225024468	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43551	200	OK	-	-	-	(empty)	-	-	-	-	-	FEePWaf3cYHE54yR1	text/plain
1325210744.957233	C8NEbm1cZHZedE4Drh	192.168.72.10	1039	199.59.148.20	80	2	GET	api.twitter.com	/1/trends/daily.json?callback=jQuery16207307784070572494_1325225023297&date=2011-12-28&_=1325225025671	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42715	200	OK	-	-	-	(empty)	-	-	-	-	-	FNtRAi2a6XAnoKZiEc	text/plain
1325210745.68336	CPY21c1U89AOijHwP8	192.168.72.10	1040	145.100.126.74	80	1	GET	stvdoweicoop.com	/index.php?tp=001e4bb7b4d7333d	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85336	200	OK	-	-	-	(empty)	-	-	-	-	-	FDnkhV3yFFRcmwECmj	text/html
1325210764.729725	CszDqz28QVZhLsC1Je	192.168.72.10	1044	145.100.126.74	80	1	GET	stvdoweicoop.com	/w.php?f=26&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81920	200	OK	-	-	-	(empty)	-	-	-	-	-	FBSefC3OBJKNnhbQLi	application/x-dosexec
1325210773.77031	CuZZ0624b1XnvCrKk7	192.168.72.10	1046	145.100.126.74	80	1	GET	stvdoweicoop.com	/content/field.swf	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	529	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FJPjJ5eAvrHcbfjni	text/html
1325210774.635414	Cto3Pv38pRuFFcxb4d	192.168.72.10	1047	149.172.136.4	80	1	GET	stvdoweicoop.com	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3654	200	OK	-	-	-	(empty)	-	-	-	-	-	FJL79Bn7vYs66eKKh	application/zip
1325210775.579248	C0WkGkdyKtIBWOXSk	192.168.72.10	1049	128.204.195.85	80	1	POST	tqweytgbf32g.com	/search?fr=altavista&itag=ody&q=iLJO3SJBM9eQgdeQhaO,d5fa8ff57ad763fe&kgs=1&kls=0	-	-	444	524288	200	OK	-	-	-	(empty)	-	-	-	FNKKvu1ISnWN3KrJLl	text/plain	FiLxtJ1aWc7xyJfFV7	binary
1325210770.86142	CHoH3Cg6BvfvfQMkl	192.168.72.10	1045	145.100.126.74	80	1	GET	stvdoweicoop.com	/content/2ddfp.php?f=26	http://stvdoweicoop.com/index.php?tp=001e4bb7b4d7333d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	114117	200	OK	-	-	-	(empty)	-	-	-	-	-	FaMTx9412ttUc3Pfyb	application/pdf
1325210777.640539	CTOGGd2prgGB4buR78	192.168.72.10	1050	149.172.136.4	80	1	GET	stvdoweicoop.com	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	169	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FzOc61320kk95xVmE6	text/html
1325210779.419364	C0T3tT3XRcr5e3PDk5	192.168.72.10	1051	149.172.136.4	80	1	GET	stvdoweicoop.com	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	169	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FU46e9hqlEzu2kcI6	text/html
1325210784.129862	CkVyvi3dzh7TZVewHc	192.168.72.10	1052	149.172.136.4	80	1	GET	stvdoweicoop.com	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	169	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fv52zb1Da1Te3qTJC6	text/html
1325210785.92339	C3eestlBpmgxW17zg	192.168.72.10	1053	149.172.136.4	80	1	GET	stvdoweicoop.com	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	169	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FMBjiy1EsTtNPqu0Z8	text/html
1325210789.597166	C0WkGkdyKtIBWOXSk	192.168.72.10	1049	128.204.195.85	80	2	POST	tqweytgbf32g.com	/search?fr=altavista&itag=ody&q=iLJO3SJBM9eQgdeQhaO,d5fa8ff57ad763fe,TNLI39fAhh00=DR&kgs=1&kls=0&p=1000	-	-	33	0	200	OK	-	-	-	(empty)	-	-	-	FXLd5f3Rl45SOlQZ2l	text/plain	-	-
1325210788.1769	CS557n1BMQyiF4JKm9	192.168.72.10	1054	149.172.136.4	80	1	GET	stvdoweicoop.com	/w.php?f=26&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-18-54
