#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-03-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1340632534.327793	CWy4JU20F8Htlry96i	192.168.127.10	1030	173.193.106.10	80	1	GET	janmakundali.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F3Bl0ih9yzwIq6ROj	application/octet-stream
1340632548.652062	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	7	GET	www.janmakundali.org	/images/contact_image.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3354	200	OK	-	-	-	(empty)	-	-	-	-	-	FweGpe23fjNfMANl93	image/jpeg
1340632548.772719	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	8	GET	www.janmakundali.org	/images/login.gif	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5605	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Yox13sAyhlbsuZe5	image/gif
1340632548.770366	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	5	GET	www.janmakundali.org	/images/image_2.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13506	200	OK	-	-	-	(empty)	-	-	-	-	-	FDDP4P16yB4CxkcQj	image/jpeg
1340632549.611562	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	6	GET	www.janmakundali.org	/images/ask3.swf	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10258	200	OK	-	-	-	(empty)	-	-	-	-	-	FGENSW22oViMTCyOE	application/x-shockwave-flash
1340632549.612057	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	9	GET	www.janmakundali.org	/images/image_4.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10994	200	OK	-	-	-	(empty)	-	-	-	-	-	FhNRm41YkGmpIU2Hnb	image/jpeg
1340632549.724903	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	10	GET	www.janmakundali.org	/images/zee.swf	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9264	200	OK	-	-	-	(empty)	-	-	-	-	-	FgpgIY8MugMd5eFpi	application/x-shockwave-flash
1340632549.878864	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	7	GET	www.janmakundali.org	/images/arrow2.gif	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	348	200	OK	-	-	-	(empty)	-	-	-	-	-	FzQh1o2cWNpTmJLTj2	image/gif
1340632549.91944	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	8	GET	www.janmakundali.org	/images/image_6.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20170	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpoqk84DDALpxmfnBb	image/jpeg
1340632549.968965	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	11	GET	www.janmakundali.org	/images/services.gif	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21278	200	OK	-	-	-	(empty)	-	-	-	-	-	Ft6ZNp32x9LsvyKSwd	image/gif
1340632550.004061	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	9	GET	www.janmakundali.org	/images/footerbg.gif	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	609	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw88mDZvSfouliUkb	image/gif
1340632550.110576	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	12	GET	www.janmakundali.org	/images/image_8.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8768	200	OK	-	-	-	(empty)	-	-	-	-	-	FJKlRb4oBWXaZiK713	image/jpeg
1340632550.221488	Czwk9N3jdCa4JNjNeb	192.168.127.10	1040	204.2.133.59	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1111	200	OK	-	-	-	(empty)	-	-	-	-	-	FggTlorI4VJNmMjlf	text/plain
1340632550.221932	CPLn2nV2Wkm1docM2	192.168.127.10	1041	204.2.133.59	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1111	200	OK	-	-	-	(empty)	-	-	-	-	-	FXFvbt32SbHcfvyhD5	text/plain
1340632556.276195	CIVJyQ2mwbnJHoKfyl	192.168.127.10	1039	178.162.167.136	80	1	GET	178.162.167.136	/55993.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	76321	200	OK	-	-	-	(empty)	-	-	-	-	-	FKaBSl2NxvIt7qcOZ9	application/zip
1340632560.741397	CZUeJl31eQfPbAMHpi	192.168.127.10	1042	37.157.255.37	80	1	GET	37.157.255.37	/422634.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	191488	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ5BjA4k861hbuzVB8	binary
1340632561.935434	CZUeJl31eQfPbAMHpi	192.168.127.10	1042	37.157.255.37	80	2	GET	37.157.255.37	/422634.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	405504	200	OK	-	-	-	(empty)	-	-	-	-	-	FNIhAD2czLepQk5roi	binary
1340632563.090254	CZUeJl31eQfPbAMHpi	192.168.127.10	1042	37.157.255.37	80	3	GET	37.157.255.37	/422634.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	127488	200	OK	-	-	-	(empty)	-	-	-	-	-	FHCpZm3d2ghF0XNzSf	binary
1340632563.589104	CZUeJl31eQfPbAMHpi	192.168.127.10	1042	37.157.255.37	80	4	GET	37.157.255.37	/422634.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	172544	200	OK	-	-	-	(empty)	-	-	-	-	-	FhyYka1aXLvwCsfM5k	binary
1340632564.122505	CZUeJl31eQfPbAMHpi	192.168.127.10	1042	37.157.255.37	80	5	GET	37.157.255.37	/422634.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	363008	200	OK	-	-	-	(empty)	-	-	-	-	-	FjRb814KHDW9Um9JU9	binary
1340632565.130265	CZUeJl31eQfPbAMHpi	192.168.127.10	1042	37.157.255.37	80	6	GET	37.157.255.37	/422634.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	79328	200	OK	-	-	-	(empty)	-	-	-	-	-	F8x30a2XCE602hGWA	binary
1340632565.489908	CZUeJl31eQfPbAMHpi	192.168.127.10	1042	37.157.255.37	80	7	GET	37.157.255.37	/422634.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	666	200	OK	-	-	-	(empty)	-	-	-	-	-	FoEEl61FjMPEKVJRKc	binary
1340632566.143863	Cej0694Ap5PNYeWtpi	192.168.127.10	1044	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	29	200	OK	-	-	-	(empty)	-	-	-	-	-	FNDJoq3HDgrCGoKSHd	text/plain
1340632566.347229	CY05Eb1QPV4PJvTL1a	192.168.127.10	1045	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=603&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632566.353805	CBMu1nQ5Byo5gd6M2	192.168.127.10	1047	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=603&c=2&d=7&s=121	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632566.366798	CGwDW21TboPv1ilS71	192.168.127.10	1051	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=603&c=4&d=7&s=1	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632566.368473	CFi6djPrYvn222Na3	192.168.127.10	1053	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=603&c=5&d=7&s=20	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632566.366666	CBPrv02ZIOtFg1JDH7	192.168.127.10	1049	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=603&c=3&d=7&s=131	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632566.50414	CgOLHf1z94N5Na7fE9	192.168.127.10	1057	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=603&c=6&d=7&s=21	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632566.518489	CoR6Y71CGYg5cVVOO	192.168.127.10	1059	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=603&c=7&d=7&s=30	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632566.529604	Cp7GeV1WoXhlaT6xZ7	192.168.127.10	1061	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=603&c=8&d=7&s=31	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632575.184409	CWTNbO2aBAOmvBDoTe	192.168.127.10	1065	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	29	200	OK	-	-	-	(empty)	-	-	-	-	-	FnGzY33l0E7HbYbPG5	text/plain
1340632575.39666	CiRJV51yT9jXQ6sjQ7	192.168.127.10	1066	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=31212032&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632575.41009	C7pNn22388B6vuAIY2	192.168.127.10	1068	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=31212032&c=2&d=7&s=110	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632575.421388	CXcJGpJdxANM9tW8a	192.168.127.10	1070	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=31212032&c=3&d=7&s=10	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340632576.125306	CKg7W64AU5azoUPHfi	192.168.127.10	1072	116.255.235.9	80	1	GET	116.255.235.9	/api/urls/?ts=a6dc231a&affid=56300	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	0	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-03-09
