#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-14-26
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1365676196.658322	CabnIn2lxihAMGU87l	192.168.98.10	1030	78.136.44.249	80	1	GET	znq03track.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	167	302	Found	-	-	-	(empty)	-	-	-	-	-	FtY4JXbJ4QRe2RfXi	text/html
1365676203.495445	CvyPUw296pyUXirhNl	192.168.98.10	1041	173.194.37.34	80	1	GET	www.google-analytics.com	/ga.js	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39469	200	OK	-	-	-	(empty)	-	-	-	-	-	FR3x5E1g0hIL6fzMzg	text/plain
1365676203.583587	CvyPUw296pyUXirhNl	192.168.98.10	1041	173.194.37.34	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.1&utms=1&utmn=1399162581&utmhn=pageerror-download.com&utmcs=utf-8&utmsr=800x600&utmvp=780x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Error: Plugin missing&utmhid=1311869480&utmr=-&utmp=/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2&utmht=1365690485375&utmac=UA-36620930-1&utmcc=__utma=142247987.1246608623.1365690485.1365690485.1365690485.1;+__utmz=142247987.1365690485.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FFCmiz3FCorcYRiqBf	image/gif
1365676203.488272	CJKTf24Ahm8IfYpxEg	192.168.98.10	1039	178.63.45.183	80	4	GET	pageerror-download.com	/images/chrome1_error.png	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1180	200	OK	-	-	-	(empty)	-	-	-	-	-	F7lmqAdziNDDROJyd	image/png
1365676203.600944	CUJU102UJIacOP9ml3	192.168.98.10	1040	178.63.45.183	80	1	GET	pageerror-download.com	/images/attention.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5153	200	OK	-	-	-	(empty)	-	-	-	-	-	F5ZlJh1m2rQpqrsoCi	image/jpeg
1365676203.602826	CJKTf24Ahm8IfYpxEg	192.168.98.10	1039	178.63.45.183	80	5	GET	pageerror-download.com	/error4ga.html?utm_source=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	726	200	OK	-	-	-	(empty)	-	-	-	-	-	FztFf83ON0K3JKSwi3	text/html
1365676203.757405	CUJU102UJIacOP9ml3	192.168.98.10	1040	178.63.45.183	80	2	GET	pageerror-download.com	/images/green.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1434	200	OK	-	-	-	(empty)	-	-	-	-	-	FR1lOp4Nrgfe9qBU55	image/jpeg
1365676203.759861	CJKTf24Ahm8IfYpxEg	192.168.98.10	1039	178.63.45.183	80	6	GET	pageerror-download.com	/images/red.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1434	200	OK	-	-	-	(empty)	-	-	-	-	-	FAEoIiwfmV2zWXttg	image/jpeg
1365676203.874119	CvyPUw296pyUXirhNl	192.168.98.10	1041	173.194.37.34	80	3	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.1&utms=1&utmn=1791709176&utmhn=pageerror-download.com&utmcs=utf-8&utmsr=800x600&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=error4ga&utmhid=561728158&utmr=0&utmp=/error4ga.html?utm_source=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296&utmht=1365690485531&utmac=UA-36620930-1&utmcc=__utma=142247987.1246608623.1365690485.1365690485.1365690486.2;+__utmz=142247987.1365690486.2.2.utmcsr=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2|utmccn=2555296|utmcmd=(not%20set);&utmu=q~	http://pageerror-download.com/error4ga.html?utm_source=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FF4hbL2lKao459abNc	image/gif
1365676203.909465	CUJU102UJIacOP9ml3	192.168.98.10	1040	178.63.45.183	80	3	GET	pageerror-download.com	/images/tl.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	FyJ4vX3J5VLO5hgmP1	image/gif
1365676203.910095	CJKTf24Ahm8IfYpxEg	192.168.98.10	1039	178.63.45.183	80	7	GET	pageerror-download.com	/images/tr.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1163	200	OK	-	-	-	(empty)	-	-	-	-	-	FJNf8g38lwQSk9jmdl	image/gif
1365676204.071793	C0I3g8cQ6cn08axz6	192.168.98.10	1044	178.63.45.183	80	1	GET	pageerror-download.com	/images/bg.png	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1108	200	OK	-	-	-	(empty)	-	-	-	-	-	FIs2ep1XzLmy9DMXm3	image/png
1365676204.072063	CzZDE64WHELDf6n92h	192.168.98.10	1045	178.63.45.183	80	1	GET	pageerror-download.com	/images/download.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10404	200	OK	-	-	-	(empty)	-	-	-	-	-	Ftl4jQSID0vViYum4	image/jpeg
1365676204.189624	C0I3g8cQ6cn08axz6	192.168.98.10	1044	178.63.45.183	80	2	GET	pageerror-download.com	/images/tl.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	FEylTn339sJv7iUfjg	image/gif
1365676204.299539	CzZDE64WHELDf6n92h	192.168.98.10	1045	178.63.45.183	80	2	GET	pageerror-download.com	/images/tr.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1163	200	OK	-	-	-	(empty)	-	-	-	-	-	FkDjku3tSR5W4U3mjf	image/gif
1365676204.306024	C0I3g8cQ6cn08axz6	192.168.98.10	1044	178.63.45.183	80	3	GET	pageerror-download.com	/images/bl.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1162	200	OK	-	-	-	(empty)	-	-	-	-	-	FcU4Fo2f0dH8lG03va	image/gif
1365676204.414715	CzZDE64WHELDf6n92h	192.168.98.10	1045	178.63.45.183	80	3	GET	pageerror-download.com	/images/br.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	Foj3S63QoRxK8fgJeg	image/gif
1365676205.977289	CvyPUw296pyUXirhNl	192.168.98.10	1041	173.194.37.34	80	4	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.1&utms=2&utmn=2007194043&utmhn=pageerror-download.com&utmt=event&utme=5(download*auto*ie)&utmcs=utf-8&utmsr=800x600&utmvp=780x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Error: Plugin missing&utmhid=1311869480&utmr=-&utmp=/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2&utmht=1365690487671&utmac=UA-36620930-1&utmcc=__utma=142247987.1246608623.1365690485.1365690485.1365690486.2;+__utmz=142247987.1365690486.2.2.utmcsr=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2|utmccn=2555296|utmcmd=(not%20set);&utmu=6~	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FnfZ7O3ga8G22fD8Dc	image/gif
1365676206.311742	CDUX7X1Ya8k1rwONR2	192.168.98.10	1046	5.9.68.143	80	1	GET	offers.avazuscd.net	/tracking/redirect/redirect.php?kw=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2&id=2555296&vurl=&czid=YXZhenUyNTU1Mjk2MQ==	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	245	200	OK	-	-	-	(empty)	-	-	-	-	-	FvuZOr1mnkgjuuOyy9	text/html
1365676206.616036	CEFTNA2pemwZ8Fsznc	192.168.98.10	1047	54.239.142.167	80	1	GET	d1ljy82xpaaux9.cloudfront.net	/n/50aa6885-2418-4487-a8d6-031d5bc06f2f/FlvMPlayer.exe	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1365676206.785029	C1EWc711EMuOycKIea	192.168.98.10	1048	107.14.43.243	80	1	GET	dl01.socdn.com	/n/3.0.0.1/5130548/FlvMPlayer.exe	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85913	200	OK	-	-	-	(empty)	-	-	-	-	-	FxS7PgYcP5GTVpst6	application/x-dosexec
#close	2014-04-03-10-14-26
