#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-12-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327529338.15993	CooO0U3PeDl2BiVVMd	192.168.102.10	1030	123.30.133.77	80	1	GET	megarapid.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	146	302	Redirect	-	-	-	(empty)	-	-	-	-	-	FYrL653yXTSwdr4YA6	text/html
1327529362.381381	Ci5bgp1R5zPhDZDn13	192.168.102.10	1046	173.194.37.0	80	3	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.3&utms=1&utmn=869357769&utmhn=ads.clicksor.com&utmcs=utf-8&utmsr=800x600&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmhid=164860141&utmr=http://w2.megarapid.net/&utmp=/newServing/searchTrack.php?nid=5&random=558588334&utmac=UA-453142-35&utmcc=__utma=251001561.1249624707.1327543642.1327543642.1327543642.1;+__utmz=251001561.1327543642.1.1.utmcsr=w2.megarapid.net|utmccn=(referral)|utmcmd=referral|utmcct=/;&utmu=DB~	http://ads.clicksor.com/newServing/searchTrack.php?nid=5&random=558588334	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FoquFU3ZZc5UOFpLh5	image/gif
1327529363.951249	Cf3MiY3EWDEdiuczJ8	192.168.102.10	1049	199.21.148.89	80	1	GET	ads.lzjl.com	/newServing/links.php?zone=0&chad=1&adu=2&cs=&adtype=0&nid=5&sid=13700&pid=8849&spid=0&image=2&memkey=757521ebedf94452b006c8bbee771c74&durl=&lq=0&lb=17&qp=YF4lJzD7JSgl-SMy-ywu91tZYCckKiX7ICJdWjQkfCUvfvxrYSUhL3sqLCAhIi4h	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1815	200	OK	-	-	-	(empty)	-	-	-	-	-	FAc3Dg3I6BR7aY7Ubg	text/html
1327529364.317922	C8ehciFetfGkOUGSe	192.168.102.10	1050	199.21.148.42	80	1	GET	www.angege.com	/links.php?data=rSe_2/|*1*0#*..$S\7^lPah^rcY^h$]m\^b')+,2\xfe*+igN5+(0!-,.0}1&serverfile=popdirect&id=infinityads&subid=117412&tid=1327529249&clater=0&m=127&o=1&c=32767&a=32767&q=8&s=<=&ah=10&al=2&l=english&campaign=&rurl=http://ads.lzjl.com/newServing/clicktrack.php?cpx=cpv&qid=1327529249948track&defurl=http://ads.lzjl.com/newServing/cpalinks.php?qid=1327529249948track&memkey=757521ebedf94452b006c8bbee771c74&clck_sid=13700&clck_pid=8849	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1421	200	OK	-	-	-	(empty)	-	-	-	-	-	F7eoB52Xq7MQdupGx8	text/html
1327529364.419562	CnnHfA1PtEfY13EpV4	192.168.102.10	1051	199.21.148.39	80	1	GET	199.21.148.39	/showronz.php?rurl=http://informharry.com/linksed.php?sn=871327529248&uip=74.217.36.97&siteid=infinityads&clater=1&serverfile=popdirect&ref=&clicksor=&unsold=1&data=rSe_2%D1%D2%CB%D2%CF%D1%D6%CC%D5%D2%C20g%5E%5DcY%DD%25%24%7D+%2A%23%2B7%FB%7C0%24%5Dm%5C%5E%21%DC%CA%CC%D1%D3%CE%CC%C7%FB%7C0gN5OH%EF%E5%DF%C1%2B%24%23%2A%E2%FE%2C1wZ%5D7%25%C6%2C%2B%FD%EB1%FE%23%27%2B2%DD6%F3Y%5Eh%F11%FA%24+03%D7%D3%C0.%2BqYd%5E2%D1&url=http%3A%2F%2F199.21.148.39%2Fshowronz.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	125	200	OK	-	-	-	(empty)	-	-	-	-	-	FG4AduqYHwhPB8gq8	text/html
1327529364.499568	CkOY6z3gZ4dD2iyYYa	192.168.102.10	1052	199.21.148.39	80	1	GET	199.21.148.39	/ronz.php?sid=&numpop=6&nid=1254453974&mid=9287343815&t=&defurl=&ref=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	533	200	OK	-	-	-	(empty)	-	-	-	-	-	FQGWxSqNX2WnaEoLj	text/html
1327529364.578868	Cbfq5q2Gr7GPOp0CUd	192.168.102.10	1053	199.21.148.39	80	1	GET	199.21.148.39	/adsredirz.php?mid=9287343815&nid=1254453974&set=4&t=&defurl=&ref=	http://199.21.148.39/ronz.php?sid=&numpop=6&nid=1254453974&mid=9287343815&t=&defurl=&ref=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	83	200	OK	-	-	-	(empty)	-	-	-	-	-	FTMUm11mNH5KqE3in4	text/plain
1327529364.664899	CrvnZD1XaugebDDnCj	192.168.102.10	1054	199.21.148.98	80	1	GET	ads.clicksor.com	/newServing/cpalinks.php?networkid=2&ref=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1193	200	OK	-	-	-	(empty)	-	-	-	-	-	FVfpPZ336cahgc9hP2	text/html
1327529364.783932	CBOgiy2gCTrPbPlFE4	192.168.102.10	1055	199.21.148.123	80	1	GET	serw.myroitracking.com	/newServing/tracking_id.php?d=serw.clicksor.com&r=http://serw.clicksor.com/newServing/tracking_id.php?b=1&&gtruid=1	http://ads.clicksor.com/newServing/cpalinks.php?networkid=2&ref=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327529364.862513	CsuVLL3ak1NMr77oPf	192.168.102.10	1057	199.21.148.89	80	1	GET	serw.clicksor.com	/newServing/tracking_id.php?b=1&UID=1327529222964&TRSTR=1&RTID=	http://ads.clicksor.com/newServing/cpalinks.php?networkid=2&ref=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327529364.841917	C8cZBz72LZG0zWVF9	192.168.102.10	1056	193.169.104.1	80	1	GET	network.adsmarket.com	/click/kWFpmI2jg5aJkGnEXsp-mJBha51fyoOXjmZqxGGjepyJkGuYZKKDlQ?dp=1005-113011-1-3422-6542-4-7118-3	http://ads.clicksor.com/newServing/cpalinks.php?networkid=2&ref=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4	302	Found	-	-	-	(empty)	-	-	-	-	-	FXoDKx1f58LpkWiKGb	text/plain
1327529365.015088	CU2LDe15YdIvG7KmSl	192.168.102.10	1058	50.19.231.62	80	1	GET	aff.foxtab.com	/videoconverter/amkt/?lp=vcadv0_dd&dl=1&ce_cid=00cnjzvpPQSd1mYYxj76lJk5SJ000000	http://ads.clicksor.com/newServing/cpalinks.php?networkid=2&ref=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3704	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzx3uJ1xlQ71arFndg	application/x-dosexec
#close	2014-04-03-11-12-25
