#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-53-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1326582630.237587	C5pgxD1HzH4d6WQZ0b	192.168.26.10	1030	72.47.236.163	80	1	GET	merca20.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FtKczC4mzdUrpjkW7e	application/octet-stream
1326582631.975547	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	4	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/scripts/jquery.superfish.js?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3846	200	OK	-	-	-	(empty)	-	-	-	-	-	FKBc8o3O9XST56sQfj	text/plain
1326582632.00277	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	6	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/scripts/jquery.easing.js?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8097	200	OK	-	-	-	(empty)	-	-	-	-	-	F4z0eZ3Br9XKNCQFRh	text/plain
1326582632.019865	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	5	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/scripts/fancybox/jquery.fancybox.js?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28208	200	OK	-	-	-	(empty)	-	-	-	-	-	FJWx0h3KJtHpZlQpDk	text/plain
1326582632.051353	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	7	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/scripts/jquery.slide.js?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FNLu3P12VEolfPvTd4	text/plain
1326582632.120712	CBIs3o4e8uNJYqYbo3	192.168.26.10	1040	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/search-by-category/sbc-style.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1436	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs4Sj2OmMlnVKVUSe	text/plain
1326582632.11987	C59bhL3qKKDhmmFWpa	192.168.26.10	1039	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/eStore-extra-shortcodes/eStore_extra_shortcode_css.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5894	200	OK	-	-	-	(empty)	-	-	-	-	-	FHyZED1eWGduxeW1Ii	text/x-c
1326582632.280317	CJGzgH2o1yhVIhVei4	192.168.26.10	1042	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/wp-cart-for-digital-products/wp_eStore_custom_style.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	185	200	OK	-	-	-	(empty)	-	-	-	-	-	FwBc28gwb0udXULUi	text/plain
1326582632.27875	CxDZMf3ptRknLUZGt	192.168.26.10	1041	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/wp-cart-for-digital-products/wp_eStore_style.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6846	200	OK	-	-	-	(empty)	-	-	-	-	-	FHiMd2325RtEM5iQo9	text/x-asm
1326582632.388419	CsCc413hlNegq3i5s1	192.168.26.10	1043	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/wp-cart-for-digital-products/lib/eStore_read_form.js	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2776	200	OK	-	-	-	(empty)	-	-	-	-	-	FEU7Pp1qdsKB26pgL6	text/plain
1326582632.455477	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	6	GET	cdn.merca20.com	/wp-content/themes/Merca2010_2/default/style.css.php	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1326582632.492936	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	8	GET	cdn.merca20.com	/wp-content/uploads/2011/12/logo-merca20-blanco1.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12773	200	OK	-	-	-	(empty)	-	-	-	-	-	FBeSF4vgNWpCwmgvf	image/png
1326582632.516636	CEbKRA4Shv9pNoAq43	192.168.26.10	1049	74.125.229.33	80	1	GET	www.google-analytics.com	/ga.js	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32614	200	OK	-	-	-	(empty)	-	-	-	-	-	FDgZ482Nyr5TPyomB3	text/plain
1326582632.566582	CoFCwj3z7YKFclfi6	192.168.26.10	1050	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/uploads/2011/12/sprite-merca-botones-2012-01.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	334	200	OK	-	-	-	(empty)	-	-	-	-	-	FbITyz1gCS7HSt5fw3	image/png
1326582632.566346	CG9OiX3C0eN4QKrzh9	192.168.26.10	1048	72.47.236.163	80	1	GET	www.merca20.com	/phpadsnew/www/delivery/ag.php	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3295	200	OK	-	-	-	(empty)	-	-	-	-	-	Fghv8a38gQR1Y4Xlp5	text/plain
1326582632.68071	CEbKRA4Shv9pNoAq43	192.168.26.10	1049	74.125.229.33	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.2&utms=1&utmn=1024164908&utmhn=www.merca20.com&utmcs=iso-8859-1&utmsr=800x600&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=MERCADOTECNIA MARKETING PUBLICIDAD | Revista Merca2.0&utmhid=2047474717&utmr=-&utmp=/&utmac=UA-1039357-1&utmcc=__utma=80542859.1119422745.1326596914.1326596914.1326596914.1;+__utmz=80542859.1326596914.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FUPRbtLBYmOery8ce	image/gif
1326582632.676159	CwgnuM2zzA7SGiIV98	192.168.26.10	1051	72.47.236.163	80	1	GET	www.merca20.com	/phpadsnew/www/delivery/afr.php?n=ab022d02&zoneid=10&cb=INSERT_RANDOM_NUMBER_HERE	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	505	200	OK	-	-	-	(empty)	-	-	-	-	-	FamleH2lJuw7Q8x2Ui	text/html
1326582632.731904	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	7	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/images/caption.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48255	200	OK	-	-	-	(empty)	-	-	-	-	-	FgLKdEygfuki2V2S2	image/png
1326582632.787105	CyGg8H3SRT6d2kK5Oa	192.168.26.10	1052	72.47.236.163	80	1	GET	www.merca20.com	/phpadsnew/www/delivery/ag.php	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3295	200	OK	-	-	-	(empty)	-	-	-	-	-	F5ZkltmzAdlI43M1j	text/plain
1326582632.868899	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	8	GET	cdn.merca20.com	/wp-content/uploads/2012/01/angry-birds-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6629	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffbe7o3KF958a8S2T8	image/jpeg
1326582632.893278	CeM9yI1Fq9AgloJgOc	192.168.26.10	1055	184.28.191.55	80	1	GET	platform.twitter.com	/widgets.js	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47651	200	OK	-	-	-	(empty)	-	-	-	-	-	FpSxyIKwEIhT2t8H4	text/plain
1326582632.898371	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	9	GET	cdn.merca20.com	/wp-content/uploads/2012/01/iphone1-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4997	200	OK	-	-	-	(empty)	-	-	-	-	-	FZIKow4e6IVtDku9jf	image/jpeg
1326582632.840229	C8QxZi4kUWVh7PJs5k	192.168.26.10	1053	72.47.236.163	80	1	GET	www.merca20.com	/phpadsnew/www/delivery/afr.php?n=af31db9a&zoneid=59&cb=INSERT_RANDOM_NUMBER_HERE	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1073	200	OK	-	-	-	(empty)	-	-	-	-	-	FK3GE73AcviPZTUaHd	text/html
1326582632.912763	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	10	GET	cdn.merca20.com	/wp-content/uploads/2012/01/13-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5230	200	OK	-	-	-	(empty)	-	-	-	-	-	FOz1cF15prYwQdN8f3	image/jpeg
1326582632.925813	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	11	GET	cdn.merca20.com	/wp-content/uploads/2012/01/fotoshop-100x100.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18027	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff2cNBLGDUJOJcXXh	image/png
1326582632.986256	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	12	GET	cdn.merca20.com	/wp-content/uploads/2012/01/Imagen-12-100x100.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17201	200	OK	-	-	-	(empty)	-	-	-	-	-	FpkiJj46i6baZYC78f	image/png
1326582632.865899	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	9	GET	cdn.merca20.com	/wp-content/uploads/2012/01/search-plus-your-world-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5121	200	OK	-	-	-	(empty)	-	-	-	-	-	FPk41237ozt6F1BDyl	image/jpeg
1326582633.023634	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	13	GET	cdn.merca20.com	/wp-content/uploads/2012/01/lavueltaachile-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4603	200	OK	-	-	-	(empty)	-	-	-	-	-	FCN9tS279K36z1O4H9	image/jpeg
1326582633.033613	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	10	GET	cdn.merca20.com	/wp-content/uploads/2012/01/ageifman1-100x100.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18909	200	OK	-	-	-	(empty)	-	-	-	-	-	F3umO4rzPBpH2Zzii	image/png
1326582633.04066	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	14	GET	cdn.merca20.com	/wp-content/uploads/2012/01/47980-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4401	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr5QCb2Z4RYnphtlf4	image/jpeg
1326582633.040909	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	11	GET	cdn.merca20.com	/wp-content/uploads/2012/01/12-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4108	200	OK	-	-	-	(empty)	-	-	-	-	-	FLVMHc2A2doitjfUca	image/jpeg
1326582633.050171	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	15	GET	cdn.merca20.com	/wp-content/uploads/2012/01/fotoshop-125x90.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19323	200	OK	-	-	-	(empty)	-	-	-	-	-	FxHXMi2X2KChRYgcu8	image/png
1326582633.073499	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	12	GET	cdn.merca20.com	/wp-content/uploads/2012/01/concurso_leyenda-125x90.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5945	200	OK	-	-	-	(empty)	-	-	-	-	-	FWaM411FbdSQwVRwd4	image/jpeg
1326582633.085094	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	13	GET	cdn.merca20.com	/wp-content/uploads/2012/01/Imagen-41-125x90.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22064	200	OK	-	-	-	(empty)	-	-	-	-	-	FrRpzM2q3rjS5Fx7l8	image/png
1326582633.073726	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	16	GET	cdn.merca20.com	/wp-content/uploads/2012/01/Imagen-82-125x90.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31445	200	OK	-	-	-	(empty)	-	-	-	-	-	FBuWpW3dOFGDFbaNJi	image/png
1326582633.104406	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	17	GET	cdn.merca20.com	/wp-content/uploads/2012/01/Imagen-81-125x90.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18515	200	OK	-	-	-	(empty)	-	-	-	-	-	FIxyKk7oUw0O0pjjc	image/png
1326582633.09302	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	14	GET	cdn.merca20.com	/wp-content/uploads/2012/01/k2-125x125.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4999	200	OK	-	-	-	(empty)	-	-	-	-	-	FoqOmX3MKj0HwoMmPd	image/jpeg
1326582633.118917	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	15	GET	cdn.merca20.com	/wp-content/uploads/wp-content/thumbnails/51917.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11597	200	OK	-	-	-	(empty)	-	-	-	-	-	Fnmmog4tpOsujvmK0k	image/png
1326582633.116743	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	18	GET	cdn.merca20.com	/wp-content/uploads/2011/12/facebook1-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4744	200	OK	-	-	-	(empty)	-	-	-	-	-	F8xPLv45ID9Usg3Q0j	image/jpeg
1326582633.132871	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	16	GET	cdn.merca20.com	/wp-content/uploads/wp-content/thumbnails/51545.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18605	200	OK	-	-	-	(empty)	-	-	-	-	-	FDdl613FdO1vrPZxWb	image/png
1326582633.135483	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	19	GET	cdn.merca20.com	/wp-content/uploads/wp-content/thumbnails/51392.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16951	200	OK	-	-	-	(empty)	-	-	-	-	-	FgBbcM3McYdVm8rSRe	image/png
1326582633.147624	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	17	GET	cdn.merca20.com	/wp-content/uploads/2012/01/Imagen-74-e1326325583573-100x100-100x90.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13563	200	OK	-	-	-	(empty)	-	-	-	-	-	FXbuOu4tQjQWqFCjLl	image/png
1326582633.182761	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	20	GET	cdn.merca20.com	/wp-content/uploads/2012/01/la-nfl-y-los-broncos-de-denver-rompen-record-en-twitter-100x90.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4745	200	OK	-	-	-	(empty)	-	-	-	-	-	FHKZlJ2hqghc8Pnkkf	image/jpeg
1326582632.989272	CyDVt4IWfiWc4ZKMf	192.168.26.10	1056	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/uploads/2012/01/12.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14998	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc0HL02UvOWFV8xS4	image/jpeg
1326582633.187277	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	18	GET	cdn.merca20.com	/wp-content/uploads/2012/01/stevejobs-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3185	200	OK	-	-	-	(empty)	-	-	-	-	-	F0terr1QeywHO0ks3j	image/jpeg
1326582632.909213	CeDytk2Pp240AbNWqh	192.168.26.10	1054	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/uploads/2012/01/search-plus-your-world.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55742	200	OK	-	-	-	(empty)	-	-	-	-	-	FKvYiu4I5pxLIg2DQ2	image/jpeg
1326582633.268848	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	21	GET	cdn.merca20.com	/wp-content/uploads/2012/01/Piracy-100x100.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5178	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzdk8b19jXsgBonr3e	image/jpeg
1326582633.331984	CQJiAB2ggzEPH6hjl	192.168.26.10	1057	72.47.236.163	80	1	GET	www.merca20.com	/phpadsnew/www/delivery/afr.php?n=a44d3ef3&zoneid=69&cb=INSERT_RANDOM_NUMBER_HERE	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1780	200	OK	-	-	-	(empty)	-	-	-	-	-	FAOBEf3NIDPuXfhi1a	text/html
1326582633.279954	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	19	GET	cdn.merca20.com	/wp-content/uploads/2012/01/lg-lanzara-una-google-tv-en-el-ces-2012.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15287	200	OK	-	-	-	(empty)	-	-	-	-	-	FmdVXI1RXAAwgoykd8	image/png
1326582633.33264	CwX712299WxMfQSJMi	192.168.26.10	1058	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/uploads/2012/01/13.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23371	200	OK	-	-	-	(empty)	-	-	-	-	-	FrAGoc7fh8Nrviaq9	image/jpeg
1326582633.480774	C0a4oo1ZhjKlYAbJpb	192.168.26.10	1059	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/uploads/2012/01/shopping.jpg	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30009	200	OK	-	-	-	(empty)	-	-	-	-	-	F6n3Xg3ClSmoArTrJd	image/jpeg
1326582633.81025	CYIusTe6wF4LGMtf2	192.168.26.10	1061	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/uploads/2011/12/sprite_merca_2012.png	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8410	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw0DmMWW4IQh37L7f	image/png
