#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1333088529.220866	CltWVXRcBeKpjK2q	192.168.81.10	1030	205.178.189.129	80	1	GET	cccexp.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	122	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FuDd0lhdKvSOAaXp1	text/html
1333088532.366882	CWT5TB33dXVMt4eI5l	192.168.81.10	1036	66.7.249.84	80	3	GET	www.cccexp.com	/exponline/img/sort_order_none.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	824	200	OK	-	-	-	(empty)	-	-	-	-	-	FlqZdVm9g91wxFfU7	image/gif
1333088532.45729	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	9	GET	www.cccexp.com	/exponline/img/priority_icon_0.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	197	200	OK	-	-	-	(empty)	-	-	-	-	-	FMEPYH19XFHflD2y0a	image/gif
1333088532.457581	CWT5TB33dXVMt4eI5l	192.168.81.10	1036	66.7.249.84	80	4	GET	www.cccexp.com	/exponline/img/priority_icon_1.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	301	200	OK	-	-	-	(empty)	-	-	-	-	-	FbwymZ23exnbQZkL9i	image/gif
1333088532.531996	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	10	GET	www.cccexp.com	/exponline/img/priority_icon_2.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	187	200	OK	-	-	-	(empty)	-	-	-	-	-	FUM70K1zhgbsXBQgYf	image/gif
1333088532.534375	CWT5TB33dXVMt4eI5l	192.168.81.10	1036	66.7.249.84	80	5	GET	www.cccexp.com	/exponline/jreversion.js	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	493	200	OK	-	-	-	(empty)	-	-	-	-	-	Fjyvl4wA1QGi5q7J4	text/plain
1333088532.62852	CWT5TB33dXVMt4eI5l	192.168.81.10	1036	66.7.249.84	80	6	GET	www.cccexp.com	/exponline/img/navbar_bg.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	937	200	OK	-	-	-	(empty)	-	-	-	-	-	FTtQsy1ynfuU2lKQ2d	image/gif
1333088532.628187	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	11	GET	www.cccexp.com	/exponline/img/primavera_logo_cm.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3999	200	OK	-	-	-	(empty)	-	-	-	-	-	FtrLg11AI1tqjOTMrb	image/gif
1333088532.723367	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	12	GET	www.cccexp.com	/exponline/img/login_bg.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2440	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh65QX3isNxEXMZGkj	image/gif
1333088532.851214	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	13	GET	www.cccexp.com	/exponline/img/login_dialog_bg.jpg	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32157	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp2poX2LiiAnn3UqR5	image/jpeg
1333088533.153638	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	14	GET	www.cccexp.com	/exponline/img/login_arrow.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	726	200	OK	-	-	-	(empty)	-	-	-	-	-	FdOYUv1tEmZonNiJYc	image/gif
1333088533.357376	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	15	GET	www.cccexp.com	/exponline/img/pix.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	49	200	OK	-	-	-	(empty)	-	-	-	-	-	FiOyq236X29xgmDFgc	image/gif
1333088533.431778	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	16	GET	www.cccexp.com	/exponline/img/process_meter.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7305	200	OK	-	-	-	(empty)	-	-	-	-	-	FmNjDupwMUKcw3FGf	image/gif
1333088533.573031	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	17	GET	www.cccexp.com	/exponline/img/input_bg.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1654	200	OK	-	-	-	(empty)	-	-	-	-	-	FL9qr04GWdxt5lAAtc	image/gif
1333088532.709726	CWT5TB33dXVMt4eI5l	192.168.81.10	1036	66.7.249.84	80	7	GET	www.cccexp.com	/jre-6u20-windows-i586.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7298698	200	OK	-	-	-	(empty)	-	-	-	-	-	FF0U9OBcw8xEUmaAa	application/x-dosexec
#close	2014-04-03-09-51-58
