#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-47-36
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319961087.484196	CYhpL41s5Lt4kEXRAc	192.168.127.10	1031	109.236.82.74	80	1	GET	therst.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FCEdf530I6V3L0C58	text/html
1319961090.257241	Cw2hKA3sTftTfjBAbi	192.168.127.10	1048	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FvZM0ArrwmP2CShS1	application/x-java-applet
1319961090.256437	CLYC0pOfs5LZgUgp4	192.168.127.10	1049	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FakwE22cv5cxgwLTqg	application/x-java-applet
1319961090.255671	CGQjhm4Gvebh9Gukmj	192.168.127.10	1046	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FdKJxHclEg8hZhgRi	application/x-java-applet
1319961090.457859	CVoETv471NAOfeXA98	192.168.127.10	1050	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FkCOb22Sdbl5qRMDQi	application/x-java-applet
1319961090.465844	CYzUDFuE14huORza	192.168.127.10	1047	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FQX3am3vEbAjggoKkf	application/x-java-applet
1319961090.476283	CfmHaQ2f6DRQXKySlg	192.168.127.10	1051	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FlhSnu4RL5jARc7qvk	application/x-java-applet
1319961090.58263	C4rUs6398W3vE63B5c	192.168.127.10	1053	109.236.82.61	80	1	GET	cyberef.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn5QLr4xC27f9PG1Nd	application/jar
1319961090.473975	CNetpg2HwddPrpLzi9	192.168.127.10	1052	109.236.82.61	80	1	GET	cyberef.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	F7GYT31GhfMdnBa796	application/jar
1319961091.436081	CJE3bd3dEVgo9UzzQf	192.168.127.10	1056	109.236.82.61	80	1	GET	cyberef.in	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	506	200	OK	-	-	-	(empty)	-	-	-	-	-	FiJleWTCPPiL7cy0c	binary
1319961091.3385	CxT9Ls1XnD7CMiLba9	192.168.127.10	1055	109.236.82.61	80	1	GET	cyberef.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz4C5O3np2pDQ9Nmo	application/jar
1319961091.665503	CITEei2BradTVzxQy7	192.168.127.10	1057	109.236.82.61	80	1	GET	cyberef.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FlJ0wy33Lj20DCi7ta	application/jar
1319961090.788105	CAwTSk1x5onxFk7QRb	192.168.127.10	1054	109.236.82.61	80	1	GET	109.236.82.61	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	450560	200	OK	-	-	-	(empty)	-	-	-	-	-	FgjVvBX62cYWoBq1j	application/x-dosexec
1319961091.886565	CEiL8T2ItawKCF6YB4	192.168.127.10	1058	109.236.82.61	80	1	GET	cyberef.in	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	450560	200	OK	-	-	-	(empty)	-	-	-	-	-	F74ahT1leWRARHJbI9	application/x-dosexec
1319961110.298811	CylicjQAeaG5gaFB	192.168.127.10	1059	205.209.149.193	80	1	GET	www.windowsupdateres.info	/machineid.php?checkstr=8229780421994979144382715&cpumac=00100F230000080080002001078BFBFD002018EBCA7F&pubuser=1433	-	-	0	29	200	OK	-	-	-	(empty)	-	-	-	-	-	F8DS6b2wc28C9fJf39	text/plain
1319961110.672331	Cbu08z3In5xc9pLBSj	192.168.127.10	1060	205.209.149.193	80	1	GET	www.windowsupdateres.info	/cookiegetwork.php?machineid=8229780421994979144382715	-	-	0	21	200	OK	-	-	-	(empty)	-	-	-	-	-	FcfUZB3aswGfXsVB2j	text/plain
1319961110.897386	C7NRTCzFzWoEXc2Uh	192.168.127.10	1062	205.209.149.193	80	1	GET	www.windowsupdateres.info	/agent.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	133	200	OK	-	-	-	(empty)	-	-	-	-	-	FqV7e22loC4S9xQkw	text/plain
#close	2014-04-03-10-47-38
