#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337860993.178597	CgJQTX1F00PFXLHUO7	192.168.107.10	1030	69.25.27.173	80	1	GET	parkviewchristianacademy-waco.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1337860993.790498	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	4	GET	www.parkviewwaco.com	/buttonathletics.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4673	200	OK	-	-	-	(empty)	-	-	-	-	-	FS2Y8n39KyQbtayrxg	image/jpeg
1337860993.8624	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	5	GET	www.parkviewwaco.com	/buttonwhatsnew.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3824	200	OK	-	-	-	(empty)	-	-	-	-	-	FHbQS9ceqNyTpa1N4	image/jpeg
1337860993.862733	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	5	GET	www.parkviewwaco.com	/buttoncalendar.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4628	200	OK	-	-	-	(empty)	-	-	-	-	-	FUgWrB3Om6TQlfqlBe	image/jpeg
1337860993.790162	C9BJdW4mpAd7o7Iz6	192.168.107.10	1036	74.125.127.139	80	1	GET	s.ytimg.com	/yt/swfbin/watch_as3-vflBvIDbp.swf	http://www.youtube.com/v/Svo13LQFzg8&hl=en_US&fs=1&rel=0&color1=0x234900&color2=0x4e9e00	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	264437	200	OK	-	-	-	(empty)	-	-	-	-	-	FNP8lJyjzxhrysQ4l	application/x-shockwave-flash
1337860993.9168	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	6	GET	www.parkviewwaco.com	/buttonphotogallery.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5999	200	OK	-	-	-	(empty)	-	-	-	-	-	FizuAp3RWCbkr4x1U3	image/jpeg
1337860993.927365	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	6	GET	www.parkviewwaco.com	/buttonorganization.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6001	200	OK	-	-	-	(empty)	-	-	-	-	-	FxOP2zkZc9QmUbgU	image/jpeg
1337860993.971861	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	7	GET	www.parkviewwaco.com	/buttonfaculty.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6016	200	OK	-	-	-	(empty)	-	-	-	-	-	FAZOml4C1mGkwvVdBb	image/jpeg
1337860993.994932	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	7	GET	www.parkviewwaco.com	/buttonadmission.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6066	200	OK	-	-	-	(empty)	-	-	-	-	-	FCUgkk4VhVTrkhjdsf	image/jpeg
1337860994.027955	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	8	GET	www.parkviewwaco.com	/buttonfaq.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3433	200	OK	-	-	-	(empty)	-	-	-	-	-	FJFu3JVvkuVj4QWld	image/jpeg
1337860993.768247	C9UiVKFAuwpCAKwuh	192.168.107.10	1035	188.72.248.210	80	1	GET	188.72.248.210	/71693712.html	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11889	200	OK	-	-	-	(empty)	-	-	-	-	-	F0YP5f44Wj1SZOt5Sc	text/html
1337860994.117576	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	8	GET	www.parkviewwaco.com	/buttoncontact.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5091	200	OK	-	-	-	(empty)	-	-	-	-	-	FhW4dv4WD9oex8JiNc	image/jpeg
1337860994.117923	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	9	GET	www.parkviewwaco.com	/sidephotojrhigh.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	66422	200	OK	-	-	-	(empty)	-	-	-	-	-	FsTz117kyW3kyX3q1	image/jpeg
1337860994.316934	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	9	GET	www.parkviewwaco.com	/mightypacers2.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11988	200	OK	-	-	-	(empty)	-	-	-	-	-	FBBKjN1QZK4wjDC3T2	image/jpeg
1337860994.323377	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	10	GET	www.parkviewwaco.com	/vtwebnegsmall.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8618	200	OK	-	-	-	(empty)	-	-	-	-	-	FJA06G1YemZXVvv2Ya	image/jpeg
1337860994.42404	Cod65c3ePkuEGEp2Ad	192.168.107.10	1038	74.125.127.138	80	1	GET	i4.ytimg.com	/crossdomain.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	102	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsjye92G9IOndW03b1	application/xml
1337860995.060482	Cod65c3ePkuEGEp2Ad	192.168.107.10	1038	74.125.127.138	80	2	GET	i4.ytimg.com	/vi/Svo13LQFzg8/hqdefault.jpg	http://s.ytimg.com/yt/swfbin/watch_as3-vflBvIDbp.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15197	200	OK	-	-	-	(empty)	-	-	-	-	-	FLeqV441DHe0KZN036	image/jpeg
1337860995.0523	C9UiVKFAuwpCAKwuh	192.168.107.10	1035	188.72.248.210	80	2	GET	188.72.248.210	/28629.pdf	http://188.72.248.210/71693712.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41351	200	OK	-	-	-	(empty)	-	-	-	-	-	FNwMJb2Np3jp70yZC6	application/pdf
1337861006.310082	C9UiVKFAuwpCAKwuh	192.168.107.10	1035	188.72.248.210	80	3	GET	188.72.248.210	/2.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23552	200	OK	-	-	-	(empty)	-	-	-	-	-	FAXuDl4zLR1BqHST8g	application/x-dosexec
1337861007.138339	CDf2Mh2nsMNzraG1g	192.168.107.10	1043	188.72.248.210	80	1	GET	188.72.248.210	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	31439	200	OK	-	-	-	(empty)	-	-	-	-	-	FVBDnB4i4B9ZS0uXGc	application/zip
1337861007.976151	CDf2Mh2nsMNzraG1g	192.168.107.10	1043	188.72.248.210	80	2	GET	188.72.248.210	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	31439	200	OK	-	-	-	(empty)	-	-	-	-	-	FST5gp2Xz3KxjglZi	application/zip
1337861008.422458	CDf2Mh2nsMNzraG1g	192.168.107.10	1043	188.72.248.210	80	3	GET	188.72.248.210	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	31439	200	OK	-	-	-	(empty)	-	-	-	-	-	FbQ2lv3lgYH5JGPy12	application/zip
1337861008.865613	CDf2Mh2nsMNzraG1g	192.168.107.10	1043	188.72.248.210	80	4	GET	188.72.248.210	/1.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	23552	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs2anZy6U0hE9o6I5	application/x-dosexec
1337861018.632017	CgRZp7ca6uTJVrKBj	192.168.107.10	1045	173.194.79.147	80	1	GET	www.google.com	/	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22870	200	OK	-	-	-	(empty)	-	-	-	-	-	FUNSak1gljLfpILfq5	text/html
1337861018.753377	CgRZp7ca6uTJVrKBj	192.168.107.10	1045	173.194.79.147	80	2	GET	www.google.com	/images/icons/product/chrome-48.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1834	200	OK	-	-	-	(empty)	-	-	-	-	-	FYc3fk4LIXrNhCqfW9	image/png
1337861018.798507	CQmYtwHx1hRTGXmw8	192.168.107.10	1046	173.194.79.147	80	1	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	FYF6kP3WzughijkR1f	image/png
1337861018.787368	CgRZp7ca6uTJVrKBj	192.168.107.10	1045	173.194.79.147	80	3	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	FPOagk2kqH6s4MOdha	image/png
1337861018.929995	CQmYtwHx1hRTGXmw8	192.168.107.10	1046	173.194.79.147	80	2	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1337861018.939146	CgRZp7ca6uTJVrKBj	192.168.107.10	1045	173.194.79.147	80	4	GET	www.google.com	/xjs/_/js/s/s,st,anim,bbd,sb_he,hv,sk,pj,tbpr,tbui,spp,rsn,ob,mb,lc,du,ada,lu,pcc,csitl/rt=j/ver=SQikf2HH-pU.en_US./d=1/rs=AItRSTP-OM8NYKwAdXxL8qVy2EyH0zRBTA	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	208509	200	OK	-	-	-	(empty)	-	-	-	-	-	F9thpQxfKVZqIXqA4	text/plain
1337861019.300377	CQmYtwHx1hRTGXmw8	192.168.107.10	1046	173.194.79.147	80	3	GET	www.google.com	/csi?v=3&s=webhp&action=&wif=1&e=38100,38135,38285,38739,38787,39000&ei=JSO-T_TDJ6ehiQKu88ndDQ&imc=2&imn=2&imp=2&rt=xjsls.78,prt.78,ol.172,iml.156,xjses.313,xjsee.438,xjs.547	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
1337861018.505815	Ck5n6C4bfylIxA7x92	192.168.107.10	1044	178.162.167.31	80	1	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	176640	200	OK	-	-	-	(empty)	-	-	-	-	-	FN2uMDcdKhpAmueB3	binary
1337861020.019565	Ck5n6C4bfylIxA7x92	192.168.107.10	1044	178.162.167.31	80	2	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	162816	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx1PKp4IJlR1NB6IT2	binary
1337861020.776791	Ck5n6C4bfylIxA7x92	192.168.107.10	1044	178.162.167.31	80	3	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	524288	200	OK	-	-	-	(empty)	-	-	-	-	-	FqkUhI1anEkLwuhaLe	binary
1337861023.1779	Ck5n6C4bfylIxA7x92	192.168.107.10	1044	178.162.167.31	80	4	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	160256	200	OK	-	-	-	(empty)	-	-	-	-	-	FfbkSqg1Qbn1eSd6d	binary
1337861024.092859	Ck5n6C4bfylIxA7x92	192.168.107.10	1044	178.162.167.31	80	5	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	79328	200	OK	-	-	-	(empty)	-	-	-	-	-	FWI4bS1qxWOmArp5H4	binary
1337861024.500357	Ck5n6C4bfylIxA7x92	192.168.107.10	1044	178.162.167.31	80	6	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	484930	200	OK	-	-	-	(empty)	-	-	-	-	-	FYeCmJ3bDMnWyRzPqf	binary
1337861025.938966	Ck5n6C4bfylIxA7x92	192.168.107.10	1044	178.162.167.31	80	7	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	160768	200	OK	-	-	-	(empty)	-	-	-	-	-	F511Zn4UcfFOXNdf0a	binary
1337861026.735988	Ck5n6C4bfylIxA7x92	192.168.107.10	1044	178.162.167.31	80	8	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	666	200	OK	-	-	-	(empty)	-	-	-	-	-	F2gEHs1cfPDvbxuZ4a	binary
1337861037.210179	CehRXk13kWZM21xxLe	192.168.107.10	1049	78.140.131.157	80	1	GET	11t50l3.cdn35.downloadsconsulting.com	/file/id=AgAoAAEAbA8BAAEFCBcAAAAAAAAAAAAAAAAAAAAjDAUXCwAAAHiWlRThEZWlrLhwgiZvmW8AAFVVVVVVVVVVVVVVVVVVVVXGOc0BeiNyiiUGAQBVd3Vtc219Y29lczMyaGc4Zzg4AkaTNQrd_hNvNFYA&rt=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1337861037.657975	C9WKQS38W42y8gTHH4	192.168.107.10	1050	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	29	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn05GA3RfBgQtNRY45	text/plain
1337861038.07156	CZbY7M37knpuLA2U55	192.168.107.10	1051	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	306	200	OK	-	-	-	(empty)	-	-	-	-	-	FrgemV1nCdB7k2zz8i	image/gif
1337861038.209212	CCvMbZ3qlDSGv9BPhe	192.168.107.10	1053	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=2&d=7&s=121	-	Opera/9 (Windows NT 5.1; US; x86)	0	669	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm8BlkAcqeb0z31p7	image/gif
1337861039.432215	CnXhOf10eXV3pO2v1a	192.168.107.10	1055	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=3&d=7&s=130	-	Opera/9 (Windows NT 5.1; US; x86)	0	664	200	OK	-	-	-	(empty)	-	-	-	-	-	FWGKYY1yWkT2oOFYvl	image/gif
1337861039.488676	CA5kwK2bOy51nrzf5k	192.168.107.10	1057	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=4&d=7&s=131	-	Opera/9 (Windows NT 5.1; US; x86)	0	2111	200	OK	-	-	-	(empty)	-	-	-	-	-	FnDZ6l1aTN4969oKl2	image/gif
1337861039.553287	CHKkCc9eeKSark0Ti	192.168.107.10	1059	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=5&d=7&s=1	-	Opera/9 (Windows NT 5.1; US; x86)	0	1537	200	OK	-	-	-	(empty)	-	-	-	-	-	FClkhLrFefZ1xZUK6	image/gif
1337861039.585314	Cj6aN212afAnSzCV46	192.168.107.10	1061	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=6&d=7&s=20	-	Opera/9 (Windows NT 5.1; US; x86)	0	596	200	OK	-	-	-	(empty)	-	-	-	-	-	FP5tJbFcbhPDI6ID2	image/gif
1337861041.717397	CoJlm03ug407GJWWJc	192.168.107.10	1063	220.164.140.246	80	1	GET	220.164.140.246	/api/urls/?ts=612b10f9&affid=56300	220.164.140.246	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	0	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	-	-
1337861043.476103	CpDpkZ1A2ti7qqFgec	192.168.107.10	1065	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=7&d=7&s=21	-	Opera/9 (Windows NT 5.1; US; x86)	0	1013	200	OK	-	-	-	(empty)	-	-	-	-	-	FbfCOd4SQ8dshIZoi9	image/gif
1337861043.587677	CwPMoq491V2G7kvvE1	192.168.107.10	1068	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=8&d=7&s=30	-	Opera/9 (Windows NT 5.1; US; x86)	0	2206	200	OK	-	-	-	(empty)	-	-	-	-	-	FuG5Dk1Bt2DUdeyX4b	image/gif
1337861043.611104	CRswld4oLxThqjTip	192.168.107.10	1070	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=9&d=7&s=31	-	Opera/9 (Windows NT 5.1; US; x86)	0	603	200	OK	-	-	-	(empty)	-	-	-	-	-	FJpOMy4iaS5lUpNjea	image/gif
1337861043.821347	C2irbM1hVucEWbENY6	192.168.107.10	1073	220.164.140.246	80	1	GET	220.164.140.246	/api/stats/install/?ts=612b10f9&affid=56300&ver=3040003&group=sf	220.164.140.246	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-09-58-08
