#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-39-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1313500165.265119	CLzfrd4lgzh93lxSuk	192.168.15.10	1030	174.122.2.163	80	1	GET	freshcoatnorthaustin.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	398	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fu2LPr4Z9zkwdq1ic2	text/html
1313500166.268215	C5XH1P3fnftkMe2sl2	192.168.15.10	1031	174.120.201.2	80	6	GET	www.freshcoatpainters.com	/images/btn-estimate.png	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6895	200	OK	-	-	-	(empty)	-	-	-	-	-	FPtMTP1cnR5Yi4cR1d	image/png
1313500165.635213	Cea2PrH2eEgJSeu7i	192.168.15.10	1033	95.211.37.163	80	1	GET	stormnouc.cx.cc	/forum.php?tp=5d13ed839d54210e	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46371	200	OK	-	-	-	(empty)	-	-	-	-	-	FWX9wa1mU0Gfu5LoRl	text/html
1313500166.279001	C68bnG5RUbav231j3	192.168.15.10	1032	174.120.201.2	80	6	GET	www.freshcoatpainters.com	/images/usmap.png	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22967	200	OK	-	-	-	(empty)	-	-	-	-	-	FVM4sF3nWXvxEdwaC3	image/png
1313500166.311251	C5XH1P3fnftkMe2sl2	192.168.15.10	1031	174.120.201.2	80	7	GET	www.freshcoatpainters.com	/images/btn-find.png	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	924	200	OK	-	-	-	(empty)	-	-	-	-	-	FF52wjJ7LX5FZxjwk	image/png
1313500166.595384	C5XH1P3fnftkMe2sl2	192.168.15.10	1031	174.120.201.2	80	8	GET	www.freshcoatpainters.com	/Calibri.eot ) format("truetype"	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3354	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FPi6WPs42h0maZrEf	text/html
1313500166.595041	C68bnG5RUbav231j3	192.168.15.10	1032	174.120.201.2	80	7	GET	www.freshcoatpainters.com	/http://www.google-analytics.com/ga.js	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3354	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FtDVcr1yxYe4l62Jvd	text/html
1313500166.782615	CfgVal47mvkcS1WfJb	192.168.15.10	1034	174.120.201.2	80	1	GET	www.freshcoatpainters.com	/images/tile-top.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	296	200	OK	-	-	-	(empty)	-	-	-	-	-	FUEQk51Snh8Dy0txG7	image/jpeg
1313500166.804944	Ce0Nml3BtA0PS2XrKa	192.168.15.10	1035	174.120.201.2	80	1	GET	www.freshcoatpainters.com	/images/tile.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	975	200	OK	-	-	-	(empty)	-	-	-	-	-	FuWPxd26wcHUazRc0g	image/jpeg
1313500166.836593	Ce0Nml3BtA0PS2XrKa	192.168.15.10	1035	174.120.201.2	80	2	GET	www.freshcoatpainters.com	/images/list.png	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	534	200	OK	-	-	-	(empty)	-	-	-	-	-	FqTF9l31KOYZEvQxQe	image/png
1313500166.875378	Ce0Nml3BtA0PS2XrKa	192.168.15.10	1035	174.120.201.2	80	3	GET	www.freshcoatpainters.com	/images/menu.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	900	200	OK	-	-	-	(empty)	-	-	-	-	-	FsWWvT3YM6Jedz57G7	image/jpeg
1313500166.827517	CfgVal47mvkcS1WfJb	192.168.15.10	1034	174.120.201.2	80	2	GET	www.freshcoatpainters.com	/images/sidebar-back.png	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	819	200	OK	-	-	-	(empty)	-	-	-	-	-	FrNf2Y1acRMiO3arSl	image/png
1313500166.970743	Ce0Nml3BtA0PS2XrKa	192.168.15.10	1035	174.120.201.2	80	4	GET	www.freshcoatpainters.com	/images/h2.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1027	200	OK	-	-	-	(empty)	-	-	-	-	-	FH2h7A1NmsDnEHBjse	image/jpeg
1313500166.974413	CfgVal47mvkcS1WfJb	192.168.15.10	1034	174.120.201.2	80	3	GET	www.freshcoatpainters.com	/images/menu-highlight.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	810	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk9seN3JKrJJnjuVzc	image/jpeg
1313500168.867798	CnY3ie1Bgkx9rtGoz5	192.168.15.10	1036	95.211.37.163	80	1	GET	stormnouc.cx.cc	/games/java_trust.php?f=35	http://stormnouc.cx.cc/forum.php?tp=5d13ed839d54210e	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3467	200	OK	-	-	-	(empty)	-	-	-	-	-	FMYFjA4mDdif5Q2FS8	text/html
1313500169.266231	C4Noky2mmRWlMEMikb	192.168.15.10	1046	95.211.37.163	80	1	GET	stormnouc.cx.cc	/d.php?f=35&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	184320	200	OK	-	-	-	(empty)	-	-	-	-	-	FXvFA926w6vPUAtOG3	application/x-dosexec
1313500170.255124	CoasFt3yQs3tcWabaa	192.168.15.10	1047	95.211.37.163	80	1	GET	stormnouc.cx.cc	/games/2fdp.php?f=35	http://stormnouc.cx.cc/forum.php?tp=5d13ed839d54210e	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	67647	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq988h1vDlGIua7bP3	application/pdf
1313500174.790799	CPJ5D92IcH5Ph2I2kg	192.168.15.10	1049	184.82.193.26	80	1	GET	ultrainvisible.com	/images/full/a/b/c/d/e/f/g/h/i.bin	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	63836	200	OK	-	-	-	(empty)	-	-	-	-	-	FKd9ud4CghEsWmc0jh	binary
1313500180.430069	CZMcbk1scqPOCFUWu6	192.168.15.10	1048	95.211.37.163	80	1	GET	stormnouc.cx.cc	/games/worms.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4872	200	OK	-	-	-	(empty)	-	-	-	-	-	FpjP2z2Q8MoQYlDWJ1	application/zip
1313500180.444417	CrOPAquEdNaPWNjYi	192.168.15.10	1051	95.211.73.130	80	1	GET	1607682434	/GSearch.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	392	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fc7fOE1UCIPw5Xntf7	text/html
1313500180.621094	CrOPAquEdNaPWNjYi	192.168.15.10	1051	95.211.73.130	80	2	GET	1607682434	/GSearch/class.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	398	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FueBrG47q2WuqPJrWi	text/html
1313500179.937347	CG11ul268giMMdyxy3	192.168.15.10	1050	95.211.37.163	80	1	GET	stormnouc.cx.cc	/d.php?f=35&e=6\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	184320	200	OK	-	-	-	(empty)	-	-	-	-	-	FTEMPCCnBUtMW6HP9	application/x-dosexec
1313500181.534892	CUVDJ94gAFCp5KfCkj	192.168.15.10	1052	95.211.37.163	80	1	GET	stormnouc.cx.cc	/d.php?f=35&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	184320	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh4clf4YoCxvNiTcO	application/x-dosexec
1313500190.229609	C4fbp54iTf0vpMEpM1	192.168.15.10	1053	95.211.37.163	80	1	OPTIONS	95.211.37.163	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1313500190.427256	CXetwMl3ogaB0ZhW2	192.168.15.10	1054	95.211.37.163	80	1	PROPFIND	95.211.37.163	/pub	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	307	405	Method Not Allowed	-	-	-	(empty)	-	-	-	-	-	FgzGOj4qnrEDSPD1pa	text/html
1313500190.752979	CtcE3wXYGRfs5I2wi	192.168.15.10	1055	174.120.201.2	80	1	GET	www.freshcoatpainters.com	/images/menu.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1313500203.939106	CQyRgT3P5wWo53YXJ2	192.168.15.10	1056	74.125.93.104	80	1	GET	www.google.com	/webhp	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19050	200	OK	-	-	-	(empty)	-	-	-	-	-	FiIJxk1QjSfA8qhrt5	text/html
1313500204.103888	CJidwCFMstgzziVR5	192.168.15.10	1057	46.108.225.120	80	1	POST	46.108.225.120	/secure/vip/s/m/l/xl/xxl/size.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	294	64	200	OK	-	-	-	(empty)	-	-	-	FblaF039UW79ASfLAc	binary	Fdi7P3BkxC9yxffc2	binary
#close	2014-04-03-10-39-43
